minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.78,3.14,6.41,9.0,0.54,6.89,4.52,439.71,94.94,0.78,175.05,10.99,64.73,52.72,72.0
2.78,3.13,6.41,9.0,1.92,7.92,4.52,613.51,164.39,1.08,351.63,10.1,64.31,48.98,0.0
2.78,5.72,6.41,9.0,1.0,6.25,4.05,468.14,101.98,0.83,198.81,11.07,65.86,52.91,0.0
2.78,2.84,6.41,9.0,1.92,7.01,4.67,566.5,132.74,1.02,309.79,10.12,62.77,49.7,0.0
4.38,5.72,6.41,9.0,1.92,2.37,4.14,489.17,86.16,0.87,234.36,10.11,61.92,50.35,0.0
2.78,5.22,9.1,9.0,1.92,2.49,5.04,799.24,298.36,1.27,528.73,9.86,66.94,46.39,0.0
2.78,5.72,11.02,9.0,1.36,2.49,4.19,492.95,105.18,0.88,229.19,10.64,64.45,51.89,0.0
3.69,2.59,6.41,9.0,1.0,6.25,4.66,599.28,201.79,1.01,334.62,10.45,65.3,50.18,0.0
2.78,4.86,14.44,9.0,0.93,6.25,4.85,507.78,138.4,0.89,238.22,11.08,66.17,52.85,0.0
2.78,2.92,6.41,9.0,1.39,2.23,4.7,614.01,183.49,1.06,354.03,9.98,63.67,48.57,0.0
2.78,5.72,6.41,9.0,1.0,3.3,4.33,494.72,125.45,0.91,230.97,10.89,64.47,53.3,0.0
3.58,4.94,9.3,9.0,1.0,2.13,4.32,511.07,130.1,0.92,246.17,10.74,64.76,52.38,0.0
4.53,5.72,12.65,9.0,1.0,3.44,4.79,614.43,221.92,1.1,345.0,10.8,66.0,52.54,0.0
2.78,3.93,11.38,9.0,1.62,6.25,4.58,590.31,162.88,1.04,324.9,10.45,65.2,50.59,0.0
2.31,5.72,6.41,9.0,1.0,6.25,4.9,479.64,112.63,0.89,212.86,11.08,65.16,54.22,0.0
3.08,5.72,6.41,9.0,1.92,2.49,4.26,525.92,106.39,0.94,269.24,10.1,62.4,50.32,0.0
3.92,3.71,6.41,9.0,1.92,2.49,4.58,590.33,146.39,0.99,330.64,9.83,63.61,48.53,0.0
4.03,5.72,6.41,9.0,0.58,2.49,4.09,438.97,93.38,0.8,174.48,11.09,64.61,54.02,31.0
2.78,5.72,7.67,9.0,1.44,6.04,4.48,521.63,125.4,0.94,258.38,10.74,64.38,52.25,0.0
4.72,4.83,7.94,9.0,1.72,2.49,4.4,536.39,118.31,0.94,278.12,10.19,62.96,50.28,0.0
