minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
2.5,2.9,7.5,9.0,1.0,4.0,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0.0,0.2,0
2.48,3.39,3.87,9.0,1.93,3.28,4.52,527.36,129.13,0.95,270.6,10.22,62.84,50.48,0.0,0.19,7
4.04,5.37,10.8,9.0,1.31,3.84,4.54,511.68,140.38,0.9,249.71,10.7,64.34,51.57,0.0,0.01,8
1.55,4.92,5.37,9.0,1.0,6.53,4.3,482.34,120.72,0.87,218.97,10.85,64.56,52.49,0.0,-0.23,9
1.55,4.92,5.37,9.0,1.0,6.53,4.3,453.55,100.4,0.81,191.03,10.83,64.42,52.08,0.0,-0.24,11
1.51,5.57,6.98,9.0,1.0,6.53,4.21,449.37,98.45,0.82,186.05,10.91,64.4,53.43,0.0,-0.38,20
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039
