minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.73,5.08,8.22,9.0,0.63,5.23,4.28,457.11,96.35,0.82,198.34,10.54,63.42,51.34,20.0,4.0
2.45,1.36,6.45,9.0,0.53,5.55,5.09,534.77,150.2,0.95,278.34,9.96,62.83,50.14,11.0,4.0
2.36,2.55,5.01,9.0,1.65,3.99,5.39,611.7,189.75,1.05,353.39,9.87,63.57,48.35,0.0,1.45
4.77,4.08,6.14,9.0,1.32,6.02,5.51,561.71,161.8,1.0,302.43,10.22,63.52,50.48,0.0,0.95
2.84,2.93,7.49,9.0,1.66,2.47,4.69,610.75,181.34,1.02,349.74,9.89,64.38,47.72,0.0,0.93
3.6,2.97,3.28,9.0,0.5,5.97,4.89,526.16,151.42,0.94,267.53,10.33,63.48,50.77,35.0,4.0
4.72,4.02,6.02,9.0,1.23,6.19,5.22,640.17,222.47,1.09,375.53,10.19,65.31,49.4,0.0,1.13
4.68,2.57,4.34,9.0,1.9,4.59,4.66,609.67,182.97,1.04,354.64,9.82,62.59,48.5,0.0,0.87
4.29,1.7,3.8,9.0,0.57,6.19,5.62,916.23,490.44,1.38,648.2,9.67,67.03,46.17,2.0,4.0
2.71,2.83,7.82,9.0,1.74,4.12,5.4,698.4,255.49,1.15,435.1,9.86,65.3,47.47,0.0,1.84
4.68,2.57,5.77,9.0,1.53,2.91,4.68,554.8,151.97,0.97,300.66,9.92,62.17,49.78,0.0,0.54
1.25,1.76,4.34,9.0,1.77,4.59,4.63,505.16,106.99,0.91,256.38,9.75,60.72,49.6,0.0,0.44
3.88,2.57,2.29,9.0,0.51,7.8,4.85,474.0,110.4,0.86,220.22,10.19,62.1,50.68,9.0,4.0
4.68,2.57,4.34,9.0,1.9,4.0,5.22,746.18,293.49,1.2,484.76,9.61,64.78,46.48,0.0,2.13
4.68,1.35,4.34,9.0,1.59,7.38,5.3,747.91,298.76,1.18,484.99,9.54,65.43,46.11,0.0,2.3
2.41,5.09,4.34,9.0,1.73,3.42,4.59,562.96,150.28,0.98,303.46,10.04,63.83,49.07,0.0,0.47
