minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.93,3.61,5.86,9.0,1.95,5.84,4.7,680.94,195.01,1.07,412.82,10.08,66.41,47.4,0.0
3.93,2.78,5.86,9.0,0.86,5.59,4.43,506.49,140.05,0.92,246.01,10.61,63.83,52.08,1.0
4.84,5.65,5.86,9.0,1.23,6.1,4.28,488.1,111.0,0.89,224.4,10.85,64.4,53.3,0.0
4.18,3.06,4.23,9.0,1.88,7.59,4.52,588.04,146.43,1.01,329.96,9.98,63.17,49.2,0.0
3.93,3.61,5.86,9.0,0.86,3.03,4.33,488.03,120.13,0.87,224.74,10.69,64.43,52.48,0.0
1.89,3.61,8.64,9.0,0.86,5.84,4.25,471.29,108.41,0.85,205.0,10.98,65.11,52.69,1.0
3.54,1.5,4.99,9.0,1.25,6.74,5.21,823.69,353.0,1.17,549.76,9.62,68.45,44.01,0.0
3.93,4.5,4.5,9.0,1.06,3.86,4.49,471.9,98.95,0.83,208.01,10.73,64.49,51.86,1.0
4.48,3.21,7.72,9.0,0.85,7.56,4.34,501.2,135.34,0.89,233.55,10.84,65.71,51.9,0.0
3.93,4.39,7.02,9.0,0.86,6.74,4.24,488.54,126.55,0.86,220.49,11.02,65.6,52.94,0.0
3.06,3.61,7.02,9.0,0.62,7.2,4.26,455.0,107.53,0.83,190.11,11.07,64.78,53.5,51.0
3.93,3.61,13.05,9.0,0.86,6.74,4.45,507.4,142.34,0.9,239.61,10.99,65.63,52.82,0.0
3.93,3.61,7.02,9.0,0.86,6.74,4.3,472.81,112.76,0.85,206.08,10.95,65.2,53.37,0.0
1.55,3.61,10.74,9.0,0.56,3.26,4.2,425.12,77.02,0.76,160.13,11.02,64.69,53.22,83.0
1.77,5.49,13.64,9.0,0.58,3.26,4.08,427.17,81.44,0.78,160.42,11.31,65.14,54.12,75.0
1.55,3.68,10.03,9.0,0.56,3.65,4.17,415.92,72.8,0.75,152.89,11.09,64.24,53.72,83.0
1.55,3.61,5.51,9.0,0.88,3.26,4.15,450.13,89.74,0.83,191.0,10.72,63.42,52.87,0.0
2.77,3.61,10.74,9.0,0.56,3.26,4.29,441.74,94.52,0.79,176.65,10.97,64.88,52.7,56.0
1.99,2.21,10.74,9.0,0.56,6.63,4.31,432.97,85.66,0.77,171.62,10.75,64.04,51.71,71.0
1.55,3.61,10.74,9.0,1.23,3.26,4.38,541.98,141.19,0.94,276.37,10.58,65.15,50.67,0.0
1.55,3.61,10.74,9.0,1.85,2.07,4.67,595.64,151.93,1.05,339.36,9.89,62.51,48.81,0.0
1.26,3.73,10.74,9.0,0.56,3.26,4.32,422.81,76.1,0.76,159.03,11.07,64.39,53.86,101.0
3.23,3.61,12.36,9.0,0.88,3.26,4.3,489.21,121.27,0.87,224.01,10.8,64.89,52.23,0.0
1.55,3.61,5.51,9.0,0.88,7.1,4.33,499.58,127.04,0.9,233.51,10.91,65.05,52.52,0.0
4.66,1.68,6.41,9.0,0.52,3.53,4.65,591.69,210.45,0.94,327.95,10.11,65.2,48.76,70.0
2.85,5.42,10.74,9.0,0.98,4.82,4.63,467.99,106.54,0.85,202.29,11.1,64.93,53.87,0.0
1.26,3.73,10.74,9.0,0.56,4.56,4.31,424.11,77.97,0.76,158.5,11.13,64.81,53.63,109.0
1.26,3.73,9.32,9.0,0.56,4.92,4.1,421.96,76.04,0.77,157.08,11.14,64.73,54.06,117.0
1.26,3.61,10.44,9.0,0.78,7.26,4.18,458.92,101.79,0.83,193.59,11.05,64.84,52.78,37.0
1.31,3.67,8.94,9.0,0.59,3.26,4.15,415.63,69.1,0.75,152.9,11.01,64.15,53.55,63.0
1.55,3.61,5.51,9.0,0.88,2.08,4.19,453.93,87.33,0.81,195.42,10.5,63.15,51.58,0.0
1.52,3.72,9.32,9.0,0.56,3.35,4.28,412.36,69.26,0.76,150.03,11.08,64.07,53.98,87.0
1.65,3.73,9.32,9.0,0.56,4.92,4.14,422.85,75.82,0.76,156.25,11.14,65.12,53.56,112.0
1.26,3.08,13.78,9.0,0.56,2.1,4.93,427.7,77.02,0.77,166.76,10.69,63.8,52.52,90.0
1.55,2.03,5.51,9.0,0.88,3.26,4.27,448.55,83.13,0.81,195.74,10.16,61.69,50.81,0.0
2.12,3.61,7.31,9.0,0.91,3.26,4.32,466.02,100.63,0.84,204.36,10.75,64.0,52.68,0.0
1.55,5.23,9.32,9.0,0.56,4.92,4.0,419.44,74.96,0.77,151.9,11.34,65.34,54.11,123.0
1.26,3.61,5.51,9.0,0.88,3.26,4.07,452.09,88.36,0.82,191.02,10.73,63.94,51.93,0.0
1.55,5.23,5.51,9.0,0.88,3.26,4.71,479.55,110.7,0.86,211.38,10.92,65.67,52.63,0.0
1.55,2.17,7.06,9.0,0.88,3.26,4.43,520.32,139.36,0.93,264.58,10.24,62.66,50.73,0.0
1.55,3.61,11.27,9.0,0.88,2.0,5.6,504.74,128.88,0.91,241.73,10.57,64.3,51.55,0.0
1.55,3.46,13.8,9.0,1.43,3.26,4.6,561.82,150.76,1.0,300.61,10.44,63.86,50.93,0.0
1.55,2.58,5.51,9.0,1.6,6.48,4.56,556.37,137.33,0.97,298.02,10.15,63.44,49.02,0.0
1.55,3.24,5.51,9.0,0.88,3.26,4.36,502.06,129.01,0.91,242.56,10.59,63.45,51.97,0.0
1.55,4.16,5.51,9.0,0.73,3.26,4.53,438.01,82.49,0.79,174.49,10.89,64.47,52.56,19.0
1.55,2.53,9.29,9.0,1.99,5.86,4.76,641.22,174.17,1.06,377.82,9.93,65.18,47.2,0.0
1.55,3.24,5.51,9.0,0.88,4.51,4.22,478.67,110.75,0.87,217.18,10.74,63.98,52.16,0.0
2.86,3.24,5.51,9.0,0.88,6.91,4.49,500.97,132.77,0.91,238.31,10.81,64.33,52.86,0.0
1.55,3.61,9.59,9.0,0.88,4.59,4.31,469.87,108.11,0.87,207.34,10.92,64.22,53.37,0.0
4.52,3.32,6.83,9.0,1.77,6.08,4.59,587.66,152.08,1.01,326.02,10.23,64.11,50.13,0.0
4.56,5.56,14.71,9.0,1.18,3.26,4.31,492.11,114.68,0.88,226.21,10.88,65.01,53.22,0.0
1.55,3.24,10.93,9.0,0.98,3.26,5.02,498.21,122.13,0.91,236.01,10.68,64.11,52.18,0.0
3.49,2.26,5.51,9.0,0.88,3.26,4.43,505.46,130.29,0.87,247.45,10.26,63.21,50.84,0.0
1.55,3.24,5.51,9.0,0.88,5.97,4.1,438.49,79.65,0.79,176.31,10.82,64.2,52.57,0.0
1.55,2.86,7.07,9.0,1.13,2.46,4.39,469.28,96.05,0.85,215.7,10.27,61.98,51.2,0.0
1.55,3.52,14.63,9.0,1.25,5.8,4.53,535.39,141.0,0.97,269.94,10.8,64.92,52.39,0.0
2.57,5.33,5.51,9.0,0.88,5.97,4.09,463.66,103.06,0.83,196.62,11.07,65.3,53.3,0.0
1.55,3.61,8.38,9.0,0.88,5.19,4.29,454.55,91.43,0.81,188.08,10.97,65.14,52.7,1.0
1.55,5.02,7.18,9.0,1.88,5.94,4.11,484.17,99.78,0.85,223.36,10.48,63.75,50.73,0.0
1.55,3.54,5.51,9.0,0.88,5.92,4.85,470.02,105.62,0.86,207.21,10.85,64.32,52.93,0.0
1.55,4.96,5.51,9.0,0.88,5.97,4.29,461.99,99.47,0.85,195.02,11.08,65.28,53.57,0.0
2.5,3.24,5.51,9.0,0.88,3.26,4.5,498.28,127.91,0.92,240.1,10.53,63.19,52.12,0.0
2.57,2.79,11.75,9.0,1.75,5.29,4.56,543.49,126.69,0.98,286.9,10.23,62.79,50.23,0.0
2.57,1.59,5.51,9.0,1.49,3.36,5.53,747.11,257.85,1.16,482.8,9.44,65.7,44.9,0.0
1.68,5.33,11.27,9.0,0.9,3.62,4.6,511.4,143.03,0.94,245.89,11.05,64.93,53.68,0.0
2.57,3.48,5.51,9.0,1.18,3.79,4.63,498.98,111.96,0.89,236.8,10.53,64.16,51.1,0.0
2.57,5.33,11.93,9.0,0.88,7.74,4.32,492.86,125.76,0.88,222.03,11.17,66.55,53.18,0.0
2.57,5.33,13.73,9.0,0.88,3.03,4.67,485.57,117.01,0.86,216.93,11.03,65.8,52.87,0.0
3.78,5.33,11.23,9.0,0.88,6.51,4.4,523.38,157.7,0.96,256.45,11.07,65.32,53.49,0.0
2.26,2.49,9.76,9.0,1.2,7.9,4.88,607.06,192.44,1.08,341.37,10.46,65.55,50.31,0.0
1.68,5.33,13.94,9.0,0.9,3.62,4.43,526.46,153.68,0.94,257.73,11.06,65.78,52.8,0.0
1.71,5.33,10.88,9.0,0.9,3.62,4.45,483.84,119.97,0.89,218.5,11.07,64.87,53.72,0.0
3.88,3.64,11.27,9.0,0.9,5.05,4.62,485.8,121.69,0.87,219.31,10.92,65.16,52.8,0.0
1.68,5.33,11.27,9.0,0.92,5.83,4.88,473.47,112.75,0.87,207.59,11.13,65.03,53.89,0.0
1.68,5.33,11.27,9.0,1.11,3.62,4.17,459.32,94.81,0.84,196.77,11.0,64.17,53.44,0.0
1.44,5.33,11.27,9.0,1.84,3.62,4.42,540.52,141.1,0.94,276.11,10.43,64.81,50.1,0.0
1.68,4.91,6.01,9.0,0.9,3.86,4.34,478.98,114.56,0.89,216.6,10.93,64.09,53.45,0.0
