minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.84,2.76,2.35,9.0,1.23,4.83,4.83,504.28,117.69,0.89,251.86,9.87,62.01,48.89,0.0,0.65
2.84,3.94,2.35,9.0,1.62,5.24,5.17,585.31,174.17,1.05,333.13,9.78,61.97,49.2,0.0,1.17
2.84,3.94,8.79,9.0,1.04,4.83,5.12,541.34,155.46,0.98,287.02,10.03,62.5,50.73,0.0,0.71
2.84,3.94,2.35,9.0,1.04,4.83,4.24,458.06,88.51,0.82,205.37,10.08,62.08,49.92,0.0,-0.18
2.84,3.94,2.98,9.0,1.04,4.83,5.21,588.89,191.49,1.04,333.31,9.92,62.88,49.38,0.0,1.16
2.84,3.86,4.1,9.0,1.29,7.52,4.7,640.17,222.28,1.06,381.15,9.95,64.04,47.92,0.0,1.05
3.04,3.52,2.35,9.0,1.04,4.83,4.63,607.74,196.11,1.01,346.96,9.98,64.42,48.34,0.0,0.82
2.84,2.9,2.35,9.0,0.92,3.28,4.55,519.24,135.0,0.93,268.01,9.93,61.66,50.21,0.0,0.31
2.84,3.94,2.35,9.0,1.04,4.83,4.66,607.73,196.39,1.05,347.98,9.99,64.14,48.71,0.0,0.79
2.84,2.78,3.09,9.0,1.04,2.37,4.65,621.15,205.82,1.02,361.64,9.8,64.06,47.77,0.0,1.05
2.84,2.78,3.09,9.0,0.6,6.95,4.85,524.33,147.5,0.96,272.63,9.99,61.9,50.9,17.0,4.0
2.84,4.51,3.2,9.0,1.77,2.37,4.76,637.36,205.71,1.08,380.82,9.7,63.38,47.25,0.0,1.26
2.45,2.78,2.6,9.0,1.04,2.37,5.18,709.2,296.48,1.21,452.3,9.6,63.41,47.73,0.0,1.97
2.84,2.78,4.54,9.0,0.92,2.37,5.45,668.68,256.14,1.12,410.7,9.74,63.66,47.82,0.0,1.91
2.84,2.78,3.46,9.0,1.04,4.84,4.79,646.68,233.98,1.09,387.54,9.88,64.01,48.29,0.0,1.17
2.84,3.33,5.22,9.0,0.85,2.37,4.68,555.35,165.53,0.98,300.71,9.92,62.68,49.8,0.0,0.59
2.44,2.78,4.84,9.0,1.04,2.44,5.72,1003.43,547.32,1.48,728.99,9.49,68.85,44.02,0.0,3.93
2.78,2.78,7.5,9.0,1.04,3.72,5.03,703.21,280.3,1.13,440.17,9.86,65.4,47.1,0.0,1.7
1.41,4.58,3.24,9.0,1.04,7.1,4.89,483.69,111.19,0.89,231.25,10.09,62.12,50.54,2.0,4.0
2.84,3.02,2.35,9.0,1.04,4.83,4.74,580.55,178.32,1.0,324.55,9.93,63.04,48.7,0.0,0.82
2.84,4.48,3.36,9.0,1.04,5.2,4.9,629.94,222.77,1.1,370.66,9.94,63.98,48.79,0.0,1.11
3.74,5.16,6.41,9.0,1.38,7.6,4.72,596.8,189.56,1.05,341.69,10.0,62.92,49.4,1.0,4.0
2.84,2.09,2.35,9.0,1.04,4.83,4.71,543.76,151.3,0.96,292.29,9.79,61.77,49.83,0.0,0.63
1.54,2.99,4.21,9.0,1.55,7.35,4.68,611.01,195.36,1.06,354.9,9.78,63.11,48.05,0.0,1.01
2.32,3.94,4.48,9.0,1.48,4.83,4.91,629.49,220.05,1.15,375.73,9.78,62.34,49.47,0.0,1.12
1.88,3.94,2.35,9.0,1.04,4.83,4.58,606.07,199.78,1.03,345.28,9.98,64.48,48.17,1.0,4.0
1.33,3.02,2.35,9.0,1.04,2.39,4.57,569.1,166.53,0.98,312.49,9.84,63.3,48.27,0.0,0.74
2.84,3.94,8.15,9.0,1.04,6.58,5.1,568.49,172.08,0.99,310.05,10.05,63.85,49.05,0.0,0.95
2.84,1.87,2.35,9.0,1.09,6.54,4.73,603.82,193.09,1.02,349.31,9.75,62.82,48.2,0.0,1.04
2.84,3.94,7.42,9.0,1.04,4.83,4.66,589.05,186.51,1.03,331.03,10.01,63.55,49.26,0.0,0.67
3.9,3.02,2.35,9.0,1.85,7.9,4.88,667.05,228.28,1.1,409.65,9.67,63.51,47.16,0.0,1.48
1.77,3.02,2.35,9.0,0.51,4.83,4.38,494.39,121.92,0.89,240.62,10.06,62.44,50.46,51.0,4.0
4.29,3.02,2.35,9.0,1.04,6.92,5.23,657.49,242.74,1.05,394.62,9.89,65.29,47.39,0.0,1.64
4.1,3.94,2.35,9.0,1.04,7.06,4.73,580.82,180.15,1.0,322.26,9.99,63.87,48.87,1.0,4.0
