minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
4.1,4.43,8.77,9.0,1.19,6.59,4.39,524.42,134.94,0.93,256.3,10.89,65.65,52.69,0.0,-0.71
4.1,4.19,8.5,9.0,1.19,5.69,4.23,472.7,99.05,0.84,205.35,10.9,65.47,52.68,0.0,-0.98
4.1,4.19,5.42,9.0,0.9,4.24,4.3,495.11,123.91,0.88,229.44,10.84,64.99,52.66,0.0,-0.79
3.94,3.54,4.92,9.0,1.16,5.53,4.54,583.63,175.77,1.0,316.06,10.56,65.86,50.37,0.0,0.06
4.63,4.19,7.53,9.0,1.84,5.53,4.37,531.55,114.71,0.92,270.67,10.32,63.73,50.46,0.0,-0.19
2.91,4.19,4.92,9.0,0.9,5.53,4.25,455.11,94.57,0.82,190.84,10.93,64.64,53.25,0.0,-1.07
3.39,4.19,4.92,9.0,1.22,7.06,4.6,568.36,166.2,1.01,301.64,10.64,65.44,51.39,0.0,-0.1
4.63,2.76,4.92,9.0,0.79,7.39,4.47,520.19,156.26,0.94,258.23,10.68,64.19,52.18,0.0,-0.36
3.39,4.19,11.16,9.0,0.9,5.53,4.29,480.01,118.02,0.86,213.78,11.04,65.06,52.93,0.0,-0.97
4.16,4.19,4.92,9.0,1.59,5.53,4.31,532.46,124.58,0.93,270.99,10.42,63.79,51.04,0.0,-0.32
4.63,2.76,14.69,9.0,0.79,7.39,5.05,575.08,201.49,1.02,306.1,10.79,66.11,51.88,0.0,0.24
2.37,2.76,9.79,9.0,0.79,7.39,4.45,483.69,122.26,0.88,220.45,10.84,64.52,52.15,6.0,4.0
4.63,2.76,4.92,9.0,0.79,7.01,4.44,520.66,154.05,0.93,257.33,10.65,64.6,51.49,1.0,4.0
4.35,5.41,12.38,9.0,1.36,7.39,4.55,504.16,117.7,0.9,235.63,10.9,65.71,52.72,0.0,-0.66
1.51,5.31,4.92,9.0,1.58,3.16,4.25,510.38,125.71,0.91,251.98,10.34,62.91,50.86,0.0,-0.29
4.63,2.76,4.92,9.0,1.59,7.39,4.84,576.87,158.74,1.01,320.54,10.15,62.73,49.89,0.0,0.53
1.64,3.18,8.75,9.0,1.58,5.53,4.36,471.18,88.65,0.87,214.75,10.46,62.68,51.71,0.0,-0.54
1.86,2.76,8.75,9.0,0.79,5.96,4.44,523.17,151.52,0.95,259.96,10.74,64.43,52.39,31.0,4.0
4.79,4.19,12.53,9.0,0.61,5.53,4.27,474.74,129.96,0.86,207.53,11.13,65.4,53.41,24.0,4.0
4.1,4.19,8.5,9.0,1.19,2.07,4.54,546.17,146.55,0.97,283.39,10.46,64.3,51.4,0.0,-0.12
1.92,5.2,10.54,9.0,0.79,7.39,4.66,446.38,93.48,0.79,178.04,11.22,65.59,53.41,9.0,4.0
4.37,3.75,6.68,9.0,0.86,5.53,4.47,551.2,175.2,0.97,282.74,10.86,65.72,52.36,0.0,-0.42
3.96,2.76,4.92,9.0,1.74,5.05,4.82,651.01,192.38,1.04,388.76,9.96,64.43,48.44,0.0,0.95
4.33,4.19,8.5,9.0,1.04,6.61,5.46,848.73,426.01,1.38,573.52,10.44,68.47,49.36,0.0,2.01
4.1,4.19,8.63,9.0,0.85,5.53,4.21,466.74,109.64,0.84,201.34,11.02,64.87,53.35,0.0,-1.11
1.73,2.1,8.71,9.0,1.19,7.66,5.41,655.01,224.09,1.13,387.71,10.3,66.16,49.07,0.0,1.25
3.7,4.19,6.44,9.0,1.51,7.32,4.56,570.29,153.99,1.02,306.23,10.54,64.65,51.14,0.0,-0.09
4.33,4.19,8.5,9.0,1.04,3.88,4.49,567.05,173.08,0.98,296.99,10.76,66.33,51.63,0.0,-0.26
4.33,4.19,8.5,9.0,1.04,6.61,5.46,848.73,426.01,1.38,573.52,10.44,68.47,49.36,0.0,2.01
