minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
4.36,5.19,9.14,9.0,1.22,6.51,4.34,506.74,121.47,0.9,238.72,10.92,65.62,52.86,0.0,-0.25
2.7,5.64,9.14,9.0,1.1,6.51,4.17,477.77,107.85,0.86,210.59,11.07,65.27,53.2,0.0,-0.41
1.6,5.19,9.14,9.0,1.1,5.54,4.72,459.46,93.93,0.84,193.67,11.06,64.99,53.61,0.0,-0.25
1.59,3.95,4.91,9.0,1.1,7.93,4.16,456.7,88.96,0.82,193.82,10.83,64.25,52.14,0.0,-0.32
2.7,5.19,9.14,9.0,0.76,2.82,4.1,462.48,101.22,0.81,192.56,11.04,66.0,52.51,6.0,4.0
3.45,3.47,9.14,9.0,1.1,6.11,4.26,474.34,105.03,0.86,211.02,10.87,64.43,53.16,0.0,-0.32
1.42,4.78,11.86,9.0,0.65,2.6,4.26,437.62,83.66,0.78,170.03,11.11,65.34,53.24,61.0,4.0
2.7,5.31,9.14,9.0,1.1,6.51,4.45,519.9,136.09,0.92,249.94,11.01,66.13,52.58,0.0,-0.19
1.37,5.19,11.02,9.0,1.1,6.51,4.47,471.96,108.6,0.86,205.55,11.09,65.17,53.32,0.0,-0.31
2.7,2.5,14.77,9.0,1.81,2.99,4.8,614.44,166.86,1.04,355.38,9.89,63.63,48.11,0.0,0.63
2.7,5.19,9.23,9.0,1.13,6.51,4.21,483.42,109.56,0.86,215.13,11.03,65.66,52.75,0.0,-0.35
2.7,3.13,14.77,9.0,1.81,4.59,5.13,634.39,182.4,1.06,370.2,10.16,65.2,48.44,0.0,0.68
2.63,4.7,14.77,9.0,0.74,2.01,4.18,454.28,97.31,0.83,190.16,10.9,64.49,53.35,4.0,4.0
2.41,1.52,10.85,9.0,1.81,2.99,5.08,732.53,231.81,1.13,471.96,9.28,64.45,44.65,0.0,1.27
2.28,2.5,14.77,9.0,1.95,2.99,5.04,583.3,140.1,1.0,326.45,9.81,62.95,47.91,0.0,0.7
2.7,2.25,14.77,9.0,1.81,2.99,5.04,789.86,280.31,1.19,516.47,9.8,67.99,45.43,0.0,1.15
2.19,2.5,14.19,9.0,1.81,2.99,4.75,603.11,157.39,1.02,343.21,9.89,63.91,47.72,0.0,0.61
2.7,2.06,14.77,9.0,1.81,2.99,4.79,574.99,140.02,1.02,322.17,9.71,61.85,48.38,0.0,0.6
2.7,2.5,14.77,9.0,1.81,2.99,4.8,614.44,166.86,1.04,355.38,9.89,63.63,48.11,0.0,0.63
2.41,3.23,10.85,9.0,1.56,2.7,4.54,577.57,150.35,1.02,317.29,10.15,63.83,49.33,0.0,0.34
4.32,1.52,10.85,9.0,1.81,2.14,5.42,934.61,368.65,1.22,663.19,9.02,67.86,42.27,0.0,1.91
2.41,1.52,10.85,9.0,1.78,2.99,5.23,715.36,231.69,1.15,457.12,9.3,63.84,45.17,0.0,1.29
3.74,2.35,10.85,9.0,1.28,2.98,4.89,611.9,192.59,1.05,349.2,10.13,64.44,49.34,0.0,0.57
2.41,4.06,10.85,9.0,1.81,2.99,4.42,539.12,114.65,0.97,280.12,10.23,63.2,50.19,0.0,0.14
2.41,1.52,10.85,9.0,0.61,5.87,4.85,537.87,163.36,0.97,279.49,10.23,63.17,51.3,60.0,4.0
2.41,4.33,12.92,9.0,1.35,7.1,4.38,529.78,132.23,0.97,265.07,10.83,64.68,52.25,0.0,-0.15
2.41,1.52,10.85,9.0,1.81,3.88,5.58,898.19,370.67,1.33,630.29,9.3,66.9,43.85,0.0,1.8
2.68,4.33,12.92,9.0,1.35,7.1,4.62,576.42,168.09,1.03,308.61,10.77,65.57,52.27,0.0,0.04
2.23,5.66,14.73,9.0,1.01,5.84,4.21,452.9,93.81,0.81,185.06,11.19,65.49,53.54,0.0,-0.48
1.35,3.37,12.92,9.0,0.96,6.28,4.36,471.5,109.24,0.89,210.2,10.93,64.0,53.55,0.0,-0.31
1.55,4.33,10.35,9.0,1.84,7.1,4.51,587.72,163.19,1.05,323.81,10.43,64.69,50.31,0.0,0.21
2.41,4.33,14.64,9.0,1.33,7.1,4.49,538.06,136.45,0.95,269.91,10.89,65.65,52.27,0.0,-0.12
3.78,4.32,6.52,9.0,0.88,7.1,4.38,494.6,131.66,0.9,230.2,10.98,64.66,53.16,0.0,-0.25
2.53,4.33,5.04,9.0,0.73,5.15,4.26,447.42,93.43,0.82,182.32,11.05,64.82,53.52,18.0,4.0
3.11,4.33,6.87,9.0,1.31,5.37,4.36,539.83,143.86,0.98,277.78,10.66,64.1,51.82,0.0,-0.05
2.23,1.75,4.4,9.0,1.01,6.88,4.58,535.85,140.83,0.94,278.21,10.08,63.23,49.24,0.0,0.36
2.23,5.65,14.73,9.0,1.77,5.84,4.52,541.52,132.89,0.95,275.66,10.66,65.02,51.29,0.0,0.02
2.23,4.41,8.86,9.0,0.83,2.23,4.23,452.87,95.6,0.83,193.36,10.8,63.41,53.19,0.0,-0.33
1.57,5.65,14.73,9.0,1.01,5.84,4.29,489.24,122.11,0.9,222.64,11.15,65.2,53.85,0.0,-0.4
1.95,5.66,14.73,9.0,1.01,5.84,4.33,493.66,124.81,0.9,226.22,11.17,65.4,53.84,0.0,-0.38
1.44,5.66,14.73,9.0,1.76,2.64,4.34,491.88,112.63,0.87,231.13,10.45,63.67,50.89,0.0,-0.01
2.33,5.66,14.73,9.0,1.01,4.97,4.31,452.26,92.84,0.83,185.94,11.16,65.14,54.09,0.0,-0.47
3.92,5.66,14.73,9.0,1.01,2.91,4.32,492.75,119.84,0.86,223.5,10.94,65.87,52.74,0.0,-0.26
2.23,2.66,10.58,9.0,1.88,5.38,4.54,546.74,122.45,0.97,290.45,10.1,62.76,49.45,0.0,0.29
2.23,5.66,14.73,9.0,1.01,5.84,4.21,452.9,93.81,0.81,185.06,11.19,65.49,53.54,0.0,-0.48
2.23,5.58,9.69,9.0,1.01,4.82,4.41,473.03,107.46,0.86,205.82,11.08,65.34,53.71,0.0,-0.35
4.02,5.66,9.44,9.0,1.07,7.16,4.32,476.39,108.71,0.86,208.27,11.07,65.6,53.32,0.0,-0.36
2.23,5.66,9.04,9.0,0.84,5.84,4.21,477.75,114.71,0.86,209.53,11.17,65.7,53.28,3.0,4.0
1.55,5.66,14.73,9.0,1.01,5.84,4.4,525.24,151.84,0.96,258.18,11.12,65.3,53.64,0.0,-0.27
2.89,5.57,14.73,9.0,0.62,6.11,4.45,440.6,94.75,0.79,171.46,11.33,65.81,53.68,66.0,4.0
2.23,5.66,9.86,9.0,1.01,5.84,4.38,452.96,93.19,0.83,186.84,11.13,65.08,54.17,0.0,-0.44
1.71,4.29,14.73,9.0,1.53,5.84,4.6,535.14,129.22,0.94,269.22,10.71,65.08,51.66,0.0,0.0
4.78,5.66,4.99,9.0,1.01,3.1,4.21,501.23,125.36,0.89,236.61,10.8,64.71,52.63,0.0,-0.24
3.08,2.24,14.73,9.0,1.01,6.21,4.91,596.2,201.13,1.05,331.31,10.49,65.38,50.46,0.0,0.41
2.23,2.93,9.09,9.0,1.01,5.84,4.6,511.81,132.99,0.92,247.83,10.77,64.66,52.45,0.0,-0.06
3.97,5.66,14.73,9.0,1.01,5.84,4.31,467.71,106.5,0.86,200.81,11.15,65.27,54.15,0.0,-0.44
3.85,5.66,4.8,9.0,1.41,5.84,4.65,511.32,116.93,0.9,246.59,10.66,64.74,51.66,0.0,0.01
4.3,3.48,11.52,9.0,1.59,5.84,4.61,584.63,155.21,1.0,316.84,10.49,65.78,50.59,0.0,0.19
2.48,4.11,4.45,9.0,1.01,5.84,4.09,458.67,94.16,0.83,197.13,10.82,63.95,52.45,0.0,-0.35
