minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
1.63,1.31,2.86,9.0,1.4,3.1,4.9,617.33,164.92,1.02,365.86,9.07,61.52,45.5,0.0,1.8,1
1.45,2.02,5.08,9.0,1.0,4.93,5.0,479.24,105.32,0.88,226.71,10.16,61.74,50.74,0.0,0.33,4
1.75,2.92,5.24,9.0,0.89,5.58,4.39,458.95,96.93,0.83,200.11,10.67,63.39,52.22,0.0,-0.67,9
1.75,3.72,5.24,9.0,0.98,3.81,4.24,489.81,121.11,0.9,232.8,10.64,62.84,52.32,0.0,-0.68,24
2.42,3.72,5.24,9.0,1.0,3.99,4.17,472.31,101.57,0.85,210.48,10.74,64.04,52.19,0.0,-0.86,31
1.84,3.43,6.04,9.0,1.08,5.3,4.13,465.07,94.2,0.82,202.25,10.72,64.29,51.86,0.0,-0.87,44
4.56,3.72,7.47,9.0,1.08,7.87,4.26,486.2,113.54,0.87,219.29,10.9,65.31,52.81,0.0,-0.92,48
4.05,4.25,6.85,9.0,0.86,5.45,4.21,479.46,118.94,0.86,214.3,11.01,64.88,53.56,0.0,-1.09,124
4.05,4.25,6.85,9.0,1.13,5.45,4.11,450.31,88.12,0.81,188.74,10.89,63.99,53.33,0.0,-1.19,134
4.05,4.25,6.53,9.0,0.83,7.38,4.05,446.54,93.96,0.79,180.66,11.07,64.94,53.01,0.0,-1.29,280
2.36,4.25,6.53,9.0,1.18,7.38,4.0,436.9,76.18,0.8,175.46,10.9,63.87,53.08,0.0,-1.3,345
2.36,5.13,6.53,9.0,0.88,7.38,4.09,455.31,95.3,0.82,186.11,11.16,65.87,53.42,0.0,-1.36,567
2.32,5.13,6.53,9.0,0.88,7.38,4.04,449.93,93.71,0.81,182.83,11.15,65.3,53.61,0.0,-1.42,584
2.32,5.13,6.53,9.0,0.88,7.15,4.02,445.23,87.52,0.8,176.54,11.17,65.7,53.5,0.0,-1.46,824
2.32,5.13,5.03,9.0,0.88,7.15,4.02,439.84,87.24,0.81,175.92,11.1,64.51,53.99,0.0,-1.47,1667
3.21,5.13,8.61,9.0,0.93,7.29,4.08,435.6,84.04,0.8,170.17,11.2,64.84,54.26,0.0,-1.54,2493
