minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
4.39,3.94,8.67,9.0,1.15,2.29,4.73,510.58,125.59,0.89,253.18,10.07,63.16,50.11,0.0,0.34,0
1.76,4.24,7.65,9.0,1.82,6.6,4.68,511.64,124.26,0.92,257.59,10.03,62.31,50.33,0.0,0.29,5
2.26,4.24,2.44,9.0,1.82,7.16,4.33,494.1,108.78,0.89,241.06,9.99,62.13,49.84,0.0,0.04,13
2.26,4.9,6.13,9.0,1.82,7.56,4.31,485.92,102.87,0.87,232.56,10.11,62.2,50.14,0.0,-0.11,106
2.26,4.8,6.13,9.0,1.05,7.56,4.28,483.03,106.5,0.86,226.25,10.19,63.03,49.98,0.0,-0.15,221
2.8,4.8,8.97,9.0,1.05,5.99,4.49,483.79,108.7,0.88,228.9,10.21,62.51,51.49,0.0,-0.17,326
2.8,4.8,8.97,9.0,1.05,5.99,4.37,459.95,91.62,0.84,206.2,10.19,62.12,51.48,0.0,-0.32,787
3.59,4.8,8.97,9.0,1.05,6.83,4.43,453.59,87.98,0.83,200.07,10.21,62.12,51.76,0.0,-0.34,3272
