minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.69,3.62,6.24,9.0,1.84,4.85,4.56,502.36,129.47,0.91,242.33,10.55,63.71,51.91,0.0,0.02
3.05,2.65,11.34,9.0,1.5,2.69,4.58,595.82,198.54,1.01,327.39,10.46,66.33,49.36,0.0,0.36
4.55,3.62,8.41,9.0,1.5,5.78,5.05,571.36,187.37,1.04,308.13,10.57,64.67,51.25,1.0,4.0
2.35,3.41,7.35,9.0,1.5,4.51,4.47,528.74,150.13,0.92,265.42,10.62,64.73,51.12,0.0,0.06
4.21,5.59,9.97,9.0,1.79,6.2,4.83,588.4,203.76,1.09,327.21,10.51,64.07,51.49,0.0,0.32
2.43,2.4,4.42,9.0,1.56,6.71,4.39,470.58,109.19,0.86,211.59,10.55,63.38,52.11,0.0,-0.1
2.76,5.04,8.41,9.0,1.5,7.5,4.43,476.34,114.94,0.85,212.28,10.76,64.72,52.45,0.0,-0.16
3.11,4.6,8.41,9.0,1.5,7.5,4.36,492.18,127.78,0.88,227.34,10.68,64.93,51.93,0.0,-0.1
1.3,2.36,5.95,9.0,1.34,7.5,4.6,498.0,132.42,0.9,236.78,10.6,64.09,52.14,0.0,0.01
2.43,3.62,8.41,9.0,1.5,7.5,4.47,479.59,114.2,0.86,216.53,10.67,64.49,52.22,0.0,-0.1
2.94,1.92,6.36,9.0,1.83,7.5,4.96,499.13,127.32,0.89,238.83,10.46,63.77,51.55,0.0,0.22
4.21,5.57,12.87,9.0,1.64,3.57,4.92,487.97,121.6,0.88,225.41,10.65,64.44,52.12,0.0,0.1
2.55,5.59,9.97,9.0,1.79,6.2,4.39,528.13,145.73,0.93,264.24,10.67,64.83,51.8,0.0,-0.04
2.33,2.03,5.42,9.0,1.17,7.73,5.08,513.68,144.59,0.93,252.58,10.54,64.03,52.06,0.0,0.25
4.27,5.59,4.49,9.0,1.95,2.03,4.94,543.94,157.53,0.99,284.57,10.4,63.63,50.81,0.0,0.34
4.66,3.01,9.97,9.0,1.79,2.48,4.71,516.21,140.6,0.93,256.72,10.47,63.48,51.95,0.0,0.13
2.44,5.59,6.5,9.0,1.2,6.2,4.41,498.26,135.02,0.9,236.38,10.74,64.18,52.5,0.0,-0.12
4.21,4.38,9.97,9.0,1.79,6.2,4.54,504.52,132.78,0.9,242.96,10.63,64.12,52.32,0.0,-0.03
4.21,4.64,6.23,9.0,1.79,6.2,4.44,514.49,139.01,0.91,253.01,10.61,64.06,51.73,0.0,-0.01
2.75,5.41,10.25,9.0,0.93,7.82,4.54,499.75,138.64,0.9,236.06,10.84,64.59,52.84,0.0,-0.11
3.6,5.25,7.48,9.0,0.93,7.82,4.31,467.51,114.79,0.83,203.42,10.82,64.87,52.32,1.0,4.0
2.75,3.7,14.08,9.0,1.1,2.82,4.45,452.95,103.02,0.82,191.99,10.72,64.06,52.54,0.0,-0.17
2.75,2.71,9.92,9.0,0.93,7.82,5.06,531.09,163.8,0.94,266.91,10.65,64.93,51.67,0.0,0.27
3.38,4.76,4.69,9.0,1.61,4.74,4.64,532.82,153.64,0.96,270.07,10.62,64.41,52.24,0.0,0.06
2.28,4.83,6.3,9.0,1.88,2.14,4.54,568.35,174.51,0.99,302.92,10.44,65.4,50.28,0.0,0.24
4.3,5.25,10.25,9.0,0.93,7.82,4.92,525.0,161.92,0.96,261.43,10.74,64.66,52.34,0.0,0.15
2.75,5.25,10.25,9.0,0.93,7.82,4.63,551.62,180.08,0.98,285.64,10.76,65.52,51.74,0.0,0.1
4.65,2.71,7.1,9.0,1.81,6.33,4.7,545.3,166.49,0.99,284.55,10.53,63.94,51.42,0.0,0.19
1.64,2.71,9.92,9.0,1.71,5.56,5.08,504.07,134.91,0.91,243.41,10.56,63.89,51.85,0.0,0.24
4.86,2.71,9.92,9.0,0.93,6.14,4.61,545.35,175.19,0.97,280.92,10.65,65.16,51.27,0.0,0.14
1.64,2.19,10.01,9.0,0.93,3.79,4.94,456.12,104.16,0.83,195.33,10.65,63.81,52.68,0.0,0.04
4.41,3.96,9.92,9.0,1.7,3.72,4.75,579.94,191.39,1.01,313.21,10.55,65.62,50.87,0.0,0.29
2.75,2.75,9.92,9.0,1.88,7.82,4.57,514.72,139.67,0.93,254.29,10.57,63.86,52.22,0.0,0.02
2.75,5.44,13.49,9.0,1.36,7.82,4.61,519.55,149.53,0.95,257.33,10.74,64.28,52.48,0.0,-0.01
2.75,2.71,9.92,9.0,0.97,6.92,4.61,482.58,125.35,0.88,220.71,10.71,64.24,52.49,0.0,-0.05
3.66,5.25,10.25,9.0,0.93,7.82,4.58,538.32,169.58,0.98,273.62,10.8,64.89,52.46,0.0,0.0
2.75,4.31,10.25,9.0,0.93,7.82,4.58,501.23,140.68,0.92,237.52,10.82,64.65,53.0,0.0,-0.1
2.75,5.25,10.25,9.0,0.93,7.82,4.62,549.94,181.27,1.0,287.17,10.71,64.51,52.46,0.0,0.07
2.96,5.25,10.85,9.0,0.93,7.82,4.5,515.96,154.37,0.92,252.38,10.8,64.77,52.2,0.0,-0.04
2.75,5.25,7.56,9.0,0.93,7.84,4.46,515.49,151.21,0.91,250.99,10.79,64.89,51.95,0.0,-0.05
4.57,4.12,3.96,9.0,2.0,5.61,4.53,501.19,129.0,0.89,240.03,10.56,64.0,51.73,0.0,0.02
1.84,1.89,5.1,9.0,1.7,2.54,4.56,520.33,139.93,0.92,259.65,10.39,63.95,51.49,0.0,0.12
2.5,2.75,10.25,9.0,0.93,7.82,4.96,519.38,153.57,0.93,254.7,10.67,65.03,51.88,0.0,0.19
2.75,5.25,8.61,9.0,1.4,3.42,4.47,527.92,153.24,0.94,263.83,10.66,64.96,51.47,0.0,0.03
2.8,5.25,5.8,9.0,0.93,7.82,4.52,501.07,141.13,0.9,237.78,10.77,64.46,52.4,0.0,-0.07
2.0,2.81,10.25,9.0,0.93,7.82,4.77,468.92,114.71,0.84,206.58,10.76,64.38,52.0,0.0,0.0
4.65,5.41,11.98,9.0,0.93,7.82,4.49,484.12,127.42,0.86,219.48,10.83,64.96,52.55,0.0,-0.13
4.14,5.25,10.25,9.0,0.93,5.4,4.81,542.96,176.26,1.0,279.98,10.74,64.57,52.65,0.0,0.11
2.75,2.32,8.85,9.0,1.28,7.44,4.54,503.98,137.63,0.91,240.98,10.67,64.42,52.42,0.0,-0.04
