minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
1.51,4.59,14.78,9.0,0.9,6.53,4.38,454.13,103.18,0.84,191.14,10.96,64.46,53.33,0.0,-0.32
1.51,5.57,10.91,9.0,1.0,6.53,4.51,530.92,160.2,0.96,264.83,10.89,65.21,52.6,0.0,-0.08
3.1,4.69,6.98,9.0,1.56,4.7,4.44,502.05,123.18,0.92,241.27,10.62,63.83,52.69,0.0,-0.11
1.51,5.57,11.75,9.0,1.0,6.53,4.52,539.79,167.7,0.96,272.92,10.87,65.72,51.86,0.0,-0.01
3.78,5.57,6.98,9.0,1.0,6.53,4.44,502.62,137.54,0.9,237.02,10.83,65.35,51.93,0.0,-0.1
1.51,3.88,5.79,9.0,1.0,6.53,4.43,511.31,143.67,0.93,248.69,10.78,64.31,52.84,0.0,-0.13
1.51,5.57,6.98,9.0,1.0,6.53,4.18,448.96,97.18,0.81,184.95,10.93,64.64,52.89,0.0,-0.37
4.24,2.9,6.98,9.0,1.58,6.53,5.12,548.7,159.84,0.99,288.44,10.42,63.8,51.01,0.0,0.4
1.51,1.51,6.98,9.0,1.0,4.41,4.79,523.1,143.28,0.94,265.97,10.24,62.85,51.04,0.0,0.29
2.16,5.57,6.98,9.0,1.89,5.86,4.6,528.54,140.11,0.95,266.92,10.55,64.08,51.37,0.0,0.09
1.51,4.45,6.98,9.0,1.0,6.53,4.6,509.13,140.64,0.9,243.42,10.82,65.07,52.19,0.0,-0.04
2.88,3.96,12.8,9.0,1.0,6.53,4.38,499.93,137.59,0.9,237.89,10.84,64.3,52.48,0.0,-0.16
4.77,1.68,5.39,9.0,1.44,6.0,4.77,590.12,187.97,1.0,326.71,10.2,65.06,49.34,0.0,0.49
1.51,4.45,14.03,9.0,1.0,2.36,4.44,493.58,128.85,0.89,232.29,10.72,63.95,52.64,0.0,-0.12
4.74,4.94,14.66,9.0,0.92,6.53,5.01,544.13,173.09,0.96,277.51,10.82,65.35,52.25,0.0,0.19
2.6,4.29,6.98,9.0,1.0,2.09,4.36,476.27,111.4,0.82,212.0,10.64,64.94,51.08,0.0,-0.07
3.38,4.45,6.98,9.0,1.73,4.86,4.51,520.19,131.2,0.93,257.0,10.51,64.47,51.49,0.0,0.04
1.51,2.71,9.94,9.0,1.0,6.53,4.48,507.89,139.13,0.91,244.95,10.73,64.56,51.96,0.0,-0.05
1.51,3.24,6.98,9.0,1.0,2.41,4.29,458.21,99.38,0.82,198.57,10.57,63.66,52.04,0.0,-0.16
1.51,2.75,6.98,9.0,1.52,6.53,4.5,492.35,116.93,0.88,233.42,10.52,63.49,51.45,0.0,0.01
1.51,5.57,6.98,9.0,1.0,6.53,4.35,463.13,107.96,0.85,199.71,10.91,64.39,53.24,0.0,-0.3
3.52,5.57,9.36,9.0,1.28,6.53,4.32,484.14,116.16,0.85,218.14,10.87,65.16,52.4,0.0,-0.23
3.99,3.96,6.98,9.0,1.0,7.74,4.43,501.56,135.04,0.88,235.43,10.81,65.37,51.9,0.0,-0.1
1.51,4.31,6.98,9.0,1.0,6.53,4.5,512.44,145.49,0.93,249.02,10.83,64.6,52.89,0.0,-0.11
1.51,4.57,6.98,9.0,1.45,2.91,4.38,517.32,138.07,0.93,256.98,10.57,63.81,51.68,0.0,-0.02
1.47,5.57,5.45,9.0,0.92,4.18,4.53,508.46,142.62,0.9,243.52,10.82,64.9,52.2,0.0,-0.06
1.51,5.57,5.46,9.0,1.0,6.53,4.53,472.68,115.69,0.87,209.99,10.9,64.31,53.36,0.0,-0.21
1.51,3.95,9.37,9.0,1.0,7.28,4.44,465.79,106.1,0.82,199.68,10.86,65.16,52.3,0.0,-0.19
2.05,5.57,13.75,9.0,1.0,6.53,5.01,478.15,119.93,0.89,214.57,10.9,64.5,53.76,0.0,-0.04
1.51,5.57,6.98,9.0,1.0,6.53,4.6,543.73,170.77,0.98,278.15,10.83,65.15,52.26,0.0,0.02
1.51,3.84,6.98,9.0,1.03,6.53,4.49,480.22,120.27,0.87,218.73,10.78,64.06,52.45,0.0,-0.13
1.51,5.29,6.98,9.0,1.35,6.56,4.6,565.18,180.91,1.01,299.61,10.66,65.29,51.49,0.0,0.14
4.85,4.72,14.94,9.0,1.0,2.67,4.67,507.39,144.03,0.94,247.44,10.7,63.65,52.91,0.0,-0.01
4.56,5.57,6.41,9.0,1.59,6.53,4.51,520.0,133.59,0.92,256.85,10.62,64.43,51.57,0.0,0.01
4.45,5.0,6.98,9.0,1.0,6.53,4.34,490.27,127.63,0.88,226.38,10.84,64.66,52.86,0.0,-0.21
2.78,2.48,10.43,9.0,1.0,6.53,4.6,525.13,153.24,0.93,262.81,10.62,64.55,51.39,0.0,0.1
4.45,4.23,5.86,9.0,1.0,6.53,4.92,515.53,147.66,0.92,251.87,10.74,64.76,52.1,0.0,0.13
4.45,5.0,9.9,9.0,0.96,3.05,4.42,486.76,123.71,0.87,221.65,10.8,64.97,52.62,0.0,-0.16
