minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,iterations
2.04,4.6,5.57,9.0,1.53,5.42,4.95,521.33,121.46,0.94,260.89,10.54,63.55,51.69,0.0,0
3.1,4.34,12.81,9.0,0.76,2.21,4.57,475.49,113.63,0.85,209.31,10.87,65.01,52.61,0.0,5
2.74,4.36,5.57,9.0,1.71,7.02,4.04,470.53,83.38,0.85,213.31,10.5,62.75,51.59,0.0,9
1.49,4.68,5.57,9.0,1.71,3.64,4.07,452.08,78.91,0.81,195.0,10.41,62.6,51.06,0.0,59
2.2,5.69,5.68,9.0,1.71,3.64,4.04,454.41,75.54,0.81,194.63,10.46,63.28,51.07,0.0,70
2.2,5.16,5.07,9.0,1.71,3.64,4.27,450.22,70.29,0.82,194.87,10.41,62.04,51.82,0.0,93
1.88,5.16,3.95,9.0,1.71,3.76,4.01,441.41,67.87,0.79,185.77,10.36,62.2,51.13,0.0,805
1.88,4.85,6.81,9.0,1.55,3.76,4.1,438.37,66.69,0.78,179.3,10.57,63.25,51.32,0.0,1975
