minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.74,4.36,8.89,9.0,1.71,7.02,4.56,586.98,154.27,1.0,321.52,10.44,65.48,49.65,0.0
1.81,1.9,7.43,9.0,1.48,7.02,4.7,556.52,141.19,0.98,300.99,10.0,62.65,48.69,0.0
2.74,4.36,5.57,9.0,0.51,4.24,4.08,436.82,86.22,0.75,166.0,11.15,66.54,52.54,77.0
2.74,4.36,13.99,9.0,1.71,7.02,4.29,519.42,113.06,0.94,256.68,10.59,64.27,51.52,0.0
2.74,1.8,5.57,9.0,1.71,4.54,5.24,645.25,187.03,1.06,387.93,9.63,63.43,46.53,0.0
2.74,1.54,5.57,9.0,1.71,4.37,5.05,712.16,230.97,1.12,451.8,9.41,64.45,45.25,0.0
2.74,4.36,5.57,9.0,0.79,6.88,4.18,474.04,112.89,0.84,206.34,11.03,65.63,52.5,2.0
1.49,4.68,5.57,9.0,1.71,3.64,4.07,452.08,78.91,0.81,195.0,10.41,62.6,51.06,0.0
2.58,5.46,5.57,9.0,1.71,7.02,4.09,475.01,83.78,0.85,213.75,10.58,63.8,51.45,0.0
2.1,2.81,5.57,9.0,1.69,2.37,4.94,561.23,129.99,0.99,306.85,9.76,62.21,48.35,0.0
3.69,1.72,5.57,9.0,1.71,6.43,5.2,721.85,253.18,1.13,461.56,9.58,64.45,46.35,0.0
3.08,4.36,5.57,9.0,0.97,7.02,4.35,494.81,125.0,0.89,229.37,10.95,64.94,52.94,0.0
1.98,5.22,5.57,9.0,1.99,7.02,4.29,549.17,136.9,0.97,288.85,10.33,63.59,50.07,0.0
2.74,4.36,5.57,9.0,1.34,7.02,4.07,470.04,93.23,0.84,208.59,10.72,63.96,52.09,0.0
2.74,4.36,6.58,9.0,1.71,5.06,4.21,507.8,104.75,0.9,248.68,10.4,63.28,51.12,0.0
2.74,4.36,5.57,9.0,1.71,7.02,4.04,470.53,83.38,0.85,213.31,10.5,62.75,51.59,0.0
2.74,5.78,5.57,9.0,1.71,7.02,4.38,553.23,132.18,0.99,290.33,10.53,64.22,51.19,1.0
2.74,1.94,11.99,9.0,1.71,6.34,5.08,723.41,248.51,1.15,454.44,9.91,66.83,46.71,0.0
2.2,5.69,5.68,9.0,1.71,3.64,4.04,454.41,75.54,0.81,194.63,10.46,63.28,51.07,0.0
4.33,3.35,3.86,9.0,1.71,6.78,4.35,567.17,139.91,0.97,308.38,10.13,63.26,49.54,0.0
1.49,5.06,5.57,9.0,0.53,7.01,4.09,425.36,77.59,0.75,155.21,11.34,66.23,53.67,118.0
3.17,4.68,3.95,9.0,1.71,7.6,4.52,493.75,97.67,0.88,235.19,10.41,63.09,51.26,0.0
1.43,4.68,6.78,9.0,1.71,3.64,4.77,507.7,115.16,0.9,248.15,10.37,63.39,50.59,0.0
1.49,2.0,7.55,9.0,1.71,3.64,4.66,528.46,112.88,0.93,276.38,9.73,61.67,48.51,0.0
4.38,1.55,5.57,9.0,1.71,3.64,5.19,826.46,305.02,1.17,562.81,9.24,65.59,44.18,0.0
2.8,4.83,5.57,9.0,1.71,4.03,4.28,512.94,108.07,0.91,253.83,10.36,63.2,50.86,0.0
2.2,3.65,5.68,9.0,1.71,3.64,4.61,546.0,126.86,1.0,291.19,10.17,62.0,50.58,0.0
3.42,3.34,6.4,9.0,1.26,3.64,4.67,486.99,107.04,0.87,229.47,10.44,63.02,51.5,0.0
1.86,5.69,5.68,9.0,0.74,3.64,4.22,467.97,110.12,0.85,202.04,11.1,65.08,53.47,43.0
1.5,5.69,5.68,9.0,1.71,3.64,4.21,479.58,101.17,0.84,219.04,10.45,63.64,50.56,0.0
2.6,2.07,5.68,9.0,1.27,4.47,4.64,561.27,150.33,0.98,302.96,10.06,63.35,49.09,0.0
2.2,5.69,5.68,9.0,1.61,3.64,4.42,533.41,127.84,0.95,272.42,10.45,63.73,51.11,0.0
3.57,4.49,5.68,9.0,1.72,6.24,4.38,586.66,154.53,1.01,321.08,10.35,65.35,49.96,0.0
2.2,5.69,9.51,9.0,1.53,6.85,4.35,515.98,119.13,0.91,251.29,10.75,64.77,51.78,0.0
2.2,5.69,7.65,9.0,1.87,3.64,4.37,542.58,130.56,0.96,281.34,10.34,63.77,50.36,0.0
1.71,5.69,5.68,9.0,1.32,3.64,4.74,452.69,87.84,0.84,193.75,10.73,63.29,52.74,0.0
4.98,2.22,5.68,9.0,1.17,3.64,4.74,604.79,197.64,1.05,342.82,10.05,64.34,49.09,0.0
2.2,4.67,5.68,9.0,1.71,4.78,5.27,524.47,114.08,0.93,265.36,10.38,63.26,50.78,0.0
2.2,1.73,9.06,9.0,0.6,5.41,4.82,474.49,114.88,0.85,216.41,10.34,63.19,50.87,46.0
2.2,4.99,4.25,9.0,1.76,3.64,4.14,476.2,82.23,0.86,219.03,10.29,62.55,51.02,0.0
2.2,5.69,5.68,9.0,1.49,3.64,4.72,514.66,116.31,0.92,253.39,10.57,63.78,51.88,0.0
2.2,5.16,5.07,9.0,1.71,3.64,4.27,450.22,70.29,0.82,194.87,10.41,62.04,51.82,0.0
2.2,5.69,9.51,9.0,1.5,7.37,4.22,488.83,102.54,0.89,225.58,10.84,64.31,52.83,0.0
1.55,5.16,5.07,9.0,1.53,6.85,4.22,465.22,90.47,0.81,200.69,10.67,64.67,51.19,0.0
3.69,2.48,5.07,9.0,1.71,2.86,4.67,582.8,144.11,0.97,327.59,9.74,62.44,48.16,0.0
2.2,5.45,9.34,9.0,1.58,6.85,4.5,540.85,130.46,0.96,276.18,10.7,64.78,51.51,0.0
2.56,5.69,5.07,9.0,1.89,3.64,4.58,574.54,136.15,1.03,313.73,10.22,63.56,49.95,0.0
3.62,5.52,9.51,9.0,1.53,6.85,4.36,550.44,140.54,0.99,286.39,10.7,64.66,51.92,0.0
2.2,5.7,3.82,9.0,1.57,3.64,4.22,474.61,87.8,0.84,214.58,10.45,63.47,51.05,0.0
1.66,5.38,5.07,9.0,1.71,6.85,4.86,487.61,107.01,0.87,227.7,10.54,63.42,51.63,0.0
2.2,5.16,5.07,9.0,0.68,7.24,4.09,444.0,91.35,0.79,175.23,11.22,65.84,53.15,43.0
4.96,5.13,8.71,9.0,1.96,2.94,4.34,506.93,97.91,0.93,253.01,10.16,61.76,50.93,0.0
2.91,4.46,5.07,9.0,1.71,3.64,4.23,504.57,100.09,0.89,246.63,10.28,62.9,50.36,0.0
2.2,4.99,3.76,9.0,0.92,3.5,4.3,459.97,94.3,0.82,195.4,10.84,64.64,52.45,0.0
