minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,iterations
4.15,4.77,7.47,9.0,1.21,6.55,4.32,490.11,113.53,0.88,226.2,10.87,64.6,52.96,0.0,1
2.25,3.71,7.4,9.0,1.1,5.89,4.15,464.07,94.43,0.83,200.0,10.88,64.53,52.39,0.0,6
3.32,3.71,7.4,9.0,0.87,5.89,4.28,462.96,106.53,0.86,200.36,10.97,64.17,53.83,0.0,25
4.05,5.0,13.04,9.0,1.09,5.08,4.27,469.07,103.08,0.84,202.94,11.0,65.01,53.0,0.0,37
2.78,5.21,13.04,9.0,1.09,6.91,4.39,504.22,130.02,0.91,237.87,11.03,65.21,52.97,0.0,77
1.45,5.24,13.33,9.0,1.09,6.91,4.17,465.24,101.9,0.83,197.12,11.15,65.56,53.37,0.0,98
1.45,5.24,11.24,9.0,1.0,6.91,4.22,464.81,100.55,0.83,194.71,11.19,66.08,53.29,0.0,127
1.45,5.24,13.91,9.0,1.0,7.41,4.21,456.4,96.71,0.83,187.89,11.23,65.69,53.66,0.0,358
2.14,5.45,13.91,9.0,0.97,7.31,4.26,456.93,97.75,0.83,188.72,11.24,65.58,53.8,0.0,1665
1.94,5.74,13.91,9.0,0.97,7.31,4.4,452.41,94.91,0.84,184.69,11.25,65.46,54.49,0.0,2383
1.62,5.74,12.11,9.0,0.97,7.31,4.09,452.18,93.03,0.82,183.58,11.26,65.69,53.7,0.0,2387
2.36,5.74,14.16,9.0,0.92,7.16,4.07,455.11,96.51,0.81,186.5,11.27,65.63,53.69,0.0,2495
