accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,5.15,562.11,168.62,0.98,304.77,9.98,63.09,49.08,0
1.53878,4.76,538.91,150.37,0.93,281.1,10.09,63.1,50.06,0
1.62755,4.87,591.49,192.83,1.05,332.44,10.08,63.63,49.3,0
1.71633,4.79,575.41,181.01,1.03,316.1,10.14,63.68,50.19,0
1.8051,4.76,566.23,173.54,1.02,307.55,10.17,63.42,50.21,0
1.89388,5.36,622.47,216.21,1.08,359.18,10.18,65.04,49.4,0
1.98265,4.61,590.89,190.35,1.0,325.61,10.24,65.61,48.97,0
2.07143,4.54,487.7,115.56,0.87,228.98,10.36,63.43,51.41,0
2.1602,4.64,579.95,183.62,1.03,317.12,10.33,64.55,49.97,0
2.24898,4.76,554.06,165.09,1.0,292.16,10.37,64.2,50.82,0
2.33776,4.66,550.03,163.17,0.98,289.2,10.37,63.93,50.51,0
2.42653,4.71,591.45,191.49,1.03,326.26,10.39,65.4,49.58,0
2.51531,4.63,533.23,150.36,0.96,271.83,10.47,64.03,51.34,0
2.60408,4.54,534.33,151.45,0.96,272.3,10.49,64.38,50.93,0
2.69286,4.45,542.48,152.93,0.94,276.06,10.53,65.77,50.07,0
2.78163,4.5,464.84,102.49,0.84,206.8,10.58,63.2,52.27,0
2.87041,4.78,546.24,158.72,0.96,281.8,10.53,64.9,50.54,0
2.95918,4.62,529.36,148.69,0.96,267.64,10.6,64.14,51.74,0
3.04796,4.55,512.46,137.04,0.93,251.71,10.62,63.9,51.69,0
3.13673,4.88,528.71,150.01,0.96,267.19,10.61,64.11,52.26,0
3.22551,4.87,514.73,139.59,0.94,254.23,10.6,63.79,51.92,0
3.31429,4.43,516.18,137.37,0.91,251.13,10.69,65.1,51.2,0
3.40306,4.44,488.45,118.87,0.88,225.97,10.75,64.29,52.56,0
3.49184,4.34,450.61,93.18,0.82,190.16,10.77,63.87,52.83,0
3.58061,4.33,493.19,122.09,0.88,229.47,10.69,64.57,51.92,0
3.66939,4.78,505.67,127.5,0.9,238.04,10.78,65.57,51.81,0
3.75816,4.46,512.28,138.21,0.92,248.4,10.74,64.63,52.03,0
3.84694,4.51,541.33,158.1,0.99,277.29,10.72,64.7,52.54,0
3.93571,4.36,521.15,142.65,0.93,256.08,10.76,64.87,51.96,0
4.02449,4.61,554.27,170.08,1.03,289.52,10.71,64.79,52.25,0
4.11327,4.53,541.2,157.95,0.98,275.91,10.76,64.96,51.91,0
4.20204,4.4,505.83,130.99,0.9,240.51,10.79,64.93,52.0,0
4.29082,4.53,515.11,139.13,0.94,250.69,10.81,64.77,53.08,0
4.37959,4.46,516.84,144.04,0.95,254.41,10.78,64.25,52.79,0
4.46837,4.59,531.56,151.47,0.95,264.45,10.8,65.33,52.55,0
4.55714,4.88,523.3,146.81,0.95,258.32,10.78,64.86,52.16,0
4.64592,4.32,504.92,132.54,0.91,240.19,10.85,64.82,52.78,0
4.73469,4.32,477.59,112.64,0.87,213.96,10.9,64.45,52.94,0
4.82347,4.29,494.41,124.75,0.89,230.7,10.87,64.57,52.71,0
4.91224,4.52,522.87,141.64,0.92,254.32,10.83,65.79,52.39,0
5.00102,4.5,506.03,133.98,0.92,242.15,10.9,64.56,53.33,0
5.0898,4.37,549.56,165.91,0.98,282.36,10.81,65.47,51.83,0
5.17857,4.35,459.97,99.26,0.86,197.17,10.91,64.3,53.79,0
5.26735,4.36,468.2,104.44,0.84,202.79,10.91,64.94,52.65,0
5.35612,4.32,473.73,107.49,0.84,206.13,10.96,65.59,52.37,0
5.4449,4.42,476.17,111.4,0.87,212.0,10.92,64.67,53.1,0
5.53367,4.31,490.86,121.49,0.88,225.86,10.92,64.88,52.88,0
5.62245,4.68,482.71,112.47,0.85,214.02,10.97,65.81,52.57,0
5.71122,4.48,471.19,110.01,0.88,207.39,10.96,64.48,53.92,0
