decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,4.72,454.76,92.86,0.82,196.97,10.49,63.15,51.62,0
3.97959,4.37,505.84,130.18,0.9,246.47,10.45,63.57,50.96,0
4.20918,4.38,497.63,123.93,0.9,238.27,10.52,63.54,51.43,0
4.43878,4.85,489.87,116.49,0.87,228.12,10.53,64.11,51.68,0
4.66837,4.85,484.8,113.29,0.87,224.37,10.54,63.8,51.46,0
4.89796,4.49,503.15,128.52,0.9,243.72,10.53,63.57,51.65,0
5.12755,4.77,467.48,101.18,0.83,205.68,10.59,64.07,51.65,0
5.35714,4.77,549.18,163.37,0.97,286.69,10.47,64.4,50.54,0
5.58673,4.37,499.67,124.65,0.89,237.64,10.57,64.19,51.55,0
5.81633,4.49,492.11,121.45,0.9,233.81,10.54,63.16,52.37,0
6.04592,4.68,574.9,181.53,1.02,309.54,10.5,65.32,50.29,0
6.27551,4.32,501.58,125.77,0.88,237.42,10.58,64.79,51.08,0
6.5051,4.45,487.73,117.9,0.88,226.52,10.61,64.01,51.81,0
6.73469,4.55,494.2,120.7,0.88,230.34,10.62,64.71,51.54,0
6.96429,4.48,523.43,145.53,0.96,264.39,10.56,63.39,52.2,0
7.19388,4.46,492.21,120.89,0.88,231.11,10.62,63.98,51.91,0
7.42347,4.51,517.95,141.4,0.94,256.89,10.63,63.95,52.08,0
7.65306,4.45,502.94,129.39,0.91,242.14,10.63,63.87,52.11,0
7.88265,4.86,471.62,108.12,0.87,212.55,10.63,63.48,52.42,0
8.11224,4.9,511.04,133.47,0.91,248.06,10.66,64.47,51.61,0
8.34184,4.53,552.02,166.08,1.0,289.1,10.56,64.68,51.19,0
8.57143,4.44,521.73,141.29,0.92,257.85,10.61,64.83,50.98,0
8.80102,4.55,506.18,130.17,0.9,242.45,10.65,64.64,51.78,0
9.03061,4.5,537.95,155.96,0.96,274.72,10.57,64.54,51.27,0
9.2602,4.45,480.19,114.33,0.88,219.12,10.63,63.93,52.58,0
9.4898,4.49,510.68,137.38,0.92,250.86,10.6,63.7,51.94,0
9.71939,4.47,561.47,173.23,0.99,296.36,10.56,65.37,50.18,0
9.94898,4.4,500.24,126.88,0.88,236.57,10.66,64.61,51.4,0
10.17857,4.59,527.5,148.02,0.93,263.77,10.61,64.59,51.6,0
10.40816,4.74,453.9,96.29,0.82,194.11,10.66,63.66,52.26,0
10.63776,4.57,510.01,135.15,0.92,248.65,10.65,64.07,51.92,0
10.86735,4.52,520.6,144.19,0.95,259.25,10.65,64.03,52.17,0
11.09694,4.41,486.4,118.94,0.89,225.61,10.66,63.91,52.34,0
11.32653,4.59,550.48,161.0,0.99,284.81,10.62,65.2,51.44,0
11.55612,4.56,491.88,123.8,0.89,230.88,10.67,63.95,52.52,0
11.78571,4.52,544.05,156.61,0.95,277.83,10.61,65.55,50.65,0
12.01531,4.39,492.91,123.92,0.89,231.35,10.66,64.1,52.1,0
12.2449,4.67,544.1,160.13,0.98,280.68,10.62,64.76,51.61,0
12.47449,4.74,558.21,172.25,1.02,295.01,10.61,64.53,51.36,0
12.70408,4.52,500.49,128.94,0.91,238.83,10.66,64.11,52.02,0
12.93367,4.59,514.43,137.31,0.91,250.06,10.68,64.8,51.43,0
13.16327,4.58,511.23,135.88,0.93,249.1,10.69,64.21,52.35,0
13.39286,4.46,487.0,118.65,0.89,225.57,10.71,64.05,52.4,0
13.62245,4.36,464.34,104.43,0.85,204.19,10.69,63.72,52.43,0
13.85204,4.51,486.41,116.87,0.88,222.91,10.69,64.53,52.19,0
14.08163,4.62,509.25,136.1,0.92,247.68,10.68,64.08,52.12,0
14.31122,4.4,479.11,115.04,0.86,218.07,10.68,63.95,52.12,0
14.54082,4.47,487.33,119.53,0.88,225.78,10.69,64.09,52.41,1
14.77041,4.87,529.18,148.54,0.93,263.06,10.66,65.28,51.19,0
15.0,4.43,465.09,102.7,0.84,203.11,10.71,64.18,52.51,0
