tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,4.32,443.68,95.54,0.78,178.93,10.86,64.86,51.83,74
0.53061,4.18,434.25,87.84,0.76,170.83,10.83,64.54,51.89,54
0.56122,4.28,439.09,92.58,0.8,177.18,10.79,64.1,53.11,54
0.59184,4.2,448.67,97.9,0.79,184.6,10.79,64.71,52.12,51
0.62245,4.35,497.87,136.8,0.87,232.43,10.74,65.31,51.2,57
0.65306,4.28,435.44,87.79,0.79,174.51,10.78,63.92,52.75,21
0.68367,4.69,448.65,97.84,0.82,188.4,10.73,63.7,52.71,24
0.71429,4.46,453.97,102.32,0.84,194.02,10.74,63.52,52.94,14
0.7449,4.33,458.83,104.5,0.84,198.23,10.73,63.88,52.92,7
0.77551,4.49,509.77,144.9,0.93,247.77,10.68,64.21,52.17,7
0.80612,4.72,550.55,176.88,1.0,288.06,10.62,64.5,51.38,1
0.83673,4.56,546.95,168.9,0.99,282.82,10.63,64.7,51.82,0
0.86735,4.7,567.61,183.92,1.0,301.48,10.59,65.41,50.79,0
0.89796,4.57,539.1,161.69,0.98,276.4,10.58,64.34,51.43,0
0.92857,5.3,481.58,115.82,0.88,219.82,10.62,64.17,52.17,0
0.95918,4.41,466.37,102.45,0.85,204.47,10.67,64.21,51.88,0
0.9898,4.72,551.29,168.01,1.01,289.59,10.54,64.18,51.49,0
1.02041,4.34,485.86,114.79,0.87,224.2,10.63,64.1,52.08,0
1.05102,4.42,508.87,131.76,0.92,247.5,10.56,64.03,51.83,0
1.08163,4.62,482.55,111.65,0.85,219.88,10.62,64.37,51.95,0
1.11224,4.52,519.71,137.83,0.94,260.12,10.52,63.54,51.16,0
1.14286,4.38,481.45,109.58,0.87,221.67,10.55,63.66,51.55,0
1.17347,4.74,568.16,168.21,1.04,305.05,10.52,64.44,51.42,0
1.20408,4.39,491.95,115.78,0.89,233.5,10.51,63.31,52.01,0
1.23469,4.5,477.86,106.21,0.87,220.44,10.51,63.07,51.85,0
1.26531,4.61,514.36,131.0,0.93,255.24,10.46,63.45,51.62,0
1.29592,4.68,532.2,140.25,0.95,270.0,10.45,64.21,51.3,0
1.32653,4.53,564.32,162.19,1.01,302.98,10.39,64.1,50.38,0
1.35714,5.0,548.87,147.46,0.96,285.81,10.42,64.51,50.52,0
1.38776,4.71,535.72,141.79,1.0,280.3,10.35,62.58,51.24,0
1.41837,4.38,505.97,116.89,0.89,246.02,10.41,63.71,50.65,0
1.44898,4.55,558.46,152.29,0.98,296.26,10.3,64.48,49.96,0
1.47959,4.49,542.17,139.22,0.98,282.8,10.36,63.48,50.58,0
1.5102,4.56,541.32,136.64,0.95,280.7,10.35,63.85,49.88,0
1.54082,4.88,585.37,169.85,1.08,329.21,10.25,62.74,50.52,0
1.57143,4.48,557.54,145.17,0.98,296.65,10.29,63.95,50.11,0
1.60204,4.62,525.21,131.05,0.95,268.7,10.27,62.79,50.57,0
1.63265,4.56,625.77,187.15,1.04,358.29,10.25,66.32,48.61,0
1.66327,4.61,540.99,136.11,0.99,285.09,10.25,62.65,50.5,0
1.69388,5.35,518.33,119.96,0.93,261.34,10.23,62.92,50.73,0
1.72449,4.45,544.99,132.67,0.96,285.8,10.27,63.41,50.05,0
1.7551,4.63,545.95,135.28,0.96,288.91,10.18,62.93,49.61,0
1.78571,4.65,534.78,126.78,0.97,279.45,10.19,62.45,50.49,0
1.81633,4.58,552.63,138.75,0.96,293.64,10.16,63.31,49.28,0
1.84694,4.73,572.7,148.39,1.02,314.14,10.15,63.31,49.48,0
1.87755,5.42,671.56,213.61,1.13,407.75,10.02,65.31,48.09,0
1.90816,4.71,617.71,169.42,1.07,355.33,10.09,64.56,48.91,0
1.93878,4.34,475.36,89.72,0.86,223.59,10.15,61.4,50.91,0
1.96939,4.54,536.31,123.08,0.95,280.11,10.09,62.61,49.78,0
2.0,4.55,578.98,142.61,1.0,318.87,10.08,63.83,49.13,0
