delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,4.44,490.69,115.94,0.89,232.94,10.35,63.15,51.89,0
2.12245,4.62,594.35,192.81,1.05,331.15,10.3,64.78,49.88,0
2.2449,4.93,494.61,121.04,0.9,237.23,10.37,63.08,51.23,0
2.36735,4.53,514.31,135.19,0.95,256.38,10.39,63.17,51.91,0
2.4898,4.67,556.25,166.76,1.02,296.04,10.38,63.77,50.76,0
2.61224,4.4,465.11,99.52,0.83,206.16,10.46,63.46,51.28,0
2.73469,4.36,489.28,115.84,0.86,227.85,10.49,64.05,50.4,0
2.85714,4.88,493.77,124.35,0.9,236.62,10.48,62.97,52.03,0
2.97959,4.79,494.66,121.69,0.89,233.27,10.52,64.02,51.66,0
3.10204,4.58,530.88,149.24,0.96,270.34,10.5,63.82,51.71,0
3.22449,4.66,547.94,165.9,1.01,288.94,10.43,63.5,51.15,0
3.34694,4.36,475.63,107.92,0.87,215.14,10.6,63.79,52.3,0
3.46939,4.32,502.36,126.97,0.89,240.95,10.57,64.02,51.57,0
3.59184,4.32,492.43,121.54,0.87,230.6,10.59,64.2,51.34,0
3.71429,4.36,481.6,112.75,0.86,220.71,10.61,63.92,51.63,0
3.83673,4.31,505.35,130.33,0.91,244.41,10.59,63.96,51.58,0
3.95918,4.49,565.04,177.32,1.01,302.32,10.52,64.37,50.86,0
4.08163,4.72,548.56,162.13,0.99,284.91,10.58,64.6,51.07,0
4.20408,4.53,574.37,186.58,1.05,312.33,10.52,64.29,50.89,0
4.32653,4.38,497.46,126.38,0.88,237.56,10.6,63.7,51.42,0
4.44898,4.51,488.93,119.47,0.88,226.75,10.64,64.2,51.94,0
4.57143,4.38,498.66,125.18,0.9,235.66,10.66,64.41,51.89,0
4.69388,4.5,523.22,144.65,0.94,261.46,10.63,64.14,51.73,0
4.81633,4.63,536.7,154.1,0.96,272.74,10.61,64.93,51.34,0
4.93878,4.7,558.24,171.38,1.01,294.52,10.6,64.61,51.37,0
5.06122,4.62,577.06,181.47,1.01,309.01,10.59,66.12,50.59,0
5.18367,4.48,541.76,157.53,0.97,278.14,10.6,64.68,51.3,0
5.30612,4.44,542.77,159.11,0.95,277.3,10.63,65.18,50.81,0
5.42857,4.51,511.72,138.16,0.91,249.12,10.65,64.41,51.47,0
5.55102,4.32,496.94,123.69,0.88,233.32,10.67,64.63,51.5,0
5.67347,4.41,481.56,115.43,0.89,221.5,10.71,63.76,52.71,0
5.79592,4.49,541.69,156.16,0.94,275.63,10.68,65.57,50.94,0
5.91837,4.53,535.46,153.83,0.95,270.25,10.63,65.11,51.4,0
6.04082,4.28,475.93,110.74,0.86,214.24,10.74,64.16,51.97,0
6.16327,5.01,512.54,139.15,0.92,251.13,10.68,64.08,52.05,0
6.28571,4.47,548.04,162.51,0.96,281.12,10.7,65.58,51.1,0
6.40816,4.42,487.57,118.53,0.87,224.39,10.74,64.52,52.31,0
6.53061,4.34,495.44,122.64,0.87,231.56,10.74,64.66,51.5,0
6.65306,4.57,500.15,128.64,0.92,238.51,10.72,64.12,52.83,0
6.77551,4.36,484.33,117.26,0.87,222.18,10.73,64.27,52.17,0
6.89796,4.54,548.75,162.71,0.98,283.17,10.67,65.24,51.28,0
7.02041,4.42,479.41,111.7,0.86,215.81,10.76,64.59,52.25,0
7.14286,4.43,487.83,120.56,0.9,228.83,10.7,63.5,52.4,0
7.26531,4.37,482.31,117.5,0.89,221.64,10.73,63.93,52.31,0
7.38776,4.61,549.92,166.48,1.0,287.3,10.65,64.35,51.31,0
7.5102,4.62,555.94,169.11,0.99,290.4,10.67,65.17,51.26,0
7.63265,4.65,543.71,160.43,0.98,279.14,10.68,64.84,51.71,0
7.7551,4.89,485.31,119.54,0.88,224.56,10.74,63.88,52.29,0
7.87755,4.42,491.18,120.54,0.87,225.49,10.75,65.17,51.82,0
8.0,4.6,538.69,157.71,0.99,274.75,10.7,64.68,51.88,0
