decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,4.5,505.45,142.5,0.89,241.51,10.68,64.98,51.47,0
3.97959,5.05,542.5,170.42,0.96,278.45,10.6,65.05,51.85,0
4.20918,4.44,497.9,137.38,0.88,234.41,10.7,64.59,52.04,0
4.43878,4.4,457.41,107.67,0.82,195.92,10.69,64.15,52.73,0
4.66837,4.82,458.66,109.78,0.84,197.58,10.72,63.89,52.85,0
4.89796,4.44,469.77,114.59,0.84,206.0,10.73,64.66,52.62,0
5.12755,4.86,613.72,232.77,1.11,349.18,10.51,65.17,51.11,0
5.35714,4.41,462.15,111.94,0.84,201.05,10.71,63.97,52.93,0
5.58673,4.82,478.26,122.77,0.86,214.52,10.71,64.75,52.19,0
5.81633,4.45,484.92,127.55,0.87,221.85,10.71,64.45,52.3,0
6.04592,4.62,515.26,150.7,0.92,251.92,10.69,64.68,52.25,0
6.27551,4.59,503.01,142.57,0.9,238.37,10.65,64.93,51.98,0
6.5051,4.41,516.72,150.13,0.91,250.99,10.69,65.44,51.81,0
6.73469,4.5,483.92,128.19,0.87,221.25,10.71,64.46,52.49,0
6.96429,4.61,541.09,172.56,0.98,277.59,10.64,64.61,52.06,0
7.19388,4.45,464.27,110.93,0.84,199.94,10.75,64.78,52.7,0
7.42347,4.6,523.78,158.78,0.95,260.94,10.64,64.69,52.04,0
7.65306,4.5,488.92,133.33,0.9,228.75,10.68,63.66,52.92,0
7.88265,4.57,475.29,121.82,0.87,213.14,10.7,64.26,52.63,0
8.11224,4.48,497.25,134.32,0.86,231.55,10.72,65.4,50.89,0
8.34184,4.57,497.95,137.3,0.89,235.48,10.7,64.38,52.2,0
8.57143,4.47,475.16,121.63,0.87,213.85,10.7,63.99,52.9,0
8.80102,5.0,517.85,154.25,0.92,253.36,10.68,64.84,52.53,0
9.03061,4.65,545.95,173.63,0.98,281.63,10.64,65.16,51.64,0
9.2602,4.58,521.13,156.15,0.94,257.57,10.69,64.55,52.57,0
9.4898,4.74,570.31,194.19,1.01,304.22,10.63,65.54,51.17,0
9.71939,4.33,465.23,113.03,0.82,201.54,10.74,64.72,51.99,0
9.94898,4.42,522.48,152.77,0.91,254.87,10.73,66.02,51.13,0
10.17857,4.55,532.8,163.67,0.95,268.37,10.68,64.81,52.07,0
10.40816,4.48,465.99,113.63,0.84,202.93,10.72,64.49,52.6,0
10.63776,4.45,498.75,138.42,0.89,235.11,10.68,64.79,52.11,0
10.86735,4.29,454.54,105.8,0.83,192.64,10.71,64.18,52.83,0
11.09694,4.98,530.44,161.65,0.94,265.37,10.67,65.32,51.58,0
11.32653,4.47,490.82,133.21,0.88,226.95,10.73,64.69,52.42,0
11.55612,4.55,501.84,141.55,0.9,238.39,10.71,64.52,52.44,0
11.78571,5.07,523.95,159.26,0.95,261.37,10.64,64.41,52.26,0
12.01531,4.54,563.95,186.73,0.99,296.51,10.65,65.99,50.46,1
12.2449,4.4,456.4,106.16,0.82,193.05,10.75,64.56,52.55,0
12.47449,4.59,522.74,157.13,0.94,259.08,10.7,64.65,52.53,0
12.70408,4.42,486.07,127.22,0.87,221.88,10.73,64.89,52.75,0
12.93367,4.6,524.01,158.56,0.94,260.21,10.71,64.73,52.33,0
13.16327,4.99,489.33,131.97,0.91,226.17,10.71,64.45,53.29,0
13.39286,4.65,503.47,142.45,0.91,240.5,10.7,64.55,52.43,0
13.62245,4.45,492.31,135.37,0.89,230.46,10.69,64.19,52.65,0
13.85204,5.08,527.56,161.31,0.94,262.6,10.67,65.3,51.72,0
14.08163,4.4,470.33,116.15,0.84,206.69,10.74,64.67,52.18,0
14.31122,4.51,484.08,128.15,0.89,222.81,10.73,63.98,52.89,0
14.54082,4.31,466.43,112.31,0.83,202.18,10.75,64.86,52.43,0
14.77041,5.13,549.44,178.72,0.99,285.8,10.65,64.89,51.71,0
15.0,4.62,498.38,140.05,0.89,235.88,10.72,64.4,52.21,0
