minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,4.48,483.42,128.91,0.88,222.6,10.69,63.9,52.75,0
1.32653,4.67,482.92,126.99,0.88,220.77,10.71,64.23,52.74,0
1.40306,4.5,498.0,137.8,0.91,236.11,10.72,64.14,52.81,0
1.47959,4.73,491.51,132.78,0.89,229.13,10.7,64.17,53.08,0
1.55612,4.47,460.01,108.76,0.84,198.74,10.72,64.03,53.15,1
1.63265,4.42,481.49,125.06,0.85,217.63,10.69,65.02,51.72,0
1.70918,5.05,508.3,145.44,0.9,244.57,10.68,64.98,51.52,0
1.78571,4.58,491.56,133.85,0.89,229.0,10.71,64.38,52.65,0
1.86224,4.59,511.15,147.59,0.9,246.95,10.7,64.96,51.84,0
1.93878,4.52,513.82,150.3,0.91,250.23,10.66,64.7,51.77,0
2.01531,4.57,515.03,151.41,0.9,252.08,10.67,64.65,51.77,0
2.09184,5.01,518.89,156.23,0.95,256.96,10.65,64.15,52.45,0
2.16837,4.51,509.96,147.34,0.92,246.92,10.65,64.72,51.96,0
2.2449,4.64,509.36,146.18,0.91,246.23,10.71,64.51,52.32,0
2.32143,4.46,528.64,160.09,0.94,263.78,10.68,65.23,51.42,0
2.39796,4.49,490.41,133.56,0.88,227.76,10.68,64.56,52.19,0
2.47449,4.43,463.65,113.55,0.85,202.33,10.76,64.09,53.14,0
2.55102,4.55,484.95,129.13,0.87,221.72,10.71,64.54,52.31,0
2.62755,4.73,564.62,190.66,1.01,300.39,10.63,65.1,51.13,0
2.70408,4.52,481.5,123.95,0.86,217.42,10.71,64.94,52.29,0
2.78061,4.58,465.47,114.65,0.86,204.13,10.71,64.02,53.15,0
2.85714,4.53,483.79,126.53,0.87,220.4,10.7,64.68,52.01,0
2.93367,4.65,567.28,192.02,1.01,302.59,10.62,65.22,51.11,0
3.0102,5.13,521.6,157.12,0.96,259.31,10.64,64.26,52.52,0
3.08673,5.01,513.7,150.29,0.92,250.18,10.68,64.68,52.25,0
3.16327,4.71,482.11,127.21,0.86,218.53,10.69,64.52,52.3,1
3.2398,4.39,473.56,119.52,0.86,210.71,10.73,64.47,52.98,0
3.31633,4.43,488.21,129.45,0.88,224.08,10.71,64.85,52.22,0
3.39286,4.87,451.97,104.08,0.83,190.32,10.74,64.04,53.26,0
3.46939,4.38,477.26,122.57,0.84,213.84,10.72,64.61,52.12,0
3.54592,4.71,456.64,106.72,0.83,194.08,10.74,64.39,52.92,0
3.62245,4.6,511.32,147.36,0.91,246.48,10.69,65.11,52.32,0
3.69898,4.42,488.96,129.94,0.87,224.12,10.7,64.85,52.14,0
3.77551,4.52,491.78,135.86,0.88,230.17,10.71,64.18,52.45,0
3.85204,4.5,502.55,141.05,0.88,238.58,10.7,64.87,51.59,0
3.92857,5.38,487.3,130.67,0.87,223.5,10.69,64.66,52.7,0
4.0051,4.6,508.4,144.24,0.9,243.4,10.69,65.11,51.82,0
4.08163,5.07,573.51,198.91,1.01,307.93,10.6,65.51,51.03,0
4.15816,4.43,481.39,125.47,0.86,218.6,10.73,64.39,52.21,0
4.23469,4.71,556.49,185.89,0.99,292.24,10.63,65.14,51.58,0
4.31122,4.76,533.64,169.28,0.98,271.82,10.61,64.26,52.38,0
4.38776,4.54,502.95,142.64,0.9,240.45,10.68,64.34,52.5,0
4.46429,4.51,489.89,131.2,0.88,227.63,10.7,64.26,52.46,0
4.54082,4.6,539.04,172.8,0.97,275.77,10.6,64.59,51.93,0
4.61735,4.67,519.08,154.58,0.94,254.38,10.67,65.16,52.18,0
4.69388,4.87,610.91,226.29,1.05,341.44,10.62,66.52,50.48,0
4.77041,4.97,518.32,156.96,0.95,256.99,10.65,63.96,53.17,0
4.84694,4.65,502.08,142.22,0.9,238.33,10.7,64.69,52.44,0
4.92347,4.49,502.73,143.18,0.91,240.7,10.71,64.23,52.67,0
