accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,4.53,504.2,140.66,0.89,241.25,10.61,64.61,51.84,0
1.53878,4.59,518.04,151.11,0.92,254.38,10.59,64.73,51.65,0
1.62755,4.9,480.48,124.65,0.86,217.87,10.64,64.43,52.22,0
1.71633,4.62,564.85,185.33,0.98,297.31,10.61,66.03,50.68,0
1.8051,4.7,580.04,200.54,1.02,314.57,10.56,65.45,50.75,0
1.89388,4.62,480.45,123.91,0.88,219.71,10.68,63.73,53.08,0
1.98265,4.46,484.44,128.25,0.88,223.21,10.68,64.04,52.44,0
2.07143,4.48,507.95,145.27,0.9,245.75,10.63,64.41,51.85,0
2.1602,4.59,495.39,134.06,0.88,232.47,10.67,64.54,52.16,0
2.24898,4.68,569.82,195.15,1.02,305.46,10.6,65.17,51.33,0
2.33776,4.9,489.07,128.31,0.86,223.49,10.68,65.44,50.95,0
2.42653,4.63,502.84,141.19,0.89,239.25,10.69,64.64,52.11,0
2.51531,4.36,487.88,130.75,0.86,224.42,10.68,64.67,52.12,0
2.60408,4.46,505.03,141.72,0.9,241.08,10.69,64.92,51.7,0
2.69286,4.94,511.59,146.64,0.91,247.8,10.64,64.86,51.83,0
2.78163,4.54,547.47,176.41,0.99,284.07,10.64,64.77,51.8,0
2.87041,4.57,500.37,138.34,0.9,237.45,10.7,64.4,52.39,0
2.95918,5.35,775.62,369.41,1.29,502.24,10.45,68.19,48.55,0
3.04796,4.91,540.85,170.35,0.96,275.64,10.64,65.36,50.95,0
3.13673,4.47,496.78,136.81,0.89,233.95,10.72,64.35,52.25,0
3.22551,4.55,548.36,174.04,0.96,280.94,10.69,65.88,50.96,0
3.31429,5.02,527.78,160.33,0.93,263.13,10.67,64.96,52.07,0
3.40306,4.55,503.32,142.13,0.9,240.84,10.7,64.35,52.36,1
3.49184,4.58,509.06,146.66,0.91,245.08,10.73,64.83,52.26,0
3.58061,4.56,506.14,144.76,0.9,242.92,10.69,64.72,52.09,0
3.66939,4.82,474.24,120.17,0.87,211.92,10.74,64.25,53.17,0
3.75816,4.63,490.06,134.56,0.9,227.91,10.72,64.18,52.92,0
3.84694,4.39,492.38,131.82,0.87,227.83,10.75,65.04,51.89,0
3.93571,4.43,451.41,102.64,0.81,188.43,10.78,64.41,52.59,0
4.02449,4.85,503.81,141.4,0.87,236.09,10.72,65.95,51.49,0
4.11327,4.97,498.8,140.83,0.9,237.06,10.7,64.24,52.56,0
4.20204,4.54,513.01,149.19,0.91,249.35,10.68,64.91,51.69,0
4.29082,4.46,493.85,133.73,0.9,231.8,10.71,64.25,52.63,0
4.37959,4.43,467.97,115.98,0.84,204.34,10.75,64.59,52.69,0
4.46837,4.38,472.86,118.26,0.85,207.96,10.76,64.96,52.54,0
4.55714,4.47,515.01,149.25,0.9,249.64,10.73,65.39,51.5,0
4.64592,4.59,472.42,120.86,0.87,210.84,10.75,64.0,53.26,0
4.73469,4.63,511.86,148.19,0.92,247.27,10.71,65.01,52.1,0
4.82347,4.4,464.98,112.04,0.84,201.42,10.79,64.61,53.04,0
4.91224,4.58,493.15,134.53,0.89,230.35,10.75,64.34,52.7,0
5.00102,4.99,472.09,118.91,0.85,208.53,10.73,64.54,52.73,0
5.0898,4.91,470.09,118.48,0.84,206.3,10.76,64.69,52.62,0
5.17857,4.59,492.81,134.8,0.88,228.93,10.73,64.7,52.59,1
5.26735,4.65,540.41,169.97,0.95,274.78,10.69,65.44,51.46,0
5.35612,4.58,532.58,168.75,0.95,268.81,10.68,64.67,52.22,0
5.4449,4.92,521.37,155.11,0.92,255.75,10.71,65.43,51.61,0
5.53367,4.66,538.89,169.9,0.99,275.18,10.67,64.71,52.13,0
5.62245,4.58,507.64,144.14,0.9,241.52,10.74,65.32,52.26,0
5.71122,4.44,484.56,129.93,0.89,223.84,10.7,63.98,52.83,0
