,edge,flow,density
0,-16719067,0.0,0
1,-16719698#0,0.0,0
2,-16719698#1,0.0,0
3,-16720136#1,0.0,0
4,-16720145#0,1.61,0.07
5,-16720145#1,2.42,0.16
6,-16720242#0,0.0,0
7,-16720242#1,0.0,0
8,-16720242#2,0.0,0
9,-16720478,0.0,0
10,-16721105,8.87,0.33
11,-16721125#0,8.06,0.44
12,-16721125#1,6.45,0.18
13,-16721128#0,8.06,0.25
14,-16721128#1,4.03,0.13
15,-16721128#2,0.81,0.12
16,-16721128#3,0.0,0
17,-16721196#0,11.28,0.26
18,-16721196#3,10.48,0.44
19,-16721196#4,10.48,0.37
20,-16721196#6,3.22,0.2
21,-16721196#7,6.45,0.21
22,-16721196#8,0.0,0.06
23,-16721208,4.84,0.13
24,-16721382#0,6.45,0.15
25,-16721382#1,7.25,0.2
26,-16721382#2,4.84,0.18
27,-16721382#4,4.84,0.12
28,-16721382#5,12.09,0.42
29,-16721382#6,8.06,0.21
30,-16721382#7,0.0,0.15
31,-16721393,0.0,0.1
32,-16721404#0,2.42,0.1
33,-16721404#1,2.42,0.09
34,-16721404#2,11.28,0.61
35,-16721404#3,9.67,0.22
36,-16721404#4,10.48,0.25
37,-16721404#5,8.87,0.53
38,-16721576#0,1.61,0.03
39,-16721576#1,12.09,0.38
40,-16721682,1.61,0.07
41,-16721684#1,1.61,0.04
42,-16721684#2,2.42,0.17
43,-16721684#3,0.81,0.06
44,-16721687#0,3.22,0.16
45,-16721699#1,17.73,1.3
46,-16721699#2,16.12,0.54
47,-16721699#3,16.92,0.41
48,-16721699#4,15.31,0.38
49,-16721739,0.81,0.04
50,-16721742#0,12.09,0.51
51,-16721742#1,10.48,0.6
52,-16721785,2.42,0.07
53,-16721791#1,4.03,1.75
54,-16721791#2,4.84,0.15
55,-16721791#3,7.25,7.73
56,-16721791#4,0.0,0
57,-16721822#0,0.0,0.04
58,-16721822#1,5.64,0.18
59,-16721885#0,0.81,0.02
60,-16721885#1,4.03,0.17
61,-16721885#2,4.03,0.13
62,-16721910,0.0,0.12
63,-16722050,12.89,0.56
64,-16722134#0,0.81,0.02
65,-16722134#1,2.42,0.19
66,-16722175,9.67,0.3
67,-16722232,1.61,0.06
68,-16722253#0,2.42,0.1
69,-16722253#1,0.0,0.05
70,-16722318,3.22,0.08
71,-16722369#0,16.92,0.41
72,-16722369#1,18.54,0.57
73,-16722369#10,25.79,0.56
74,-16722369#11,47.55,1.47
75,-16722369#12,48.35,1.28
76,-16722369#13,47.55,2.15
77,-16722369#2,20.95,0.82
78,-16722369#3,23.37,0.92
79,-16722369#4,24.18,0.92
80,-16722369#6,23.37,0.63
81,-16722369#7,24.98,0.88
82,-16722369#8,23.37,0.85
83,-16722369#9,23.37,0.56
84,-16722370,0.0,0.04
85,-16722378#1,8.87,0.29
86,-16722378#2,11.28,0.26
87,-16722378#3,12.09,0.31
88,-16722378#4,11.28,0.25
89,-16722378#6,12.89,0.33
90,-16722413#0,5.64,0.19
91,-16722413#1,0.0,0.03
92,-16722440#0,0.0,0
93,-16722440#1,0.81,0.02
94,-16722440#2,0.81,0.06
95,-16722456#0,8.06,0.4
96,-16722456#1,4.03,0.14
97,-16722515#0,4.84,0.43
98,-16722515#1,0.0,0.04
99,-16722643#0,1.61,0.04
100,-16722643#1,1.61,0.06
101,-16722643#2,2.42,0.05
102,-16722643#3,2.42,0.06
103,-16722697,0.0,0.11
104,-16722700#0,16.12,0.36
105,-16722700#1,16.12,0.52
106,-16722757#1,4.03,0.1
107,-16722757#2,91.87,2.52
108,-16722757#3,91.87,2.17
109,-16722757#4,87.84,2.87
110,-16722772#0,2.42,0.08
111,-16722772#1,1.61,0.04
112,-16722772#2,2.42,0.51
113,-16722772#3,0.0,0.05
114,-16722860#0,2.42,0.06
