,edge,flow,density
0,-16719067,0.0,0
1,-16719698#0,0.0,0
2,-16719698#1,0.0,0
3,-16720136#1,0.0,0
4,-16720145#0,1.6,0.07
5,-16720145#1,2.4,0.14
6,-16720242#0,0.0,0
7,-16720242#1,0.0,0
8,-16720242#2,0.0,0
9,-16720478,0.0,0
10,-16721105,8.79,0.27
11,-16721125#0,7.99,0.44
12,-16721125#1,6.39,0.18
13,-16721128#0,7.99,0.23
14,-16721128#1,3.99,0.13
15,-16721128#2,0.8,0.13
16,-16721128#3,0.0,0
17,-16721196#0,11.18,0.25
18,-16721196#3,10.38,0.32
19,-16721196#4,10.38,0.37
20,-16721196#6,3.2,0.2
21,-16721196#7,6.39,0.21
22,-16721196#8,0.0,0.06
23,-16721208,4.79,0.13
24,-16721382#0,6.39,0.15
25,-16721382#1,7.19,0.21
26,-16721382#2,4.79,0.17
27,-16721382#4,4.79,0.12
28,-16721382#5,11.98,0.36
29,-16721382#6,7.99,0.22
30,-16721382#7,0.0,0.15
31,-16721393,0.0,0.1
32,-16721404#0,2.4,0.08
33,-16721404#1,2.4,0.07
34,-16721404#2,11.18,0.46
35,-16721404#3,9.59,0.21
36,-16721404#4,10.38,0.25
37,-16721404#5,8.79,0.55
38,-16721576#0,1.6,0.03
39,-16721576#1,11.98,0.35
40,-16721682,1.6,0.06
41,-16721684#1,1.6,0.04
42,-16721684#2,2.4,0.16
43,-16721684#3,0.8,0.05
44,-16721687#0,3.2,0.15
45,-16721699#1,17.57,1.15
46,-16721699#2,15.98,0.48
47,-16721699#3,16.77,0.41
48,-16721699#4,15.18,0.38
49,-16721739,0.8,0.04
50,-16721742#0,11.98,0.46
51,-16721742#1,10.38,0.45
52,-16721785,2.4,0.07
53,-16721791#1,3.99,1.86
54,-16721791#2,4.79,0.13
55,-16721791#3,7.19,8.76
56,-16721791#4,0.0,0
57,-16721822#0,0.0,0.04
58,-16721822#1,5.59,0.19
59,-16721885#0,0.8,0.02
60,-16721885#1,3.99,0.14
61,-16721885#2,3.99,0.13
62,-16721910,0.0,0.1
63,-16722050,12.78,0.49
64,-16722134#0,0.8,0.02
65,-16722134#1,2.4,0.17
66,-16722175,9.59,0.26
67,-16722232,1.6,0.05
68,-16722253#0,2.4,0.1
69,-16722253#1,0.0,0.05
70,-16722318,3.2,0.08
71,-16722369#0,16.77,0.4
72,-16722369#1,18.37,0.56
73,-16722369#10,25.56,0.57
74,-16722369#11,47.13,1.31
75,-16722369#12,47.93,1.24
76,-16722369#13,47.13,2.16
77,-16722369#2,20.77,0.86
78,-16722369#3,23.16,0.94
79,-16722369#4,23.96,0.92
80,-16722369#6,23.16,0.63
81,-16722369#7,24.76,0.91
82,-16722369#8,23.16,0.87
83,-16722369#9,23.16,0.56
84,-16722370,0.0,0.04
85,-16722378#1,8.79,0.26
86,-16722378#2,11.18,0.26
87,-16722378#3,11.98,0.32
88,-16722378#4,11.18,0.25
89,-16722378#6,12.78,0.31
90,-16722413#0,5.59,0.17
91,-16722413#1,0.0,0.03
92,-16722440#0,0.0,0
93,-16722440#1,0.8,0.02
94,-16722440#2,0.8,0.05
95,-16722456#0,7.99,0.32
96,-16722456#1,3.99,0.14
97,-16722515#0,4.79,0.41
98,-16722515#1,0.0,0.04
99,-16722643#0,1.6,0.04
100,-16722643#1,1.6,0.06
101,-16722643#2,2.4,0.06
102,-16722643#3,2.4,0.06
103,-16722697,0.0,0.11
104,-16722700#0,15.98,0.36
105,-16722700#1,15.98,0.54
106,-16722757#1,3.99,0.1
107,-16722757#2,91.06,2.29
108,-16722757#3,91.06,2.14
109,-16722757#4,87.06,2.46
110,-16722772#0,2.4,0.08
111,-16722772#1,1.6,0.04
112,-16722772#2,2.4,0.64
113,-16722772#3,0.0,0.07
114,-16722860#0,2.4,0.06
