,edge,flow,density
191,-16724398#4,0.82,0.02
192,-16724398#5,4.12,0.21
193,-16724398#6,4.95,0.21
194,-16724398#7,17.31,0.64
195,-16724398#8,23.08,0.93
196,-16724398#9,28.85,0.8
197,-16724403#0,20.61,0.34
198,-16724403#1,18.14,0.25
199,-16724403#2,17.31,0.35
200,-16724403#3,16.49,0.32
201,-16724403#4,9.07,0.18
202,-16724403#5,11.54,0.3
203,-16724405#0,2.47,0.05
204,-16724405#1,9.89,0.34
205,-16724405#2,18.96,0.47
206,-16724412#0,10.72,0.66
207,-16724412#1,10.72,0.31
208,-16724429#0,0.0,0
209,-16724429#1,2.47,0.23
210,-16724433#0,22.26,0.59
211,-16724433#1,17.31,0.56
212,-16724433#2,12.37,0.28
213,-16724433#3,9.89,0.3
214,-16724492#1,0.82,0.07
215,-16724850#0,19.78,0.54
216,-16724850#1,19.78,0.47
217,-16724850#2,17.31,0.64
218,-16724850#3,14.84,0.38
219,-16724850#4,11.54,0.47
220,-16724850#5,8.24,0.34
221,-16724850#6,0.0,0.16
222,-16724882#0,4.12,0.12
223,-16724882#1,1.65,0.09
224,-16724882#2,5.77,0.27
225,-16724882#4,2.47,0.08
226,-16724882#5,0.0,0.05
227,-16724923#0,1.65,0.08
228,-16724923#2,1.65,0.07
229,-16724923#3,0.82,0.02
230,-16725296#0,9.07,0.49
231,-16725296#1,6.59,0.3
232,-16725296#2,6.59,0.26
233,-16725296#3,4.95,0.15
234,-16725296#4,4.95,0.13
235,-16725296#5,4.12,0.26
236,-16725296#6,6.59,0.26
237,-16725296#7,6.59,0.18
238,-16725409#1,9.07,0.45
239,-16725409#2,4.95,0.13
240,-16725409#3,4.12,0.12
241,-16725413#0,9.89,0.24
242,-16725413#1,7.42,0.35
243,-16725413#2,0.0,0.08
244,-16725432#0,6.59,0.15
245,-16725432#1,11.54,0.44
246,-16725432#2,9.07,0.26
247,-16725555#0,0.0,0
248,-16725555#1,0.0,0
249,-16725555#2,0.0,0
250,-16725555#3,0.0,0
251,-16725685#0,8.24,0.82
252,-16725685#1,7.42,0.28
253,-16725685#10,2.47,0.08
254,-16725685#12,0.0,0.06
