decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,4.43,489.04,127.44,0.88,228.1,10.63,64.03,52.02,0
3.97959,4.91,497.73,135.06,0.89,235.87,10.63,64.33,51.73,1
4.20918,4.32,481.61,121.51,0.86,219.77,10.67,64.11,52.57,0
4.43878,4.52,537.74,161.89,0.95,272.86,10.63,65.26,51.03,0
4.66837,4.55,490.53,128.73,0.88,228.49,10.64,64.3,51.92,0
4.89796,4.47,517.05,148.17,0.91,254.48,10.61,64.54,51.4,0
5.12755,4.58,500.01,137.75,0.91,239.99,10.63,63.68,52.63,0
5.35714,4.49,474.07,114.5,0.84,210.02,10.71,64.82,52.38,0
5.58673,4.49,474.72,117.96,0.87,213.33,10.68,64.01,52.56,0
5.81633,4.63,504.28,140.94,0.93,242.47,10.66,64.15,53.01,0
6.04592,4.45,460.83,106.88,0.84,199.35,10.67,63.96,52.88,0
6.27551,4.29,484.02,121.39,0.86,220.65,10.68,64.54,52.17,0
6.5051,4.43,472.7,116.83,0.85,211.05,10.66,64.13,52.16,0
6.73469,4.37,475.04,116.22,0.83,210.97,10.69,64.89,51.69,0
6.96429,4.52,511.51,146.13,0.92,250.08,10.65,64.1,52.09,0
7.19388,4.47,481.21,120.92,0.86,218.55,10.71,64.54,51.79,0
7.42347,4.42,451.85,101.27,0.81,190.21,10.68,64.09,52.43,0
7.65306,4.35,478.22,121.42,0.87,217.35,10.68,63.92,52.82,0
7.88265,4.4,517.71,149.45,0.92,253.85,10.65,64.97,51.3,0
8.11224,4.92,530.8,158.8,0.93,265.49,10.65,65.39,51.13,0
8.34184,4.39,471.04,115.3,0.84,207.8,10.68,64.46,51.87,0
8.57143,4.69,530.73,161.24,0.97,268.66,10.58,64.15,52.25,0
8.80102,4.39,481.0,121.0,0.85,217.16,10.69,64.84,51.49,0
9.03061,4.57,521.06,154.17,0.93,258.27,10.66,64.47,51.99,1
9.2602,4.46,476.29,120.14,0.88,215.65,10.71,63.85,52.82,0
9.4898,4.96,502.44,139.38,0.92,240.59,10.65,64.05,52.6,0
9.71939,4.89,503.66,142.22,0.93,243.8,10.63,63.6,52.8,0
9.94898,4.43,473.94,118.15,0.87,212.87,10.7,63.93,53.14,0
10.17857,5.0,539.31,168.18,0.99,277.18,10.61,64.3,52.1,0
10.40816,4.66,537.53,164.76,0.95,271.77,10.64,65.44,51.29,0
10.63776,4.45,457.93,105.61,0.84,195.95,10.72,64.16,52.92,0
10.86735,4.56,511.5,146.94,0.93,249.34,10.64,64.22,52.2,0
11.09694,4.54,531.16,159.87,0.95,267.54,10.64,64.74,51.8,0
11.32653,4.8,464.83,108.72,0.82,201.1,10.7,64.76,51.88,0
11.55612,4.45,476.38,117.68,0.84,212.98,10.73,64.56,51.83,0
11.78571,4.77,552.12,177.41,1.02,289.02,10.65,64.67,52.13,0
12.01531,4.61,494.87,134.94,0.91,233.3,10.67,64.28,52.42,0
12.2449,4.56,556.97,177.78,0.96,290.04,10.65,65.78,50.48,0
12.47449,4.73,536.35,165.81,0.96,272.37,10.61,65.01,51.9,0
12.70408,4.59,500.54,139.05,0.89,237.79,10.67,64.59,51.62,0
12.93367,5.16,549.69,175.91,0.99,285.29,10.62,65.17,51.71,0
13.16327,4.8,597.11,207.47,1.06,327.9,10.64,66.39,50.91,0
13.39286,4.5,530.41,159.07,0.95,265.9,10.64,65.09,51.15,0
13.62245,4.95,506.12,140.68,0.9,242.26,10.69,64.75,52.17,0
13.85204,4.45,487.88,126.08,0.88,224.53,10.72,64.58,52.51,0
14.08163,4.52,523.8,154.16,0.93,259.79,10.66,65.05,51.37,0
14.31122,4.9,487.62,127.75,0.88,224.59,10.73,64.5,52.2,0
14.54082,4.6,505.95,143.04,0.9,242.32,10.67,64.61,51.81,0
14.77041,4.98,494.69,131.47,0.89,230.56,10.71,64.93,52.26,0
15.0,4.93,539.36,166.09,0.94,273.72,10.66,65.49,50.97,0
