minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,4.47,478.13,121.3,0.86,216.85,10.7,64.04,52.1,0
1.32653,4.37,505.15,139.31,0.9,241.61,10.68,64.7,52.0,0
1.40306,4.64,484.15,125.49,0.87,223.03,10.67,63.97,52.41,0
1.47959,4.43,485.57,124.48,0.88,222.96,10.7,64.4,52.34,0
1.55612,4.6,499.53,136.11,0.91,238.08,10.67,64.04,52.6,0
1.63265,4.42,482.44,123.71,0.88,220.62,10.7,64.12,52.63,0
1.70918,4.44,498.21,137.22,0.89,235.36,10.66,64.69,51.93,0
1.78571,4.8,583.87,205.92,1.05,321.0,10.57,64.73,51.27,0
1.86224,4.27,450.04,97.96,0.79,187.03,10.73,64.48,52.38,0
1.93878,4.53,529.82,158.71,0.96,266.9,10.64,64.55,51.67,0
2.01531,4.68,520.4,152.76,0.94,258.65,10.61,64.36,51.27,0
2.09184,4.52,482.2,123.36,0.86,218.9,10.68,64.6,51.58,0
2.16837,4.98,493.82,133.07,0.9,232.07,10.69,64.32,52.27,0
2.2449,4.87,463.99,110.17,0.85,202.62,10.68,64.03,52.8,0
2.32143,4.56,511.85,142.24,0.9,245.93,10.69,65.45,51.01,0
2.39796,4.59,476.8,119.32,0.87,215.23,10.67,64.05,53.01,0
2.47449,4.45,499.32,135.72,0.89,236.58,10.68,64.44,52.07,0
2.55102,4.59,516.72,149.01,0.91,252.8,10.68,64.88,51.91,0
2.62755,4.53,508.6,142.57,0.92,246.43,10.68,64.19,52.44,0
2.70408,4.46,495.5,134.52,0.91,234.2,10.67,63.97,52.87,0
2.78061,4.64,489.04,128.76,0.89,227.64,10.66,64.02,52.68,0
2.85714,4.84,515.48,145.96,0.9,250.57,10.66,65.16,51.43,0
2.93367,4.51,540.06,165.54,0.94,273.98,10.65,65.56,51.31,0
3.0102,4.67,545.29,174.59,0.99,283.65,10.6,64.18,52.04,1
3.08673,4.57,499.71,138.01,0.89,239.01,10.66,63.89,52.03,0
3.16327,4.56,501.68,140.74,0.9,241.23,10.65,63.88,52.09,0
3.2398,4.44,492.86,130.7,0.87,229.18,10.71,64.73,52.09,0
3.31633,5.02,544.12,171.71,0.98,280.28,10.64,64.8,51.92,0
3.39286,4.47,487.09,127.73,0.87,224.67,10.68,64.45,52.07,0
3.46939,4.51,528.45,161.15,0.94,266.76,10.62,64.27,51.31,0
3.54592,4.73,558.03,181.4,0.98,292.88,10.6,65.32,51.39,0
3.62245,4.33,447.25,99.39,0.79,186.05,10.71,64.03,51.94,0
3.69898,4.5,528.15,158.16,0.95,265.44,10.66,64.48,51.75,0
3.77551,4.48,466.59,114.18,0.84,206.42,10.67,63.72,52.61,0
3.85204,4.46,488.34,126.49,0.85,224.04,10.72,64.86,51.85,0
3.92857,4.44,464.0,111.1,0.85,202.42,10.68,64.14,52.98,0
4.0051,4.56,491.86,131.17,0.88,229.22,10.67,64.38,52.31,0
4.08163,4.57,480.89,123.33,0.86,219.2,10.68,64.12,52.62,0
4.15816,4.55,526.61,156.03,0.94,262.13,10.68,65.2,51.53,0
4.23469,4.92,495.51,134.36,0.89,233.82,10.64,64.18,52.2,0
4.31122,4.62,553.29,180.89,0.97,287.88,10.61,65.22,51.41,0
4.38776,4.65,530.58,161.23,0.95,266.81,10.62,64.83,51.37,0
4.46429,4.33,466.27,111.36,0.81,202.56,10.69,64.89,51.63,0
4.54082,5.42,519.75,155.61,0.96,259.0,10.59,63.89,52.69,0
4.61735,4.54,501.77,138.92,0.88,238.01,10.7,64.88,51.56,0
4.69388,4.49,468.1,115.86,0.85,207.48,10.68,63.87,52.67,0
4.77041,5.03,535.35,168.66,0.98,273.5,10.6,64.29,52.02,0
4.84694,4.49,530.21,163.48,0.96,269.19,10.6,64.02,52.0,0
4.92347,4.85,568.5,192.79,1.04,306.83,10.62,64.26,51.99,0
