accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,4.7,554.9,174.81,0.99,292.64,10.41,64.52,50.8,0
1.53878,4.83,560.74,180.69,1.01,299.01,10.43,64.19,51.28,0
1.62755,4.7,531.92,159.66,0.95,270.86,10.46,64.13,51.43,0
1.71633,5.14,564.23,185.0,0.99,300.32,10.47,65.04,50.55,0
1.8051,4.9,480.78,119.48,0.86,218.91,10.54,64.26,51.59,0
1.89388,4.48,482.76,120.88,0.85,220.56,10.61,64.54,51.43,0
1.98265,4.45,506.88,139.37,0.89,243.84,10.6,64.49,51.59,0
2.07143,4.97,495.01,132.59,0.91,234.19,10.62,63.7,52.97,0
2.1602,4.44,476.42,114.58,0.84,211.74,10.66,65.0,51.97,0
2.24898,4.45,486.13,126.16,0.87,225.68,10.61,63.96,51.77,0
2.33776,5.0,536.06,163.41,0.97,271.84,10.57,65.0,51.49,0
2.42653,4.44,471.98,114.6,0.85,209.44,10.67,64.39,52.5,0
2.51531,4.4,501.91,134.3,0.89,237.7,10.66,64.78,52.07,0
2.60408,4.59,521.68,150.81,0.93,257.98,10.61,64.8,51.67,0
2.69286,5.04,532.9,161.05,0.95,271.42,10.53,64.43,50.93,0
2.78163,4.87,475.84,119.47,0.88,215.14,10.66,63.8,52.73,0
2.87041,5.16,561.84,183.27,1.0,295.04,10.58,65.77,50.59,0
2.95918,4.6,513.35,147.56,0.93,251.76,10.67,64.17,52.45,0
3.04796,4.48,469.28,113.53,0.84,207.83,10.69,64.2,52.34,0
3.13673,4.7,476.48,118.19,0.84,211.83,10.72,65.04,51.47,0
3.22551,4.48,512.12,145.79,0.92,248.88,10.69,64.52,52.31,0
3.31429,4.52,473.05,117.03,0.87,211.26,10.73,64.07,52.79,0
3.40306,4.6,505.74,140.81,0.91,242.75,10.69,64.48,52.57,0
3.49184,4.56,538.27,164.13,0.95,273.02,10.69,65.26,51.43,0
3.58061,5.01,499.05,137.79,0.9,236.93,10.68,64.28,52.35,0
3.66939,4.77,474.23,118.23,0.86,211.67,10.7,64.39,52.61,0
3.75816,4.62,523.66,153.0,0.94,258.86,10.67,64.81,52.38,0
3.84694,4.51,490.57,130.8,0.89,227.63,10.72,64.58,52.54,0
3.93571,4.49,493.99,133.39,0.89,231.63,10.73,64.33,52.63,0
4.02449,4.57,536.52,166.05,0.96,273.92,10.67,64.75,51.46,0
4.11327,4.43,482.52,124.03,0.86,218.48,10.75,64.8,52.05,0
4.20204,4.52,493.85,133.11,0.9,231.17,10.74,64.24,52.9,0
4.29082,4.4,518.43,148.86,0.91,252.03,10.74,65.49,51.67,0
4.37959,4.47,485.56,127.24,0.89,223.29,10.76,64.21,53.09,0
4.46837,4.46,538.59,165.89,0.96,274.1,10.71,65.22,51.56,1
4.55714,4.32,458.19,104.81,0.83,194.89,10.8,64.64,52.6,0
4.64592,4.59,541.82,166.11,0.96,275.08,10.73,65.71,51.47,0
4.73469,5.03,516.75,152.13,0.95,254.83,10.67,64.11,52.96,0
4.82347,4.39,469.07,113.65,0.84,205.33,10.79,64.58,52.34,0
4.91224,4.38,486.42,126.78,0.89,223.5,10.78,64.45,52.92,0
5.00102,4.43,505.88,142.77,0.9,243.67,10.74,64.39,51.91,0
5.0898,4.38,491.48,130.87,0.88,228.37,10.76,64.43,52.62,0
5.17857,4.53,485.92,127.25,0.87,221.51,10.76,64.94,52.35,0
5.26735,4.54,502.83,138.81,0.91,238.86,10.77,64.78,52.68,0
5.35612,4.37,463.12,109.79,0.83,200.37,10.79,64.5,52.41,0
5.4449,4.27,455.3,103.83,0.81,192.51,10.81,64.44,52.06,0
5.53367,4.32,455.55,102.5,0.81,191.37,10.79,64.83,52.49,0
5.62245,4.26,464.75,111.72,0.83,201.21,10.82,64.58,52.31,0
5.71122,4.49,481.5,125.69,0.89,219.64,10.76,64.14,53.18,0
