tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,4.42,440.9,96.82,0.8,178.67,10.79,64.18,53.32,32
0.53061,4.63,498.67,142.98,0.91,235.29,10.7,64.58,52.43,36
0.56122,4.4,478.05,121.4,0.84,211.73,10.81,65.37,51.92,25
0.59184,4.57,495.41,138.43,0.88,232.24,10.71,64.58,52.09,31
0.62245,4.33,457.52,107.03,0.82,194.07,10.77,64.59,52.39,11
0.65306,4.45,486.0,130.17,0.88,222.72,10.74,64.51,52.48,8
0.68367,4.4,481.08,128.17,0.87,220.56,10.68,63.79,52.48,4
0.71429,4.53,532.3,164.86,0.96,268.05,10.67,64.97,51.84,3
0.7449,4.6,495.32,137.25,0.89,232.89,10.68,64.26,52.6,1
0.77551,4.6,538.27,167.59,0.97,273.28,10.69,65.09,51.83,0
0.80612,4.41,477.78,122.04,0.85,215.55,10.71,64.33,52.21,1
0.83673,4.51,529.07,161.16,0.94,265.47,10.64,64.8,51.14,0
0.86735,4.52,497.52,135.34,0.88,233.41,10.68,64.81,51.65,0
0.89796,4.38,479.43,122.13,0.85,216.09,10.71,64.73,51.81,0
0.92857,4.93,495.3,135.52,0.9,234.25,10.64,64.01,52.0,0
0.95918,4.47,561.12,181.29,0.97,292.25,10.66,66.28,50.63,0
0.9898,4.54,491.05,128.49,0.87,226.97,10.71,64.83,52.04,0
1.02041,4.54,543.09,169.47,0.96,279.93,10.57,64.83,51.07,0
1.05102,4.55,564.87,182.82,1.0,298.35,10.61,65.63,51.02,0
1.08163,4.7,604.87,213.1,1.05,336.4,10.58,66.26,50.3,0
1.11224,4.45,469.42,112.13,0.85,207.14,10.71,64.35,52.12,0
1.14286,4.64,520.27,149.77,0.95,258.4,10.64,64.07,52.36,0
1.17347,4.32,452.84,99.46,0.81,191.96,10.68,63.88,52.41,0
1.20408,4.8,475.67,114.85,0.85,212.3,10.68,64.7,51.94,0
1.23469,5.0,514.19,143.83,0.92,251.47,10.62,64.55,51.55,0
1.26531,4.58,553.06,173.08,1.01,290.27,10.57,64.44,51.76,0
1.29592,4.83,602.42,207.32,1.05,334.97,10.54,65.98,50.61,1
1.32653,4.66,589.74,199.94,1.05,325.04,10.53,65.27,50.76,0
1.35714,4.73,551.84,168.71,0.97,287.63,10.55,65.02,50.94,0
1.38776,4.64,549.85,163.21,0.94,281.48,10.58,66.16,50.27,0
1.41837,4.68,485.17,123.06,0.9,226.05,10.6,63.51,52.58,0
1.44898,4.7,562.14,177.88,0.98,298.02,10.52,65.08,50.5,1
1.47959,4.81,555.35,174.01,1.02,293.9,10.52,64.25,51.68,0
1.5102,4.51,517.42,140.61,0.92,255.53,10.58,64.3,51.12,0
1.54082,4.56,513.0,139.2,0.91,250.91,10.59,64.19,51.77,0
1.57143,4.68,534.14,151.24,0.96,272.49,10.56,64.15,52.06,0
1.60204,4.83,544.54,163.8,0.97,281.97,10.52,64.47,51.47,0
1.63265,4.5,467.9,106.74,0.84,205.97,10.61,64.26,51.91,0
1.66327,5.0,521.64,143.92,0.92,259.72,10.52,64.29,51.62,0
1.69388,4.58,524.69,144.65,0.93,261.7,10.53,64.63,50.89,0
1.72449,4.66,546.95,160.79,0.96,284.54,10.48,64.61,50.37,0
1.7551,4.43,497.6,125.56,0.88,236.98,10.55,63.88,51.39,0
1.78571,4.53,527.8,147.8,0.94,266.87,10.53,63.99,51.17,0
1.81633,4.88,483.81,117.15,0.88,224.56,10.53,63.6,52.13,0
1.84694,4.34,494.07,122.32,0.87,232.24,10.55,64.15,51.4,0
1.87755,4.6,497.4,125.62,0.91,237.27,10.51,63.63,52.23,0
1.90816,4.7,558.34,167.99,1.01,296.86,10.47,64.1,51.23,0
1.93878,4.65,549.54,158.04,0.99,288.3,10.47,64.09,51.65,0
1.96939,4.63,552.46,163.08,1.0,291.58,10.45,64.09,50.99,0
2.0,4.88,506.65,130.11,0.91,246.34,10.49,63.98,51.45,0
