,edge,flow,density
115,-16722860#1,3.16,0.09
116,-16722860#2,1.58,0.06
117,-16722864#1,32.38,1.02
118,-16722864#2,29.22,0.69
119,-16722864#3,28.43,0.69
120,-16722864#6,9.48,0.32
121,-16722864#7,4.74,0.12
122,-16722889#0,7.11,0.2
123,-16722889#1,0.0,0.08
124,-16722901#1,1.58,0.06
125,-16722930#1,30.01,0.98
126,-16722930#2,30.01,0.71
127,-16722930#3,31.59,0.76
128,-16722973,3.95,0.12
129,-16723052#1,15.0,0.6
130,-16723052#2,12.63,0.33
131,-16723170#0,5.53,0.29
132,-16723170#2,7.9,0.19
133,-16723170#3,7.9,0.22
134,-16723208,0.0,0.07
135,-16723210#0,0.0,0.03
136,-16723210#1,0.0,0.14
137,-16723213#0,4.74,0.19
138,-16723213#1,33.17,1.22
139,-16723213#2,22.9,0.5
140,-16723213#3,22.9,0.55
141,-16723213#4,22.9,0.64
142,-16723219#0,6.32,0.17
143,-16723219#1,3.95,0.15
144,-16723219#2,0.0,0.09
145,-16723221,0.79,0.03
146,-16723270,0.0,0.12
147,-16723365#0,6.32,0.18
148,-16723365#1,0.0,0.1
149,-16723412#0,3.16,0.11
150,-16723412#1,3.16,0.07
151,-16723417#1,2.37,0.08
152,-16723417#2,2.37,0.21
153,-16723417#3,4.74,0.2
154,-16723560,0.0,0
155,-16723629#1,3.95,0.14
156,-16723629#2,7.9,0.33
157,-16723629#3,4.74,0.18
158,-16723636#0,8.69,0.24
159,-16723636#1,0.0,0.09
160,-16724028#0,3.16,0.08
161,-16724028#1,0.0,0.05
162,-16724138#0,0.0,0.13
163,-16724138#1,1.58,0.05
164,-16724138#2,3.95,0.19
165,-16724138#3,3.95,0.17
166,-16724138#4,3.16,0.09
167,-16724138#5,1.58,0.09
168,-16724138#6,0.0,0.03
169,-16724145#0,3.95,0.09
170,-16724145#1,5.53,0.17
171,-16724145#2,7.9,0.26
172,-16724145#3,1.58,0.27
173,-16724146#0,3.16,0.17
174,-16724146#1,3.16,0.08
175,-16724146#2,1.58,0.08
176,-16724146#3,0.79,0.1
177,-16724159#0,0.79,0.02
178,-16724159#1,13.42,1.23
179,-16724159#2,13.42,0.64
180,-16724159#3,11.06,0.27
181,-16724165,1.58,0.04
182,-16724166#0,0.79,0.09
183,-16724166#1,0.79,0.02
184,-16724259,0.0,0.16
185,-16724289#0,3.16,0.14
186,-16724289#3,0.79,0.09
187,-16724398#1,6.32,0.13
188,-16724398#10,26.06,0.68
189,-16724398#2,0.0,0
190,-16724398#3,0.79,0.02
191,-16724398#4,0.79,0.02
192,-16724398#5,3.95,0.19
193,-16724398#6,4.74,0.19
194,-16724398#7,16.58,0.59
195,-16724398#8,22.11,0.83
196,-16724398#9,27.64,0.76
197,-16724403#0,19.74,0.32
198,-16724403#1,17.37,0.24
199,-16724403#2,16.58,0.32
200,-16724403#3,15.79,0.3
201,-16724403#4,8.69,0.17
