delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,4.41,502.24,124.05,0.89,243.31,10.45,63.59,51.6,0
2.12245,4.42,529.02,142.62,0.94,267.7,10.46,64.1,51.03,0
2.2449,4.68,552.3,161.23,1.0,290.88,10.5,64.2,51.7,0
2.36735,4.4,506.3,128.95,0.91,245.91,10.56,63.94,51.79,0
2.4898,4.9,501.03,127.84,0.91,241.37,10.56,63.75,51.88,0
2.61224,4.49,510.52,132.15,0.91,249.73,10.61,64.04,51.95,0
2.73469,4.53,569.18,176.59,1.02,305.65,10.58,64.7,51.09,0
2.85714,4.36,476.93,110.18,0.87,216.27,10.7,64.03,52.67,0
2.97959,4.51,504.92,129.57,0.91,242.73,10.68,64.36,52.27,0
3.10204,4.41,509.79,133.31,0.93,249.02,10.68,64.05,52.44,0
3.22449,4.38,446.11,91.63,0.82,186.28,10.77,63.73,53.16,0
3.34694,4.32,480.26,116.67,0.88,221.02,10.76,63.66,52.9,0
3.46939,4.48,484.93,117.9,0.88,223.56,10.78,64.18,52.64,0
3.59184,4.43,469.85,111.24,0.88,210.13,10.77,63.71,53.48,0
3.71429,4.39,495.82,125.07,0.9,233.84,10.81,64.32,52.85,0
3.83673,4.45,548.71,163.25,0.98,284.56,10.74,65.06,51.51,0
3.95918,4.79,473.33,109.55,0.85,210.08,10.85,64.6,52.25,0
4.08163,4.41,483.69,119.54,0.89,223.45,10.84,63.85,53.23,0
4.20408,4.39,516.02,140.98,0.92,252.67,10.81,64.62,51.93,0
4.32653,4.6,524.75,146.0,0.94,260.98,10.82,64.76,52.41,0
4.44898,4.19,462.68,104.04,0.83,199.85,10.88,64.52,52.29,0
4.57143,4.33,522.35,145.32,0.94,259.43,10.83,64.54,52.04,0
4.69388,4.45,498.5,130.15,0.89,237.17,10.84,64.22,52.23,0
4.81633,4.85,488.94,124.17,0.88,226.41,10.85,64.52,52.26,0
4.93878,4.5,493.26,126.72,0.89,230.88,10.87,64.4,52.27,0
5.06122,4.56,508.21,136.76,0.93,245.63,10.89,64.47,52.68,0
5.18367,4.32,486.48,120.9,0.89,224.08,10.94,64.4,52.94,0
5.30612,4.57,552.56,168.25,1.0,288.06,10.86,65.14,52.24,0
5.42857,4.52,555.78,172.84,1.02,292.23,10.84,64.9,51.96,0
5.55102,4.71,468.0,109.56,0.85,205.16,10.94,64.57,52.81,0
5.67347,4.56,542.75,161.7,0.97,278.39,10.85,65.15,52.07,0
5.79592,4.66,554.65,171.63,1.0,289.48,10.89,65.16,52.12,0
5.91837,5.05,551.71,168.82,1.0,285.95,10.85,65.49,51.7,0
6.04082,4.31,461.57,106.68,0.86,200.9,10.96,64.01,53.57,0
6.16327,4.75,500.32,132.05,0.9,236.64,10.92,64.8,52.56,0
6.28571,4.33,514.44,140.63,0.93,250.48,10.95,64.81,52.72,0
6.40816,4.31,485.83,122.85,0.89,224.15,10.94,64.26,53.21,0
6.53061,4.43,520.26,147.75,0.94,257.7,10.93,64.45,52.98,0
6.65306,4.37,525.29,147.93,0.92,259.06,10.92,65.69,52.0,0
6.77551,4.5,564.94,175.15,1.01,296.06,10.91,66.47,51.84,0
6.89796,4.33,463.79,105.8,0.83,200.59,10.98,64.71,52.78,0
7.02041,4.27,480.04,118.16,0.85,215.92,10.96,64.91,52.46,0
7.14286,4.34,496.58,128.7,0.89,231.98,11.0,64.97,52.89,0
7.26531,4.37,496.39,128.6,0.89,232.21,10.97,64.94,52.98,0
7.38776,4.45,516.01,143.64,0.93,252.03,10.97,64.81,52.59,0
7.5102,4.28,484.19,120.84,0.87,220.1,11.01,64.81,52.6,0
7.63265,4.54,517.51,144.25,0.92,251.09,10.98,65.7,52.61,0
7.7551,4.56,527.09,149.54,0.93,260.15,10.95,65.74,52.45,0
7.87755,4.25,488.29,125.33,0.88,225.53,10.99,64.59,52.83,0
8.0,4.47,482.18,120.4,0.89,218.83,11.02,64.71,53.42,0
