minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,4.14,454.3,92.98,0.82,191.24,10.87,64.54,52.64,0
1.32653,4.44,514.62,134.69,0.9,248.79,10.81,65.49,51.52,0
1.40306,4.27,464.03,100.93,0.85,202.68,10.86,64.17,52.74,0
1.47959,4.32,496.2,123.91,0.89,233.43,10.84,64.47,52.33,0
1.55612,4.45,472.36,107.96,0.86,210.14,10.84,64.36,52.75,0
1.63265,4.3,473.05,109.52,0.87,212.45,10.82,63.98,52.83,0
1.70918,4.29,461.9,101.69,0.84,200.8,10.83,64.1,52.67,0
1.78571,4.34,494.36,124.95,0.9,232.86,10.83,64.14,52.91,0
1.86224,4.21,446.61,89.94,0.79,184.15,10.85,64.4,52.13,0
1.93878,4.8,465.3,102.99,0.84,202.78,10.86,64.42,52.82,0
2.01531,4.78,464.18,102.75,0.84,201.64,10.85,64.41,52.57,0
2.09184,4.42,547.37,162.96,0.97,283.41,10.73,65.02,51.4,0
2.16837,4.64,548.15,163.92,0.98,284.61,10.77,64.69,51.85,0
2.2449,4.41,505.8,131.37,0.91,242.49,10.82,64.6,52.21,0
2.32143,4.58,550.99,167.6,1.0,289.36,10.76,64.25,51.89,0
2.39796,4.78,504.21,131.58,0.91,241.87,10.78,64.39,52.31,0
2.47449,4.91,498.28,128.24,0.89,235.61,10.81,64.46,52.32,0
2.55102,4.32,479.26,115.98,0.88,219.5,10.82,63.79,52.97,0
2.62755,4.28,488.32,123.24,0.89,228.63,10.8,63.75,52.78,0
2.70408,4.42,507.36,134.18,0.9,242.98,10.78,64.92,51.98,0
2.78061,4.5,528.27,150.98,0.94,264.21,10.8,64.82,52.17,0
2.85714,4.45,534.7,159.47,0.96,272.09,10.78,64.46,52.25,0
2.93367,4.52,525.13,151.57,0.95,262.23,10.76,64.62,52.28,0
3.0102,4.36,472.08,112.77,0.85,209.42,10.84,64.5,52.94,0
3.08673,4.38,479.8,117.42,0.86,216.67,10.81,64.58,52.26,0
3.16327,4.48,514.96,144.73,0.92,252.41,10.79,64.45,52.09,0
3.2398,4.74,523.91,151.03,0.94,259.88,10.75,64.95,52.01,0
3.31633,4.62,472.51,114.26,0.86,210.98,10.81,64.24,52.92,0
3.39286,4.29,459.43,104.91,0.83,197.53,10.83,64.3,52.72,0
3.46939,4.6,489.87,127.97,0.88,228.09,10.78,64.22,52.48,0
3.54592,4.26,478.48,115.94,0.83,214.11,10.82,65.07,51.82,0
3.62245,4.47,494.75,131.15,0.88,232.19,10.81,64.42,52.43,0
3.69898,4.33,463.38,109.68,0.85,202.99,10.8,63.95,52.94,0
3.77551,5.04,510.46,146.87,0.88,247.56,10.77,64.48,52.19,0
3.85204,4.77,600.21,215.26,1.03,335.94,10.68,65.05,51.8,0
3.92857,4.84,539.43,165.61,0.97,275.69,10.73,64.76,52.24,0
4.0051,4.57,573.28,188.64,0.99,303.93,10.71,66.6,51.1,0
4.08163,4.72,590.38,203.07,1.01,320.23,10.72,66.87,51.3,0
4.15816,4.47,530.83,157.13,0.95,266.93,10.73,64.89,51.78,0
4.23469,4.63,590.12,201.67,1.03,320.17,10.72,66.75,51.32,0
4.31122,4.5,510.17,146.5,0.92,248.89,10.76,64.15,52.6,0
4.38776,4.77,546.84,171.72,0.95,280.08,10.74,65.95,51.47,0
4.46429,4.72,609.75,220.87,1.04,340.5,10.69,66.66,51.14,0
4.54082,4.48,527.97,160.93,0.95,264.98,10.8,64.66,52.63,0
4.61735,4.63,592.98,208.55,0.99,321.9,10.73,67.21,50.57,0
4.69388,4.45,528.31,163.34,0.94,266.49,10.72,64.25,52.0,0
4.77041,4.8,713.85,310.81,1.11,437.52,10.62,69.0,48.94,0
4.84694,4.82,666.72,274.79,1.13,394.09,10.65,67.7,50.11,0
4.92347,4.57,558.23,187.17,1.01,293.42,10.73,65.1,51.98,0
