,edge,flow,density
191,-16724398#4,0.81,0.02
192,-16724398#5,4.07,0.19
193,-16724398#6,4.88,0.2
194,-16724398#7,17.08,0.57
195,-16724398#8,22.77,0.76
196,-16724398#9,28.47,0.75
197,-16724403#0,20.33,0.35
198,-16724403#1,17.89,0.25
199,-16724403#2,17.08,0.35
200,-16724403#3,16.27,0.33
201,-16724403#4,8.95,0.2
202,-16724403#5,11.39,0.26
203,-16724405#0,2.44,0.05
204,-16724405#1,9.76,0.3
205,-16724405#2,18.71,0.46
206,-16724412#0,10.57,0.53
207,-16724412#1,10.57,0.29
208,-16724429#0,0.0,0
209,-16724429#1,2.44,0.22
210,-16724433#0,21.96,0.55
211,-16724433#1,17.08,0.58
212,-16724433#2,12.2,0.29
213,-16724433#3,9.76,0.31
214,-16724492#1,0.81,0.08
215,-16724850#0,19.52,0.51
216,-16724850#1,19.52,0.47
217,-16724850#2,17.08,0.54
218,-16724850#3,14.64,0.37
219,-16724850#4,11.39,0.38
220,-16724850#5,8.13,0.28
221,-16724850#6,0.0,0.16
222,-16724882#0,4.07,0.12
223,-16724882#1,1.63,0.08
224,-16724882#2,5.69,0.25
225,-16724882#4,2.44,0.08
226,-16724882#5,0.0,0.04
227,-16724923#0,1.63,0.07
228,-16724923#2,1.63,0.07
229,-16724923#3,0.81,0.02
230,-16725296#0,8.95,0.39
231,-16725296#1,6.51,0.26
232,-16725296#2,6.51,0.25
233,-16725296#3,4.88,0.13
234,-16725296#4,4.88,0.12
235,-16725296#5,4.07,0.26
236,-16725296#6,6.51,0.24
237,-16725296#7,6.51,0.18
238,-16725409#1,8.95,0.44
239,-16725409#2,4.88,0.13
240,-16725409#3,4.07,0.12
241,-16725413#0,9.76,0.23
242,-16725413#1,7.32,0.35
243,-16725413#2,0.0,0.09
244,-16725432#0,6.51,0.15
245,-16725432#1,11.39,0.37
246,-16725432#2,8.95,0.27
247,-16725555#0,0.0,0
248,-16725555#1,0.0,0
249,-16725555#2,0.0,0
250,-16725555#3,0.0,0
251,-16725685#0,8.13,0.77
252,-16725685#1,7.32,0.25
253,-16725685#10,2.44,0.07
254,-16725685#12,0.0,0.05
255,-16725685#2,7.32,0.55
256,-16725685#3,8.13,0.26
257,-16725685#4,9.76,0.4
258,-16725685#5,7.32,0.92
259,-16725685#6,5.69,0.26
260,-16725685#7,5.69,0.22
261,-16725685#9,5.69,0.18
262,-16725686#0,4.07,0.1
263,-16725686#1,3.25,0.16
264,-16725686#2,4.07,0.19
265,-16725686#3,4.07,0.11
266,-16725686#4,3.25,0.12
267,-16725686#5,5.69,0.2
268,-16725686#6,38.23,1.28
269,-16725686#7,3.25,0.12
270,-16725686#8,1.63,0.12
271,-16725743#0,7.32,0.39
272,-16725743#1,7.32,0.18
273,-16725789#0,18.71,0.46
274,-16725789#1,20.33,0.5
275,-16725789#2,23.59,0.76
