minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.63,5.66,13.2,9.0,0.92,2.89,4.31,486.18,120.1,0.87,218.94,10.96,65.32,53.1,0.0
2.55,4.99,6.24,9.0,0.91,2.19,4.52,452.9,88.44,0.81,189.81,10.78,64.24,52.28,0.0
4.63,4.99,10.07,9.0,1.15,4.66,4.54,482.7,115.05,0.89,220.16,10.93,64.19,53.88,0.0
4.21,5.12,5.45,9.0,0.58,4.66,4.04,447.39,100.0,0.8,178.36,11.17,65.79,53.23,23.0
4.63,1.71,4.51,9.0,0.88,4.66,5.12,672.41,262.23,1.06,406.47,9.91,66.29,47.07,47.0
4.63,1.56,12.37,9.0,1.21,3.93,5.19,737.29,303.6,1.14,472.56,9.69,65.81,46.55,0.0
1.83,4.54,11.6,9.0,1.15,4.66,4.42,501.58,121.99,0.9,235.57,10.93,65.03,52.7,0.0
4.63,3.68,10.07,9.0,1.15,5.58,4.61,486.68,113.94,0.87,221.68,10.79,64.81,52.71,0.0
4.63,5.68,10.07,9.0,0.53,6.84,4.0,437.71,98.04,0.78,167.04,11.41,66.43,53.95,77.0
4.63,2.72,10.07,9.0,1.71,2.17,4.71,620.58,172.11,0.99,361.41,9.76,63.69,47.6,0.0
4.65,2.98,14.21,9.0,1.15,4.66,4.64,605.91,199.96,1.0,336.38,10.54,66.78,49.62,0.0
4.75,4.99,14.55,9.0,1.15,2.65,4.7,629.93,217.31,1.06,360.56,10.64,66.77,50.53,0.0
2.21,4.85,10.07,9.0,0.72,4.66,4.2,444.19,90.84,0.8,175.44,11.21,65.6,53.35,19.0
2.21,5.18,10.07,9.0,0.88,4.66,4.19,463.04,104.49,0.85,196.79,11.16,65.09,53.83,0.0
2.21,1.62,10.07,9.0,1.2,3.09,4.97,614.14,188.6,1.07,356.99,9.7,63.25,47.78,0.0
2.21,4.85,9.98,9.0,0.88,4.99,4.32,505.0,132.59,0.88,234.14,11.08,66.61,52.3,0.0
1.94,4.85,10.07,9.0,0.88,2.93,4.55,487.57,121.95,0.9,223.69,10.92,64.52,53.6,0.0
2.21,4.85,12.94,9.0,0.88,4.66,4.3,502.57,132.79,0.9,233.71,11.07,65.84,52.84,0.0
2.21,2.03,10.07,9.0,0.88,4.66,5.07,656.64,246.03,1.12,389.29,10.3,66.29,48.7,0.0
2.21,4.85,5.15,9.0,1.73,6.19,4.13,476.82,86.53,0.87,219.24,10.51,62.82,51.59,0.0
2.22,4.85,7.09,9.0,1.78,4.95,4.35,509.25,102.52,0.9,250.63,10.44,63.1,50.95,0.0
4.97,4.85,9.85,9.0,1.67,4.75,4.51,576.96,152.86,1.0,313.39,10.47,64.52,51.08,0.0
3.25,3.59,9.55,9.0,1.19,4.66,4.91,562.67,162.35,0.99,294.61,10.65,65.7,51.69,0.0
2.21,4.0,12.47,9.0,1.51,4.66,4.38,503.03,110.59,0.89,239.94,10.63,64.33,51.56,0.0
4.18,3.38,13.71,9.0,0.88,7.55,4.52,545.86,172.59,0.95,276.6,10.87,66.25,51.75,0.0
2.78,4.85,10.07,9.0,0.88,7.42,4.22,483.91,119.97,0.87,215.04,11.14,65.78,53.23,0.0
2.21,2.33,12.96,9.0,0.88,4.66,4.58,496.96,125.21,0.89,234.72,10.59,64.17,51.59,0.0
2.08,4.85,4.88,9.0,1.94,5.46,4.62,471.7,83.63,0.85,216.77,10.24,62.1,50.56,0.0
2.58,4.98,10.07,9.0,0.88,5.98,4.35,478.72,116.32,0.87,212.53,11.14,65.08,53.75,0.0
2.21,4.85,10.69,9.0,0.8,4.66,4.27,452.94,98.06,0.83,186.77,11.16,64.96,53.9,4.0
2.15,5.18,7.77,9.0,1.85,4.66,4.51,509.64,107.54,0.91,249.81,10.44,63.35,51.31,0.0
2.21,5.18,10.07,9.0,1.2,4.66,4.51,482.81,107.79,0.89,218.72,10.98,64.55,53.42,0.0
3.86,5.18,10.07,9.0,1.39,7.64,4.46,483.98,102.48,0.85,217.63,10.9,65.22,52.74,0.0
2.21,2.07,11.05,9.0,0.88,5.3,4.64,552.0,163.68,0.96,287.63,10.48,65.22,50.46,1.0
2.21,5.18,12.34,9.0,0.88,5.55,4.48,505.59,137.57,0.91,237.33,11.15,65.64,53.1,0.0
2.21,3.16,8.64,9.0,1.98,4.66,4.49,561.49,128.42,1.0,307.49,10.06,61.93,49.48,0.0
4.94,5.18,14.99,9.0,1.85,6.21,4.55,632.05,182.72,1.05,364.06,10.47,66.1,49.77,0.0
4.23,2.33,7.77,9.0,0.69,4.66,4.67,570.93,195.54,0.98,304.68,10.52,65.67,50.3,6.0
2.15,2.25,7.77,9.0,0.62,4.66,4.4,480.59,120.89,0.87,220.35,10.58,63.72,51.69,62.0
2.29,5.18,8.09,9.0,1.78,4.66,4.29,508.03,100.93,0.9,247.37,10.46,63.66,51.06,0.0
2.15,5.18,7.77,9.0,1.86,2.97,4.76,532.66,119.81,0.95,274.38,10.25,62.89,50.4,0.0
4.63,3.32,8.57,9.0,1.85,5.89,4.65,614.05,166.58,1.02,351.18,10.17,64.55,48.88,0.0
2.21,2.55,4.32,9.0,1.73,7.28,4.89,534.84,119.37,0.96,281.68,9.99,61.75,49.82,0.0
3.96,4.85,5.15,9.0,1.47,6.19,5.33,705.9,253.34,1.16,436.07,10.44,66.83,49.59,0.0
2.21,4.47,5.15,9.0,1.73,6.74,4.81,514.38,108.72,0.93,256.41,10.38,62.99,50.74,0.0
2.39,2.62,5.15,9.0,1.87,6.19,4.42,555.92,122.92,0.96,299.72,9.99,62.66,48.82,0.0
1.26,4.85,10.28,9.0,1.4,6.19,4.19,492.46,116.6,0.88,227.48,10.8,64.84,51.99,0.0
1.56,4.69,5.15,9.0,1.73,6.19,4.35,501.78,112.06,0.89,241.08,10.45,63.58,51.1,0.0
2.21,5.18,10.07,9.0,0.88,4.66,4.19,463.04,104.49,0.85,196.79,11.16,65.09,53.83,0.0
2.15,5.18,9.46,9.0,0.92,4.2,4.64,467.28,103.35,0.86,200.35,11.06,65.27,53.48,0.0
2.15,5.18,4.75,9.0,0.88,2.97,4.82,511.94,137.14,0.92,246.3,10.83,64.88,52.48,0.0
2.16,5.18,10.07,9.0,1.86,4.66,4.29,464.96,83.35,0.84,207.78,10.52,62.63,51.55,0.0
2.21,5.18,10.07,9.0,1.1,2.5,4.34,459.38,91.95,0.85,197.86,10.82,63.83,53.24,0.0
2.94,5.18,10.07,9.0,0.88,4.65,4.19,488.38,122.42,0.87,219.38,11.1,65.8,53.17,0.0
2.07,5.47,10.07,9.0,0.88,4.65,4.28,472.12,111.65,0.87,205.79,11.14,65.12,53.65,0.0
2.21,5.18,10.07,9.0,0.88,4.66,4.19,463.04,104.49,0.85,196.79,11.16,65.09,53.83,0.0
1.71,4.06,10.07,9.0,0.85,4.66,4.32,504.24,133.74,0.91,236.35,10.99,65.52,52.74,1.0
2.21,5.18,6.19,9.0,1.67,4.66,4.56,518.44,114.77,0.93,259.46,10.46,63.18,51.44,0.0
4.72,1.61,10.07,9.0,0.88,4.66,5.31,782.42,360.05,1.22,512.35,9.99,67.51,47.38,32.0
2.7,5.18,10.07,9.0,1.89,4.65,4.53,563.68,139.04,1.02,303.06,10.35,63.65,50.87,0.0
1.77,2.01,10.07,9.0,1.94,4.65,4.83,667.13,187.49,1.09,405.97,9.71,64.81,46.62,0.0
