tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,3.26,278.62,63.25,0.51,114.28,10.86,43.16,38.52,2
0.53061,3.13,272.45,57.86,0.5,108.41,10.91,42.99,38.41,4
0.56122,3.27,272.3,58.56,0.5,109.2,10.89,42.84,38.2,3
0.59184,3.15,270.77,56.71,0.49,107.16,10.9,42.8,38.01,1
0.62245,3.17,271.96,57.25,0.5,108.35,10.9,42.97,38.24,1
0.65306,3.3,276.29,60.08,0.51,112.26,10.86,42.93,38.55,0
0.68367,3.15,272.9,58.26,0.5,109.5,10.84,42.83,38.3,2
0.71429,3.22,275.96,60.58,0.5,112.01,10.86,42.94,38.03,0
0.7449,3.24,275.65,60.21,0.52,112.38,10.86,42.8,38.36,0
0.77551,3.19,270.79,56.67,0.5,107.82,10.86,42.76,38.72,0
0.80612,3.24,278.14,62.48,0.52,115.45,10.77,42.72,38.18,0
0.83673,3.23,271.11,55.95,0.5,108.01,10.82,42.82,38.21,0
0.86735,3.28,277.94,61.19,0.51,114.01,10.84,42.95,38.28,0
0.89796,3.25,274.24,59.63,0.51,111.91,10.83,42.62,38.62,0
0.92857,3.2,274.75,58.33,0.5,110.8,10.87,42.99,38.28,0
0.95918,3.23,274.77,58.7,0.5,111.75,10.83,42.74,38.18,0
0.9898,3.29,277.04,59.71,0.51,113.23,10.85,42.85,38.3,0
1.02041,3.27,274.7,58.18,0.51,111.38,10.8,42.85,38.49,0
1.05102,3.2,271.53,56.16,0.51,109.99,10.79,42.33,38.38,0
1.08163,3.27,277.47,61.57,0.51,115.42,10.77,42.57,37.94,0
1.11224,3.29,275.15,58.96,0.51,113.08,10.75,42.42,38.22,0
1.14286,3.25,274.94,59.14,0.52,112.68,10.79,42.56,38.22,0
1.17347,3.19,273.29,57.41,0.51,112.05,10.76,42.34,38.19,0
1.20408,3.23,279.5,62.19,0.52,117.0,10.77,42.59,38.19,0
1.23469,3.21,279.83,60.98,0.52,116.86,10.74,42.7,37.8,0
1.26531,3.26,278.06,59.6,0.51,115.11,10.78,42.84,37.93,0
1.29592,3.18,275.93,58.48,0.51,113.8,10.73,42.47,37.88,0
1.32653,3.2,277.96,60.01,0.51,115.52,10.76,42.53,37.91,0
1.35714,3.21,273.36,56.77,0.5,111.45,10.71,42.42,37.79,0
1.38776,3.29,273.44,55.31,0.52,110.97,10.78,42.53,38.3,0
1.41837,3.24,275.75,59.53,0.51,114.59,10.67,42.29,37.84,0
1.44898,3.23,272.91,54.58,0.51,109.65,10.76,42.8,38.19,0
1.47959,3.23,274.62,56.54,0.51,113.07,10.71,42.28,38.1,0
1.5102,3.17,272.19,56.44,0.51,111.61,10.7,42.17,38.14,0
1.54082,3.17,271.96,53.76,0.51,110.74,10.71,42.17,38.13,0
1.57143,3.24,277.16,58.02,0.51,114.41,10.75,42.61,38.17,0
1.60204,3.28,279.69,60.15,0.52,117.0,10.7,42.66,38.0,0
1.63265,3.19,276.56,57.08,0.51,113.31,10.76,42.73,38.12,0
1.66327,3.17,270.49,54.19,0.51,109.87,10.77,42.05,38.16,0
1.69388,3.19,273.8,55.75,0.51,112.49,10.68,42.27,38.26,0
1.72449,3.24,280.98,59.9,0.51,117.94,10.73,42.67,37.97,0
1.7551,3.22,276.24,57.76,0.51,114.48,10.66,42.44,37.84,0
1.78571,3.22,270.28,53.01,0.5,109.98,10.66,42.06,37.97,0
1.81633,3.19,272.8,56.48,0.5,113.42,10.65,41.73,37.71,0
1.84694,3.14,270.65,52.98,0.51,110.35,10.65,41.92,37.96,0
1.87755,3.17,271.16,52.34,0.51,109.57,10.67,42.3,37.72,0
1.90816,3.19,275.49,56.47,0.51,114.73,10.63,42.04,37.57,0
1.93878,3.21,277.34,57.42,0.51,115.53,10.64,42.48,37.77,0
1.96939,3.22,274.09,54.54,0.51,112.46,10.66,42.35,37.97,0
2.0,3.17,276.36,55.44,0.51,114.89,10.64,42.2,37.69,0
