delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,3.24,275.36,57.9,0.52,113.42,10.72,42.37,38.22,0
2.12245,3.23,272.16,56.87,0.5,110.66,10.77,42.28,38.17,0
2.2449,3.27,273.65,55.58,0.51,111.11,10.72,42.62,38.45,0
2.36735,3.29,272.08,57.08,0.51,110.98,10.67,42.16,38.08,0
2.4898,3.18,271.54,55.54,0.5,109.29,10.75,42.54,38.13,0
2.61224,3.2,277.78,60.55,0.51,115.15,10.73,42.63,37.96,0
2.73469,3.22,276.55,60.4,0.51,114.36,10.79,42.51,37.85,0
2.85714,3.31,277.77,61.38,0.52,115.88,10.76,42.51,38.05,0
2.97959,3.16,271.48,55.86,0.5,109.33,10.75,42.54,37.95,0
3.10204,3.27,275.54,60.31,0.51,114.07,10.75,42.38,37.83,0
3.22449,3.24,275.73,59.73,0.51,113.25,10.79,42.59,38.21,0
3.34694,3.3,278.56,60.67,0.51,115.22,10.79,42.8,38.38,0
3.46939,3.23,273.32,58.86,0.5,111.28,10.82,42.49,38.43,0
3.59184,3.25,276.97,60.02,0.51,114.06,10.76,42.75,38.13,0
3.71429,3.2,272.09,56.66,0.5,109.99,10.71,42.57,37.86,0
3.83673,3.29,279.96,62.74,0.51,116.26,10.82,42.97,38.22,0
3.95918,3.29,272.71,59.0,0.51,111.36,10.74,42.38,37.99,0
4.08163,3.26,271.96,56.67,0.5,109.95,10.78,42.47,38.04,0
4.20408,3.2,275.71,58.26,0.51,111.99,10.85,42.97,38.62,0
4.32653,3.27,276.59,60.13,0.51,113.05,10.85,42.81,38.33,0
4.44898,3.25,275.1,58.74,0.51,112.29,10.8,42.67,38.72,0
4.57143,3.29,273.8,60.18,0.51,112.47,10.79,42.38,38.45,0
4.69388,3.21,274.74,59.34,0.51,111.87,10.84,42.69,38.48,0
4.81633,3.19,271.24,55.99,0.5,108.55,10.85,42.55,38.34,0
4.93878,3.26,276.28,59.35,0.51,112.52,10.86,43.01,38.44,0
5.06122,3.28,273.5,58.42,0.51,110.98,10.86,42.66,38.24,0
5.18367,3.15,271.76,56.96,0.5,110.03,10.82,42.54,37.92,0
5.30612,3.18,268.44,54.54,0.5,106.55,10.84,42.48,38.36,0
5.42857,3.29,275.26,60.21,0.52,112.42,10.84,42.6,38.55,0
5.55102,3.26,282.54,63.03,0.52,118.46,10.83,43.0,38.27,0
5.67347,3.23,274.84,58.99,0.51,112.3,10.81,42.66,38.38,0
5.79592,3.19,269.88,56.71,0.51,108.67,10.83,42.34,38.33,0
5.91837,3.21,271.91,57.8,0.51,110.31,10.86,42.43,38.59,0
6.04082,3.18,270.4,55.62,0.5,108.07,10.82,42.66,38.02,0
6.16327,3.25,275.25,60.04,0.51,112.84,10.84,42.68,37.96,0
6.28571,3.19,273.24,57.43,0.5,110.38,10.82,42.76,37.96,0
6.40816,3.22,275.95,58.73,0.51,111.65,10.83,43.14,38.32,0
6.53061,3.16,272.84,56.74,0.49,109.41,10.86,42.82,38.02,0
6.65306,3.29,276.84,60.22,0.51,112.97,10.84,43.05,38.17,0
6.77551,3.2,273.37,58.33,0.5,111.21,10.78,42.56,37.85,0
6.89796,3.22,271.73,56.98,0.5,108.79,10.84,42.7,38.67,0
7.02041,3.25,266.75,53.91,0.51,105.44,10.83,42.4,38.36,0
7.14286,3.23,272.59,57.35,0.51,109.89,10.85,42.63,38.67,0
7.26531,3.26,275.71,60.68,0.52,112.88,10.8,42.73,38.21,0
7.38776,3.25,276.45,61.28,0.51,113.5,10.87,42.68,38.68,0
7.5102,3.3,272.26,56.6,0.51,108.72,10.85,42.84,38.27,0
7.63265,3.22,273.41,59.14,0.51,111.04,10.82,42.64,38.41,0
7.7551,3.3,279.88,64.59,0.52,117.17,10.83,42.73,38.01,0
7.87755,3.19,272.09,56.82,0.51,109.61,10.84,42.63,38.33,0
8.0,3.22,275.26,60.49,0.51,112.92,10.83,42.46,37.95,0
