minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.84,4.83,9.43,9.0,0.53,3.86,4.67,435.7,92.9,0.78,170.21,11.09,64.92,53.0,81.0
4.68,5.4,11.39,9.0,0.67,5.08,4.42,483.83,133.59,0.88,217.74,11.07,65.04,53.41,16.0
3.38,2.81,8.29,9.0,0.73,7.69,4.48,465.84,114.27,0.84,202.89,10.81,64.44,52.37,7.0
4.11,4.71,5.41,9.0,1.42,6.93,4.27,514.25,125.68,0.91,248.76,10.71,64.91,51.85,0.0
4.85,2.83,5.68,9.0,1.78,5.65,4.77,630.0,194.51,1.04,367.15,10.1,64.66,48.6,0.0
2.88,5.21,7.26,9.0,1.16,4.33,4.31,485.32,112.14,0.86,219.44,10.87,65.07,52.74,0.0
2.14,3.22,13.55,9.0,1.03,5.55,4.49,480.57,115.27,0.86,217.19,10.79,64.52,52.33,0.0
3.0,3.65,5.75,9.0,0.99,4.45,4.25,480.61,114.0,0.85,216.69,10.74,64.64,51.78,0.0
4.24,1.84,14.3,9.0,1.24,4.89,4.95,680.57,255.53,1.05,408.48,10.23,67.82,47.68,0.0
3.69,2.13,4.99,9.0,1.26,2.47,4.68,576.16,170.15,0.98,318.51,9.96,63.11,48.96,0.0
1.37,4.86,10.53,9.0,0.56,4.91,4.07,424.86,81.71,0.77,160.05,11.14,64.73,53.93,142.0
2.67,4.13,14.25,9.0,0.52,4.2,4.3,434.8,94.28,0.77,170.64,11.09,64.75,53.29,82.0
3.9,1.82,8.75,9.0,1.14,7.37,5.25,767.52,332.46,1.19,493.58,10.16,68.22,47.34,0.0
4.7,1.53,4.5,9.0,1.91,4.96,5.13,717.01,247.38,1.1,456.02,9.54,65.01,45.53,0.0
3.71,4.16,12.75,9.0,1.11,4.76,4.57,504.54,129.59,0.91,239.49,10.85,64.93,52.85,0.0
3.24,5.47,7.23,9.0,1.53,7.41,4.39,528.07,134.8,0.94,264.69,10.65,64.48,51.58,0.0
3.06,3.73,13.32,9.0,1.57,3.47,4.53,532.04,136.67,0.96,270.97,10.48,63.94,51.53,0.0
2.2,3.78,7.49,9.0,1.5,7.15,4.34,494.98,112.8,0.89,235.26,10.6,63.6,51.85,0.0
4.25,2.5,7.86,9.0,1.64,6.98,4.69,586.77,170.49,1.01,323.75,10.26,64.89,49.72,0.0
3.5,3.17,14.06,9.0,1.3,3.43,4.65,628.82,209.02,1.04,358.27,10.46,67.04,49.07,0.0
1.7,5.64,8.47,9.0,1.77,7.02,4.38,495.89,120.43,0.91,235.3,10.65,63.63,52.75,0.0
3.0,2.72,8.33,9.0,1.57,2.36,4.74,563.72,154.16,1.02,308.06,10.02,62.59,50.12,0.0
1.72,2.77,4.57,9.0,0.87,2.75,4.28,467.7,101.9,0.84,208.28,10.46,63.57,51.46,0.0
4.18,1.79,9.05,9.0,1.28,6.17,5.02,659.18,235.88,1.07,390.85,10.21,66.44,48.46,0.0
3.18,5.51,7.19,9.0,1.98,2.86,4.85,578.04,153.3,0.98,315.39,10.18,64.33,49.36,0.0
1.57,3.29,9.78,9.0,0.86,5.29,4.44,495.63,131.82,0.91,233.2,10.81,64.25,52.93,5.0
3.19,3.24,14.94,9.0,1.03,2.38,4.58,542.43,158.98,0.96,279.24,10.5,64.51,50.97,0.0
