minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.99,3.35,12.83,9.0,1.8,6.28,4.59,492.87,122.87,0.88,231.01,10.67,64.16,52.15,0.0
4.71,3.51,14.37,9.0,0.7,3.08,5.08,507.42,150.11,0.92,244.82,10.68,64.21,52.7,0.0
3.59,2.6,12.49,9.0,1.05,7.11,4.68,536.45,166.81,0.97,273.4,10.68,64.59,52.21,0.0
1.25,3.87,4.77,9.0,0.83,2.1,4.54,493.32,130.9,0.89,231.96,10.67,64.11,52.44,1.0
1.34,2.49,6.32,9.0,0.56,3.19,5.16,473.84,121.43,0.87,212.42,10.7,63.97,52.96,29.0
1.88,2.19,11.07,9.0,1.84,2.2,4.55,495.23,122.84,0.89,235.57,10.42,63.67,51.57,0.0
4.61,3.14,8.49,9.0,1.62,6.92,4.82,570.34,185.16,1.05,308.3,10.54,64.37,51.62,0.0
3.65,3.04,6.57,9.0,1.67,6.52,4.59,484.99,119.99,0.9,225.63,10.62,63.45,53.42,0.0
2.43,1.77,5.37,9.0,1.91,2.96,5.23,481.44,114.76,0.88,224.38,10.36,62.77,51.63,0.0
1.71,1.51,13.02,9.0,1.8,4.78,5.82,753.01,312.68,1.21,481.7,10.24,67.46,48.14,0.0
2.66,1.67,14.25,9.0,0.72,5.42,4.7,567.52,192.65,1.02,303.75,10.51,64.94,51.06,8.0
2.62,5.32,5.6,9.0,1.71,2.66,5.06,538.32,155.82,0.96,276.86,10.51,63.99,51.52,0.0
1.45,5.15,13.32,9.0,1.27,6.18,4.69,526.81,156.75,0.94,262.13,10.77,64.77,52.25,0.0
3.23,1.64,8.69,9.0,1.3,7.29,4.93,481.24,118.64,0.86,221.08,10.55,63.73,52.23,0.0
2.01,3.0,11.55,9.0,1.1,3.63,4.5,461.13,105.2,0.83,197.5,10.73,64.7,51.96,0.0
3.08,3.0,8.26,9.0,0.92,3.0,4.46,462.87,110.84,0.85,202.22,10.67,63.81,52.87,0.0
2.48,3.17,11.98,9.0,1.04,6.11,4.47,469.58,112.86,0.84,206.17,10.76,64.51,52.51,0.0
4.78,1.75,10.49,9.0,0.64,3.05,4.98,647.53,254.58,1.06,376.39,10.51,67.34,49.8,7.0
2.56,4.41,5.73,9.0,0.71,6.66,4.44,497.55,140.29,0.89,233.63,10.78,64.63,52.33,4.0
4.94,3.0,7.57,9.0,1.36,4.13,4.44,535.8,161.39,0.94,272.72,10.56,64.76,51.04,0.0
3.5,5.58,11.26,9.0,0.55,6.85,4.39,447.14,102.51,0.82,183.35,10.95,64.55,53.8,13.0
1.82,2.6,6.08,9.0,1.39,5.31,4.54,511.51,138.12,0.92,247.88,10.64,64.66,52.1,0.0
2.69,3.82,14.8,9.0,1.06,5.72,4.56,517.57,151.5,0.95,255.27,10.74,64.37,53.03,0.0
3.58,1.63,4.28,9.0,1.83,7.67,4.78,623.89,220.58,1.07,357.57,10.26,66.14,48.73,0.0
2.23,4.98,6.93,9.0,1.29,2.72,4.66,510.09,140.14,0.9,247.14,10.67,64.68,51.87,0.0
4.17,4.73,4.68,9.0,1.94,3.72,4.4,471.69,107.13,0.85,210.85,10.59,63.83,52.52,0.0
4.26,3.42,10.67,9.0,0.78,3.6,4.74,547.21,181.4,0.99,284.08,10.66,64.51,52.27,0.0
4.6,5.19,10.29,9.0,1.04,7.89,4.44,505.84,143.44,0.91,243.38,10.77,64.29,52.73,0.0
3.4,3.84,8.16,9.0,0.59,7.5,4.46,487.76,134.45,0.89,224.38,10.8,64.57,53.47,9.0
4.5,4.19,12.66,9.0,0.91,6.35,5.1,528.01,164.27,0.98,264.15,10.73,64.66,53.08,0.0
1.67,5.33,14.48,9.0,1.76,4.48,4.66,508.84,142.49,0.9,245.52,10.67,64.73,51.69,0.0
3.65,4.92,14.65,9.0,0.71,3.91,4.98,504.47,145.95,0.89,238.8,10.78,65.35,52.41,0.0
1.68,2.5,6.2,9.0,1.97,2.15,4.7,515.12,132.17,0.92,255.29,10.38,63.71,51.89,0.0
1.34,5.72,8.79,9.0,1.91,5.34,4.64,501.6,138.7,0.9,240.79,10.62,63.76,51.79,0.0
2.04,4.13,14.78,9.0,1.36,6.86,4.63,484.36,121.05,0.88,220.68,10.79,64.62,53.06,0.0
3.23,4.94,11.19,9.0,1.22,5.69,4.41,499.91,137.94,0.89,237.84,10.78,64.25,52.24,0.0
4.53,1.84,6.31,9.0,0.87,5.88,4.64,524.71,157.25,0.93,261.97,10.56,64.7,51.5,0.0
2.77,5.18,12.03,9.0,0.57,2.05,4.44,474.2,122.5,0.85,210.0,10.78,64.66,52.68,11.0
4.07,5.36,11.31,9.0,0.65,3.04,4.52,489.08,133.59,0.87,225.35,10.82,64.61,52.16,2.0
2.26,1.68,11.14,9.0,1.75,2.51,4.76,552.46,161.55,0.97,291.64,10.32,64.05,50.63,0.0
2.37,2.44,4.92,9.0,1.9,4.72,4.5,519.64,143.52,0.93,261.67,10.44,63.25,51.42,0.0
4.73,5.76,5.26,9.0,1.49,2.12,4.45,495.91,127.82,0.88,233.59,10.63,64.3,51.97,0.0
4.96,5.17,5.9,9.0,1.12,3.48,4.68,562.3,185.83,0.98,295.5,10.66,65.79,50.87,0.0
4.4,4.42,5.72,9.0,0.75,6.67,4.54,522.54,159.47,0.93,257.31,10.77,65.21,52.24,0.0
1.69,1.73,5.48,9.0,1.75,6.72,4.45,513.05,137.69,0.9,253.08,10.43,63.85,50.95,0.0
1.39,5.07,10.25,9.0,1.7,4.98,4.58,556.75,178.45,0.98,292.86,10.59,65.0,50.78,0.0
2.51,3.03,14.91,9.0,0.72,2.4,4.66,592.96,213.35,1.05,324.94,10.58,66.1,50.45,2.0
2.3,1.47,8.96,9.0,1.75,4.16,4.71,573.18,175.23,1.01,310.13,10.29,64.9,49.83,0.0
4.2,5.63,8.0,9.0,1.46,5.93,4.98,516.96,143.67,0.91,252.15,10.68,65.12,51.89,0.0
4.39,1.79,12.1,9.0,1.91,6.15,4.78,596.46,196.74,1.01,331.36,10.39,65.45,49.4,0.0
1.69,3.15,5.86,9.0,1.27,4.1,4.54,542.17,167.36,0.97,280.72,10.59,64.13,51.54,0.0
3.05,4.16,10.63,9.0,1.12,3.33,4.63,544.03,171.28,1.01,281.87,10.67,64.21,52.79,0.0
1.61,4.27,13.87,9.0,0.6,4.95,4.47,493.58,137.06,0.88,228.99,10.83,65.01,52.07,55.0
1.26,4.04,14.1,9.0,0.79,3.54,5.07,521.49,155.62,0.92,256.32,10.7,65.27,51.28,6.0
4.16,1.94,6.46,9.0,1.17,5.87,4.48,472.03,114.62,0.85,211.94,10.58,63.74,52.15,0.0
3.04,2.12,11.58,9.0,0.73,5.71,4.63,552.95,181.15,0.98,288.31,10.6,65.15,51.36,3.0
2.77,5.13,7.43,9.0,0.91,6.92,4.39,460.23,108.48,0.82,195.36,10.88,64.98,52.57,0.0
3.2,3.44,5.78,9.0,0.92,4.52,4.83,473.92,116.19,0.83,209.0,10.78,65.29,51.77,0.0
1.41,3.52,4.07,9.0,1.44,2.91,4.32,468.65,106.34,0.84,206.69,10.59,64.15,52.25,0.0
2.69,3.23,13.4,9.0,1.4,3.99,4.68,543.05,165.61,0.97,279.55,10.58,64.87,51.18,0.0
4.62,5.43,10.75,9.0,0.57,5.71,4.47,486.92,134.26,0.86,221.76,10.84,65.1,52.48,3.0
