minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.26,2.69,4.04,9.0,0.8,7.51,4.52,517.57,151.47,0.93,256.0,10.65,64.12,51.97,0.0
4.29,5.48,3.89,9.0,0.97,2.81,4.72,594.99,209.12,1.03,326.44,10.58,66.27,50.49,0.0
4.85,4.51,11.38,9.0,1.04,7.72,4.57,542.29,166.1,0.96,274.6,10.81,65.74,52.32,0.0
2.65,5.42,5.36,9.0,0.7,4.57,4.39,497.05,136.43,0.87,230.07,10.89,65.62,51.72,12.0
1.48,3.1,13.82,9.0,1.0,7.68,4.28,458.12,100.7,0.82,193.69,10.82,64.8,52.23,0.0
2.26,3.71,8.11,9.0,0.65,2.17,4.7,460.34,106.72,0.84,197.52,10.75,64.37,52.7,17.0
4.61,5.68,4.54,9.0,1.09,3.02,4.5,518.1,143.27,0.92,253.66,10.67,64.7,52.17,0.0
4.57,2.69,9.33,9.0,1.13,4.6,4.76,535.09,163.2,0.98,275.07,10.51,63.76,52.09,0.0
2.94,3.08,10.6,9.0,1.4,3.76,4.59,537.64,150.62,0.93,273.71,10.54,64.88,50.78,0.0
2.84,4.66,9.93,9.0,0.51,5.9,4.31,469.38,120.16,0.85,203.76,11.02,65.1,53.52,79.0
3.02,5.1,4.53,9.0,1.77,2.78,4.92,514.75,126.28,0.93,258.01,10.37,62.84,51.52,0.0
3.07,5.57,5.83,9.0,1.33,6.0,4.42,515.83,136.99,0.93,253.15,10.73,64.39,52.43,0.0
3.49,5.76,13.55,9.0,0.74,2.08,4.84,471.29,118.86,0.85,208.67,10.83,64.26,52.76,0.0
1.87,5.39,6.41,9.0,0.78,5.82,4.32,456.1,102.51,0.8,190.23,10.95,65.18,52.7,10.0
1.73,5.48,8.65,9.0,1.44,5.89,4.69,567.78,177.41,1.04,302.87,10.68,64.9,52.0,0.0
2.58,1.73,9.51,9.0,1.03,7.1,4.57,501.35,131.24,0.9,241.69,10.43,63.78,51.46,0.0
4.73,3.16,11.54,9.0,1.0,4.08,4.45,491.32,130.12,0.88,230.14,10.7,64.02,52.38,0.0
3.38,5.31,10.95,9.0,1.48,3.23,5.01,543.95,157.18,0.96,281.27,10.58,64.39,51.49,0.0
2.05,2.32,4.32,9.0,0.62,6.45,4.54,494.15,134.65,0.9,233.82,10.66,63.67,52.61,39.0
2.44,4.98,8.02,9.0,1.61,4.36,4.5,513.69,126.38,0.91,247.66,10.63,65.2,51.16,0.0
1.48,5.78,5.74,9.0,1.18,3.33,4.8,471.08,112.42,0.86,209.27,10.76,64.1,52.59,0.0
3.76,4.39,12.74,9.0,1.36,6.13,4.5,511.67,135.88,0.91,246.32,10.77,65.12,52.05,0.0
3.65,2.0,11.02,9.0,1.04,2.37,4.78,556.17,172.38,0.98,295.74,10.26,63.93,50.4,0.0
5.0,3.94,13.05,9.0,1.01,7.22,4.56,502.44,137.86,0.9,237.81,10.81,65.01,52.31,0.0
4.57,1.99,4.68,9.0,1.1,4.86,4.55,505.29,136.73,0.92,248.54,10.37,62.9,51.82,0.0
1.91,1.84,10.32,9.0,1.46,3.82,4.79,578.17,172.24,1.0,316.24,10.26,64.4,49.93,0.0
3.52,3.45,8.17,9.0,0.61,3.9,4.29,447.29,101.6,0.81,184.5,10.85,64.18,53.28,14.0
3.93,4.96,4.75,9.0,1.63,6.04,4.42,530.64,144.18,0.97,270.03,10.55,63.84,51.71,0.0
2.9,2.62,4.54,9.0,0.97,6.79,4.6,531.53,156.12,0.95,269.11,10.58,64.32,51.35,0.0
3.44,4.02,9.63,9.0,1.47,5.07,4.55,525.97,145.85,0.95,264.58,10.6,64.23,51.77,0.0
4.28,4.82,13.73,9.0,0.57,6.25,4.29,472.85,125.66,0.86,207.62,11.01,64.89,53.6,19.0
3.03,1.76,8.69,9.0,0.97,4.78,4.66,505.13,137.2,0.9,246.3,10.42,63.46,51.59,0.0
3.01,3.62,3.77,9.0,1.48,4.78,4.26,495.83,118.74,0.89,236.31,10.52,63.62,51.7,0.0
1.8,1.79,12.88,9.0,0.78,4.0,4.64,526.7,154.43,0.94,265.5,10.46,63.98,51.7,6.0
3.13,5.79,13.49,9.0,0.54,7.07,4.35,450.15,105.31,0.82,184.3,11.09,64.92,53.63,43.0
2.52,4.73,7.07,9.0,1.24,2.62,4.6,527.08,143.56,0.94,262.7,10.63,64.79,51.68,0.0
3.85,5.7,11.95,9.0,1.69,4.96,4.38,485.01,111.81,0.88,224.68,10.66,63.79,52.08,0.0
3.7,4.19,13.71,9.0,0.68,5.19,4.73,459.11,108.38,0.81,191.56,10.96,65.66,52.56,5.0
4.56,4.49,8.61,9.0,0.52,4.41,4.45,489.73,141.57,0.91,226.15,10.91,64.47,53.72,37.0
1.49,2.97,12.88,9.0,0.5,4.12,4.25,429.76,86.96,0.77,167.82,10.87,64.15,52.94,99.0
4.55,2.87,8.52,9.0,1.93,6.43,4.7,536.1,141.42,0.97,279.07,10.36,63.02,51.05,0.0
3.88,5.23,10.19,9.0,1.57,2.34,4.8,602.61,192.57,1.06,337.04,10.44,65.12,50.97,0.0
2.0,2.89,4.78,9.0,0.97,7.96,4.97,477.07,116.15,0.87,216.28,10.69,63.95,52.49,0.0
