minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.94,4.48,11.65,9.0,0.55,3.73,4.32,421.86,79.03,0.77,155.99,11.23,64.95,54.42,82.0
4.99,4.08,10.15,9.0,0.74,2.38,4.35,476.41,123.02,0.87,215.57,10.79,63.78,53.51,1.0
3.48,1.75,7.69,9.0,1.87,4.9,5.46,963.43,419.3,1.28,686.58,9.39,69.47,42.72,0.0
3.75,5.03,13.78,9.0,0.94,6.23,4.23,481.8,119.08,0.87,213.76,11.1,65.59,53.45,0.0
3.01,5.36,7.17,9.0,0.61,6.71,3.98,424.0,81.93,0.76,156.89,11.31,65.26,54.0,43.0
4.41,2.42,4.92,9.0,1.44,5.64,4.66,575.63,158.95,1.02,318.78,10.11,62.86,50.07,0.0
1.51,1.53,5.9,9.0,1.63,3.83,5.23,604.06,156.49,1.01,349.83,9.41,62.48,46.05,0.0
2.82,5.46,5.78,9.0,1.42,3.52,4.14,467.67,87.83,0.84,208.07,10.63,63.36,52.08,0.0
2.84,2.39,6.16,9.0,0.77,5.99,4.95,490.44,127.18,0.9,229.79,10.56,63.81,52.27,4.0
4.87,3.21,5.43,9.0,1.64,2.0,4.51,545.78,127.23,0.97,294.2,9.76,61.09,49.51,0.0
1.78,4.82,12.87,9.0,1.11,6.77,4.51,533.68,147.86,0.96,264.8,11.03,65.81,52.95,0.0
2.48,1.77,10.4,9.0,0.56,6.77,4.58,462.72,108.91,0.84,204.2,10.52,63.2,51.99,77.0
1.34,5.62,11.25,9.0,0.5,3.07,4.01,418.48,75.99,0.75,151.5,11.35,65.24,54.26,129.0
2.29,1.96,6.4,9.0,0.66,4.02,4.32,484.59,118.89,0.86,225.61,10.35,63.44,50.63,36.0
3.2,2.96,6.29,9.0,1.27,4.09,4.3,506.71,117.08,0.9,247.25,10.41,63.5,50.87,0.0
