minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.96,5.72,14.82,9.0,1.03,7.99,4.32,478.58,111.65,0.86,210.49,11.21,65.57,53.66,0.0,-0.42
2.96,5.72,13.61,9.0,1.03,4.4,4.21,454.35,89.76,0.8,183.97,11.13,66.22,52.95,0.0,-0.44
2.96,5.72,13.61,9.0,1.03,7.99,4.2,447.8,90.62,0.81,180.7,11.18,65.29,53.59,0.0,-0.5
2.96,5.72,6.96,9.0,0.64,7.99,4.27,439.64,93.81,0.79,171.21,11.32,65.57,54.03,36.0,4.0
2.96,5.72,13.61,9.0,1.03,7.99,4.2,447.8,90.62,0.81,180.7,11.18,65.29,53.59,0.0,-0.5
2.96,5.72,13.61,9.0,0.88,7.23,4.32,483.84,123.57,0.89,216.62,11.19,65.33,53.84,0.0,-0.4
2.53,5.72,11.03,9.0,1.03,7.99,4.28,506.81,131.96,0.92,239.14,11.14,65.36,53.4,0.0,-0.35
4.18,4.46,11.62,9.0,1.03,7.99,4.43,481.47,112.69,0.85,210.97,11.03,66.48,52.38,0.0,-0.24
2.78,5.51,13.61,9.0,0.66,7.99,4.08,440.7,91.99,0.78,169.19,11.35,66.41,53.72,36.0,4.0
2.96,5.04,7.36,9.0,0.92,7.99,4.1,471.41,108.53,0.84,203.38,11.13,65.58,53.36,0.0,-0.47
3.81,5.72,13.0,9.0,0.88,4.92,4.29,471.48,110.14,0.84,200.93,11.14,66.37,53.1,0.0,-0.38
2.96,5.72,7.59,9.0,0.88,6.4,4.14,472.37,112.83,0.86,205.43,11.16,65.25,53.53,0.0,-0.46
1.27,1.85,4.86,9.0,1.16,3.72,5.11,531.32,128.99,0.93,277.9,9.87,62.05,49.04,0.0,0.62
4.31,5.72,13.61,9.0,0.88,7.23,4.29,479.83,121.75,0.87,212.13,11.22,65.43,54.22,0.0,-0.45
2.96,3.57,13.61,9.0,0.88,3.39,4.29,468.59,106.69,0.84,204.29,10.82,64.61,52.35,0.0,-0.24
2.96,2.22,13.61,9.0,0.88,4.59,4.71,586.15,198.6,1.05,323.15,10.42,64.88,50.21,1.0,4.0
3.49,5.72,13.61,9.0,0.88,6.94,4.18,486.68,122.85,0.85,215.76,11.2,66.37,53.04,0.0,-0.41
2.96,5.72,6.64,9.0,0.99,6.91,4.06,488.47,116.7,0.84,217.4,11.09,67.09,51.91,0.0,-0.37
3.88,3.58,13.61,9.0,1.2,7.99,4.34,513.69,131.24,0.9,245.64,10.87,65.7,52.49,0.0,-0.19
3.77,5.72,14.05,9.0,1.28,7.01,4.58,558.33,158.98,1.01,289.73,10.91,65.74,52.66,0.0,-0.06
2.96,4.01,9.34,9.0,1.03,3.56,4.63,484.6,111.13,0.86,218.3,10.83,65.16,52.1,0.0,-0.09
2.96,5.72,13.61,9.0,1.95,7.99,4.63,609.29,161.73,1.09,343.32,10.46,65.36,50.69,0.0,0.22
