minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.61,4.5,14.01,9.0,0.53,7.47,4.2,460.82,121.3,0.85,193.61,11.31,65.38,54.18,76.0
3.09,4.0,12.92,9.0,0.92,2.39,4.31,501.07,126.61,0.88,234.34,10.76,65.27,52.21,0.0
2.27,4.5,14.01,9.0,0.92,4.92,4.37,519.09,145.92,0.94,251.72,11.02,65.36,52.88,0.0
3.15,4.12,9.85,9.0,0.92,4.49,4.43,504.28,135.45,0.92,240.51,10.93,64.55,53.47,0.0
3.15,2.13,14.01,9.0,0.92,7.02,4.65,547.03,169.82,0.98,286.05,10.51,63.88,51.48,0.0
3.15,4.5,5.64,9.0,1.29,4.26,4.28,527.79,131.77,0.96,265.35,10.61,64.16,51.92,0.0
4.73,5.47,12.92,9.0,0.92,2.39,4.17,458.08,97.02,0.81,191.97,10.96,65.05,52.84,0.0
3.31,4.0,8.25,9.0,0.92,6.15,4.42,514.79,141.89,0.92,247.69,10.96,65.29,52.78,0.0
3.09,4.54,4.07,9.0,0.84,6.75,4.66,463.44,101.43,0.83,197.47,10.99,65.02,53.11,0.0
3.1,4.48,13.89,9.0,0.92,4.48,4.47,490.18,125.61,0.89,223.72,11.04,65.14,53.03,0.0
3.15,4.5,12.75,9.0,0.92,5.88,4.32,479.48,115.69,0.86,210.42,11.09,65.82,53.23,0.0
2.44,4.5,11.07,9.0,0.92,3.75,4.36,500.26,129.26,0.9,234.49,10.94,64.93,52.73,0.0
3.09,5.54,9.85,9.0,0.86,4.92,4.37,539.8,166.89,0.98,270.56,11.05,65.84,52.87,0.0
4.93,4.0,4.11,9.0,0.92,3.56,4.18,485.12,118.39,0.87,223.62,10.69,63.96,52.57,0.0
3.09,3.22,9.85,9.0,1.67,4.92,4.55,546.72,134.41,0.97,287.74,10.31,63.45,50.29,0.0
