minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,iterations
4.54,3.08,8.85,9.0,1.04,5.36,4.69,595.37,200.16,1.03,326.69,10.6,65.97,51.05,0.0,0
3.15,4.5,14.01,9.0,0.92,4.26,4.34,494.73,129.54,0.9,229.14,11.01,64.94,53.61,0.0,2
3.09,4.0,9.85,9.0,0.92,4.92,4.44,478.6,115.81,0.88,214.94,10.98,64.52,53.87,0.0,44
1.76,5.66,12.0,9.0,0.97,3.78,4.43,477.74,112.36,0.87,211.25,11.12,65.16,54.07,0.0,151
1.76,5.62,10.82,9.0,0.97,3.89,4.39,464.14,104.72,0.87,200.8,11.09,64.37,54.23,0.0,663
1.92,5.62,8.64,9.0,0.97,7.95,4.89,464.11,102.93,0.85,196.74,11.19,65.39,54.26,0.0,903
1.92,5.62,8.64,9.0,0.97,6.31,4.33,481.73,117.67,0.89,216.14,11.15,64.91,54.3,0.0,1190
2.03,5.52,10.51,9.0,1.0,6.31,4.3,469.89,108.2,0.88,206.1,11.17,64.47,54.47,0.0,1233
