minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,4.31,457.11,90.75,0.84,198.11,10.59,63.34,52.11,0
1.32653,4.19,468.33,98.2,0.85,208.54,10.59,63.61,51.54,0
1.40306,4.96,535.79,145.46,0.92,269.88,10.52,65.37,50.27,0
1.47959,4.74,465.43,97.16,0.85,206.08,10.58,63.43,51.69,0
1.55612,4.79,480.33,107.96,0.88,219.88,10.59,63.79,51.99,0
1.63265,4.45,532.19,144.06,0.93,268.22,10.56,64.66,50.89,0
1.70918,4.9,498.45,120.2,0.9,238.34,10.56,63.67,51.67,0
1.78571,5.45,533.85,149.19,0.96,273.01,10.51,63.84,51.01,0
1.86224,4.72,554.69,161.75,0.99,290.51,10.56,64.72,51.28,0
1.93878,4.44,518.85,137.28,0.94,258.72,10.55,63.67,51.61,0
2.01531,4.83,501.05,123.28,0.91,240.43,10.57,63.8,51.8,0
2.09184,4.41,497.89,121.42,0.9,237.78,10.58,63.66,51.88,0
2.16837,4.53,523.17,140.41,0.95,262.97,10.57,63.63,51.75,0
2.2449,4.43,504.37,126.03,0.91,243.6,10.61,63.82,51.66,0
2.32143,4.5,542.3,151.96,0.97,278.99,10.56,64.54,50.97,0
2.39796,4.38,484.97,111.84,0.86,224.31,10.6,63.81,51.53,0
2.47449,4.81,518.0,135.5,0.93,256.15,10.59,64.08,51.69,0
2.55102,4.46,513.99,131.56,0.92,252.23,10.59,64.09,51.48,0
2.62755,4.38,506.84,129.39,0.92,247.38,10.56,63.55,51.99,0
2.70408,4.83,498.32,122.69,0.91,239.58,10.58,63.3,52.27,0
2.78061,4.41,498.03,122.87,0.9,238.95,10.56,63.45,52.25,0
2.85714,4.43,491.63,119.33,0.89,232.25,10.59,63.51,52.22,0
2.93367,4.36,489.38,114.68,0.88,228.48,10.58,63.85,51.48,0
3.0102,4.44,505.5,129.41,0.91,244.78,10.57,63.8,51.65,0
3.08673,4.63,560.9,172.36,1.01,298.34,10.48,64.36,50.99,0
3.16327,4.57,579.53,186.32,1.04,316.15,10.48,64.65,50.72,0
3.2398,5.32,617.53,219.81,1.11,353.2,10.46,64.82,50.93,0
3.31633,4.69,613.1,208.8,1.05,344.62,10.46,66.57,49.25,0
3.39286,4.46,478.02,108.48,0.86,218.28,10.57,63.52,51.97,0
3.46939,4.76,601.96,202.66,1.06,334.75,10.48,65.83,50.44,0
3.54592,4.55,541.39,155.92,0.96,278.05,10.53,64.54,51.25,0
3.62245,4.54,525.87,146.31,0.92,264.77,10.57,63.92,52.04,0
3.69898,4.62,535.75,154.67,0.94,274.82,10.55,63.87,51.81,0
3.77551,4.45,512.63,134.06,0.91,249.8,10.61,64.36,51.48,0
3.85204,4.52,563.08,174.96,1.0,300.86,10.48,64.26,51.04,0
3.92857,4.83,577.25,183.54,0.99,311.61,10.46,65.45,50.3,0
4.0051,4.62,548.82,162.83,0.97,284.41,10.53,64.78,51.13,0
4.08163,4.92,702.77,292.62,1.15,434.33,10.35,66.55,49.03,0
4.15816,4.7,636.52,234.06,1.06,368.27,10.43,66.5,49.31,0
4.23469,4.74,644.5,238.92,1.09,376.03,10.44,66.18,49.89,0
4.31122,4.4,494.68,126.25,0.9,237.41,10.54,63.01,52.14,0
4.38776,4.81,561.5,174.13,0.98,297.57,10.49,64.68,50.79,0
4.46429,4.73,631.76,225.44,1.06,362.4,10.45,66.62,49.54,0
4.54082,4.59,579.08,189.23,1.01,315.65,10.47,64.85,50.59,0
4.61735,4.54,569.01,181.89,1.0,304.93,10.49,64.99,50.82,0
4.69388,4.79,553.31,168.6,0.98,290.08,10.51,64.47,51.36,0
4.77041,4.61,548.57,167.97,0.98,286.75,10.52,64.15,51.52,0
4.84694,4.43,499.96,129.22,0.91,239.24,10.54,63.85,52.15,0
4.92347,4.67,559.01,176.77,1.03,296.74,10.51,64.25,51.55,0
