minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
3.61,3.23,7.73,9.0,1.21,7.25,4.74,609.57,203.82,1.07,350.72,10.09,63.74,49.57,0.0,0.72,3.0
3.92,4.77,8.16,9.0,1.21,2.16,4.58,541.85,149.04,0.99,289.14,10.04,62.16,50.79,0.0,0.25,4.0
3.92,4.77,3.11,9.0,1.21,3.42,4.48,529.24,136.4,0.94,273.56,10.08,62.85,49.73,0.0,0.23,24.0
1.7,4.1,3.11,9.0,1.21,3.42,4.16,510.85,120.38,0.88,254.97,10.07,62.93,49.06,0.0,-0.0,26.0
3.08,4.77,3.11,9.0,1.09,3.42,4.26,475.02,102.15,0.86,221.47,10.14,62.23,50.66,0.0,-0.23,29.0
2.42,4.77,7.27,9.0,1.09,4.11,4.37,481.67,108.0,0.88,227.4,10.25,62.45,51.27,0.0,-0.27,42.0
4.21,4.77,2.48,9.0,0.72,4.11,4.24,486.43,122.81,0.87,229.57,10.38,63.1,51.5,0.0,-0.41,198.0
3.54,4.77,2.48,9.0,0.72,3.7,4.33,461.88,102.21,0.85,206.55,10.36,62.66,51.76,0.0,-0.45,1390.0
