accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,3.33,276.33,57.22,0.51,113.78,10.59,42.52,37.89,0
1.53878,3.29,273.71,58.48,0.52,114.45,10.54,41.66,37.84,0
1.62755,3.29,274.26,57.97,0.51,113.48,10.65,42.1,38.06,0
1.71633,3.25,272.07,56.03,0.51,111.64,10.65,42.0,37.96,0
1.8051,3.21,277.12,59.8,0.52,115.3,10.68,42.37,37.85,0
1.89388,3.27,276.93,60.06,0.5,115.57,10.68,42.38,37.71,0
1.98265,3.29,276.29,58.88,0.51,113.44,10.74,42.7,37.97,0
2.07143,3.28,273.77,57.1,0.51,111.48,10.74,42.46,38.36,0
2.1602,3.28,277.12,61.02,0.52,115.09,10.72,42.42,38.21,0
2.24898,3.23,274.84,57.99,0.51,112.61,10.74,42.44,38.34,0
2.33776,3.24,273.01,59.24,0.51,113.25,10.72,41.88,37.81,0
2.42653,3.23,274.33,58.81,0.5,112.5,10.68,42.41,38.15,0
2.51531,3.23,269.46,54.62,0.51,107.8,10.76,42.35,38.31,0
2.60408,3.26,279.58,63.2,0.52,117.27,10.74,42.56,37.72,0
2.69286,3.23,277.35,59.61,0.5,113.43,10.83,42.98,38.29,0
2.78163,3.28,278.27,61.45,0.52,115.21,10.79,42.71,38.28,0
2.87041,3.3,280.76,63.78,0.52,117.7,10.81,42.73,38.26,0
2.95918,3.22,275.16,60.12,0.51,113.53,10.77,42.4,38.21,0
3.04796,3.16,272.64,56.33,0.51,110.27,10.82,42.51,38.17,0
3.13673,3.17,273.04,56.04,0.51,109.41,10.83,42.91,38.3,0
3.22551,3.26,273.98,58.79,0.51,111.61,10.79,42.64,38.13,0
3.31429,3.22,274.44,58.46,0.5,110.89,10.84,42.95,38.28,0
3.40306,3.3,281.78,64.71,0.52,118.1,10.86,43.06,38.36,0
3.49184,3.15,272.23,57.11,0.5,109.33,10.84,42.78,38.13,0
3.58061,3.24,277.32,60.83,0.51,113.42,10.87,42.96,38.19,0
3.66939,3.18,272.88,58.39,0.5,110.5,10.89,42.54,38.02,0
3.75816,3.23,270.73,56.97,0.5,108.58,10.84,42.52,38.49,0
3.84694,3.19,271.85,56.78,0.51,109.39,10.89,42.6,38.57,0
3.93571,3.19,267.23,55.44,0.51,106.78,10.83,42.09,38.28,0
4.02449,3.22,267.33,53.98,0.49,105.19,10.82,42.47,38.45,0
4.11327,3.26,273.52,58.53,0.51,110.66,10.86,42.69,38.66,0
4.20204,3.16,275.7,60.4,0.5,112.69,10.89,42.67,38.36,0
4.29082,3.27,276.29,60.52,0.52,112.74,10.89,42.84,38.75,0
4.37959,3.32,275.38,59.29,0.51,112.17,10.85,42.76,38.63,0
4.46837,3.21,275.6,60.33,0.52,113.04,10.84,42.67,38.4,0
4.55714,3.24,275.23,59.49,0.5,111.79,10.87,42.87,38.12,0
4.64592,3.19,278.06,60.78,0.51,114.31,10.9,43.05,38.36,0
4.73469,3.18,271.5,55.91,0.51,107.9,10.9,43.01,38.48,0
4.82347,3.17,271.18,55.23,0.5,107.84,10.88,42.91,38.33,0
4.91224,3.18,266.89,53.53,0.5,105.25,10.87,42.39,38.42,0
5.00102,3.23,274.66,59.16,0.51,111.5,10.87,42.85,38.29,0
5.0898,3.29,279.7,62.5,0.51,115.61,10.88,42.99,38.18,0
5.17857,3.23,270.96,57.85,0.51,109.17,10.88,42.49,38.48,0
5.26735,3.15,273.06,57.78,0.51,109.56,10.89,42.96,38.11,0
5.35612,3.2,270.9,55.85,0.51,107.61,10.91,42.85,38.57,0
5.4449,3.19,270.33,55.74,0.5,106.98,10.89,42.89,38.37,0
5.53367,3.17,274.02,59.4,0.5,111.36,10.91,42.68,38.05,0
5.62245,3.28,278.17,62.38,0.52,114.69,10.89,42.81,38.59,0
5.71122,3.19,272.54,59.34,0.5,111.03,10.81,42.46,37.7,0
