decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,3.24,275.41,58.81,0.51,113.21,10.77,42.53,38.2,0
3.97959,3.23,271.54,55.62,0.51,109.41,10.76,42.52,38.06,0
4.20918,3.23,271.62,56.52,0.51,110.2,10.71,42.27,38.21,0
4.43878,3.22,276.32,60.39,0.5,114.34,10.74,42.47,38.06,0
4.66837,3.29,279.25,61.73,0.52,116.56,10.76,42.67,38.53,0
4.89796,3.26,273.69,58.39,0.5,111.21,10.81,42.59,38.53,0
5.12755,3.21,270.49,55.47,0.51,108.83,10.77,42.31,38.43,0
5.35714,3.18,274.67,56.61,0.5,110.74,10.83,42.88,38.22,0
5.58673,3.15,271.32,56.79,0.5,109.77,10.75,42.41,37.72,0
5.81633,3.28,274.77,59.47,0.51,112.6,10.77,42.5,38.1,0
6.04592,3.22,271.76,58.39,0.51,110.91,10.75,42.21,38.07,0
6.27551,3.26,278.9,61.13,0.51,115.17,10.78,42.89,38.25,0
6.5051,3.24,275.2,59.25,0.51,112.55,10.78,42.56,38.21,0
6.73469,3.21,270.19,56.07,0.5,108.91,10.75,42.36,37.97,0
6.96429,3.21,275.21,58.69,0.51,112.01,10.81,42.78,38.04,0
7.19388,3.24,277.04,61.31,0.51,115.07,10.76,42.49,38.42,0
7.42347,3.14,273.77,58.51,0.5,111.37,10.76,42.55,37.82,0
7.65306,3.34,277.88,60.6,0.51,114.47,10.83,42.74,38.33,0
7.88265,3.21,273.62,58.16,0.5,110.83,10.8,42.78,37.97,0
8.11224,3.26,279.96,62.36,0.51,115.76,10.86,43.04,38.01,0
8.34184,3.26,270.86,55.99,0.51,108.54,10.8,42.5,38.49,0
8.57143,3.23,277.85,63.07,0.52,115.88,10.82,42.52,38.09,0
8.80102,3.2,277.11,62.37,0.51,115.11,10.77,42.55,37.67,0
9.03061,3.28,274.03,58.22,0.51,110.6,10.85,42.86,38.46,0
9.2602,3.27,272.58,57.99,0.5,110.71,10.83,42.45,38.02,0
9.4898,3.25,276.76,59.73,0.5,112.73,10.85,43.04,38.4,0
9.71939,3.23,274.05,58.43,0.51,111.02,10.86,42.77,38.69,0
9.94898,3.22,275.0,58.13,0.51,111.92,10.8,42.67,38.34,0
10.17857,3.23,277.21,61.45,0.51,114.43,10.83,42.62,38.31,0
10.40816,3.26,277.96,61.52,0.52,114.47,10.82,42.86,38.41,0
10.63776,3.25,277.06,60.83,0.51,113.97,10.8,42.82,38.2,0
10.86735,3.23,272.73,56.83,0.5,109.35,10.83,42.81,38.14,0
11.09694,3.24,277.59,59.71,0.52,113.81,10.81,42.74,38.24,0
11.32653,3.21,272.4,55.66,0.5,108.68,10.84,42.92,38.35,0
11.55612,3.3,280.81,63.54,0.52,117.36,10.81,42.92,38.05,0
11.78571,3.2,272.78,57.67,0.5,109.69,10.86,42.86,38.22,0
12.01531,3.23,276.2,59.07,0.51,112.61,10.84,42.91,38.58,0
12.2449,3.28,272.74,57.83,0.51,110.52,10.79,42.51,38.45,0
12.47449,3.28,276.93,60.12,0.52,113.66,10.86,42.8,38.44,0
12.70408,3.28,275.33,59.48,0.51,111.96,10.83,42.85,38.19,0
12.93367,3.19,274.31,59.9,0.51,112.25,10.82,42.56,38.12,0
13.16327,3.26,273.26,58.22,0.51,111.25,10.79,42.49,38.47,0
13.39286,3.28,278.02,61.9,0.51,115.38,10.79,42.74,38.26,0
13.62245,3.23,276.91,60.15,0.5,113.38,10.83,42.95,38.52,0
13.85204,3.23,278.08,61.28,0.5,114.69,10.84,42.89,38.18,0
14.08163,3.22,277.34,61.29,0.51,114.03,10.83,42.85,38.48,0
14.31122,3.23,272.83,57.64,0.51,110.07,10.82,42.78,38.17,0
14.54082,3.28,272.1,56.83,0.5,108.68,10.86,42.89,38.58,0
14.77041,3.24,277.16,60.79,0.51,113.87,10.84,42.77,37.99,0
15.0,3.28,278.31,60.96,0.51,114.37,10.83,42.96,38.18,0
