delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,4.49,485.18,118.03,0.88,225.62,10.47,63.61,52.37,0
2.12245,4.52,523.7,146.71,0.94,262.67,10.47,64.0,51.72,0
2.2449,4.62,536.82,159.36,0.98,277.37,10.45,63.63,51.35,0
2.36735,4.5,548.61,162.28,0.95,282.04,10.45,65.77,49.9,0
2.4898,4.42,490.52,123.71,0.87,230.19,10.51,63.89,51.25,0
2.61224,4.74,542.47,162.86,0.97,280.3,10.5,64.21,51.42,0
2.73469,4.32,471.15,109.38,0.85,210.87,10.58,63.84,52.16,0
2.85714,4.51,536.96,157.46,0.94,274.68,10.53,64.49,50.49,0
2.97959,4.58,498.33,129.0,0.9,238.14,10.58,63.71,52.46,0
3.10204,4.34,472.12,109.43,0.85,210.13,10.64,64.23,51.8,0
3.22449,4.47,506.09,134.93,0.91,244.6,10.57,64.09,51.82,0
3.34694,4.46,508.05,138.66,0.91,247.63,10.61,63.84,51.78,0
3.46939,4.36,462.66,103.71,0.83,200.96,10.67,64.13,52.29,0
3.59184,4.24,473.95,110.44,0.82,209.41,10.67,65.03,50.91,0
3.71429,4.44,515.45,141.33,0.91,253.2,10.62,64.32,51.7,0
3.83673,4.93,512.36,141.44,0.92,250.66,10.59,64.13,51.68,0
3.95918,4.47,541.0,163.06,0.97,277.73,10.58,64.74,50.91,0
4.08163,5.28,634.07,234.82,1.1,365.32,10.46,66.31,50.11,0
4.20408,4.53,511.94,139.77,0.92,250.09,10.63,64.11,51.8,0
4.32653,4.45,500.74,131.56,0.9,239.14,10.68,64.15,52.45,0
4.44898,4.61,556.74,172.0,0.98,290.33,10.6,65.63,50.89,0
4.57143,4.55,567.27,184.56,1.02,302.41,10.59,65.29,51.08,0
4.69388,5.03,531.32,154.61,0.93,266.84,10.63,65.07,51.09,0
4.81633,4.36,467.99,111.52,0.86,208.61,10.66,63.47,52.55,0
4.93878,4.53,503.74,134.4,0.89,241.32,10.66,64.25,51.48,0
5.06122,4.67,519.0,149.76,0.96,258.88,10.63,63.73,52.86,0
5.18367,4.76,460.94,105.67,0.84,201.33,10.66,63.5,52.71,0
5.30612,4.62,544.0,166.71,0.99,281.79,10.62,64.42,51.52,0
5.42857,4.49,491.65,127.23,0.91,230.23,10.69,64.07,52.95,0
5.55102,4.64,538.48,161.61,0.97,275.04,10.67,64.58,51.98,0
5.67347,4.52,475.62,115.09,0.88,215.47,10.69,63.74,52.74,0
5.79592,4.51,498.14,130.88,0.89,235.7,10.71,64.34,51.93,0
5.91837,4.62,519.55,147.0,0.95,258.5,10.66,63.98,52.67,0
6.04082,4.39,511.57,141.11,0.93,250.37,10.69,64.07,52.14,0
6.16327,4.8,512.85,142.4,0.91,249.93,10.63,64.62,51.12,0
6.28571,4.45,528.27,152.89,0.94,265.38,10.66,64.57,51.18,0
6.40816,4.51,478.16,116.51,0.88,216.2,10.7,64.12,52.72,0
6.53061,4.4,488.03,124.13,0.88,226.41,10.69,64.15,52.28,0
6.65306,4.55,516.78,145.37,0.93,253.9,10.72,64.56,52.04,0
6.77551,4.56,498.51,132.94,0.9,237.92,10.72,63.84,52.87,0
6.89796,4.79,462.08,104.28,0.83,199.61,10.75,64.33,52.16,0
7.02041,4.34,485.89,123.2,0.88,224.69,10.73,64.03,52.46,0
7.14286,4.51,496.47,129.6,0.88,232.49,10.74,64.83,52.08,0
7.26531,4.47,485.51,122.46,0.88,223.17,10.71,64.33,52.0,0
7.38776,4.32,465.11,107.49,0.82,201.89,10.76,64.55,51.86,0
7.5102,4.43,507.62,140.49,0.92,245.86,10.68,64.18,51.93,0
7.63265,4.49,482.0,119.1,0.86,219.31,10.7,64.49,52.0,0
7.7551,4.44,528.38,152.05,0.92,262.84,10.67,65.39,50.9,0
7.87755,4.58,514.98,145.44,0.93,253.28,10.74,64.18,52.77,0
8.0,4.47,506.86,137.21,0.91,244.28,10.71,64.35,52.23,0
