minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,4.39,470.18,111.1,0.86,210.76,10.64,63.52,52.34,0
1.32653,4.63,535.74,159.58,0.96,272.95,10.62,64.39,51.84,0
1.40306,4.39,512.59,138.27,0.9,248.47,10.65,64.85,51.17,0
1.47959,4.46,485.15,121.05,0.88,223.41,10.69,64.18,52.79,0
1.55612,4.44,490.56,123.93,0.88,229.27,10.65,64.05,52.03,0
1.63265,4.51,507.98,138.84,0.91,247.4,10.61,63.89,51.58,0
1.70918,4.56,575.04,187.11,1.01,309.63,10.54,65.53,49.97,0
1.78571,4.52,516.48,144.12,0.92,254.91,10.65,64.1,51.8,0
1.86224,4.61,500.04,131.8,0.9,238.65,10.64,64.03,51.96,0
1.93878,4.3,466.49,106.06,0.84,205.1,10.65,64.1,51.89,0
2.01531,4.49,501.23,133.1,0.9,239.51,10.61,64.19,51.89,0
2.09184,4.65,520.93,146.04,0.92,257.19,10.63,64.64,51.53,0
2.16837,4.6,540.63,163.72,0.99,279.9,10.59,63.91,52.01,0
2.2449,4.44,517.76,144.91,0.92,255.72,10.65,64.27,51.98,0
2.32143,4.93,500.43,132.78,0.9,240.49,10.6,63.78,51.63,0
2.39796,4.37,493.45,125.13,0.86,229.79,10.65,64.77,51.13,0
2.47449,4.43,517.61,144.27,0.92,254.9,10.61,64.46,51.11,0
2.55102,4.44,516.6,145.92,0.92,255.98,10.58,63.92,51.59,0
2.62755,4.54,505.39,135.98,0.91,243.28,10.65,64.25,52.06,0
2.70408,4.65,558.26,176.07,0.99,294.33,10.61,64.9,51.08,0
2.78061,4.32,487.47,121.87,0.88,226.22,10.65,64.02,52.16,0
2.85714,4.61,532.27,156.19,0.94,269.52,10.6,64.69,51.31,0
2.93367,4.59,529.28,157.3,0.95,268.58,10.56,63.91,51.22,0
3.0102,4.84,501.68,134.75,0.9,240.98,10.62,63.93,52.13,0
3.08673,4.68,612.8,216.96,1.04,343.75,10.59,66.39,50.3,0
3.16327,4.56,525.41,153.75,0.97,264.56,10.62,63.98,52.23,0
3.2398,4.48,491.54,126.97,0.89,231.09,10.62,63.86,51.92,0
3.31633,4.65,546.69,170.4,1.0,284.97,10.58,64.16,51.85,0
3.39286,5.23,604.67,211.66,1.03,335.4,10.55,66.45,50.6,0
3.46939,4.57,525.62,153.72,0.92,263.28,10.6,64.42,50.96,0
3.54592,4.69,542.36,171.7,1.0,282.5,10.57,63.67,52.38,0
3.62245,4.67,516.69,147.72,0.93,256.45,10.59,63.8,52.47,0
3.69898,4.68,563.98,185.43,1.0,300.8,10.55,64.73,50.9,0
3.77551,4.69,535.73,162.09,0.97,274.41,10.57,64.12,51.76,0
3.85204,4.55,572.25,188.16,0.98,304.09,10.57,66.05,50.67,0
3.92857,4.47,501.4,136.02,0.88,240.82,10.63,63.92,51.7,0
4.0051,4.91,492.57,130.27,0.9,232.86,10.6,63.56,52.37,0
4.08163,4.82,562.91,186.59,1.03,302.25,10.5,64.03,51.3,0
4.15816,4.81,508.29,140.0,0.88,244.79,10.6,64.87,51.02,0
4.23469,4.43,501.75,135.92,0.9,240.85,10.62,63.97,52.01,0
4.31122,4.67,566.85,187.42,1.01,303.23,10.58,64.81,51.29,0
4.38776,4.51,532.65,159.39,0.96,269.85,10.57,64.48,51.56,0
4.46429,4.5,479.37,118.3,0.86,217.8,10.65,64.11,52.25,0
4.54082,4.46,467.75,112.8,0.86,208.5,10.63,63.48,52.54,0
4.61735,4.52,485.57,124.91,0.88,224.7,10.63,63.85,52.65,0
4.69388,4.51,498.34,136.11,0.9,237.91,10.6,63.79,52.45,0
4.77041,4.74,550.55,176.25,0.98,288.04,10.56,64.5,51.39,0
4.84694,4.89,536.14,163.56,0.96,273.41,10.55,64.44,51.32,0
4.92347,4.54,479.04,120.31,0.87,218.77,10.63,63.74,52.58,0
