minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.08,4.8,5.34,9.0,1.09,7.76,4.64,502.85,121.82,0.9,234.04,10.91,65.79,52.99,0.0
3.5,4.92,12.71,9.0,0.86,5.3,4.19,483.8,122.22,0.86,215.0,11.12,65.87,52.78,0.0
3.52,4.32,11.16,9.0,1.83,5.3,4.75,606.15,168.29,1.04,343.23,10.29,64.46,50.32,0.0
4.08,4.17,10.5,9.0,1.8,5.5,4.24,495.02,95.75,0.89,235.62,10.45,63.33,51.15,0.0
4.08,4.13,5.34,9.0,1.8,5.89,4.55,564.36,135.68,0.98,303.59,10.26,63.69,50.39,0.0
3.91,5.34,11.16,9.0,0.76,5.3,4.36,499.26,137.78,0.88,227.38,11.17,66.52,53.18,5.0
4.08,4.39,5.34,9.0,1.03,5.45,4.29,471.22,104.94,0.85,208.33,10.87,64.29,53.13,0.0
3.52,5.71,10.44,9.0,1.8,7.01,4.29,491.53,96.73,0.88,230.68,10.6,63.62,52.13,0.0
4.08,5.08,11.45,9.0,1.15,2.69,4.95,687.56,266.93,1.13,415.88,10.52,67.28,49.51,0.0
4.08,1.48,8.51,9.0,1.65,3.31,5.74,887.71,379.55,1.26,621.36,9.23,66.35,43.96,0.0
2.44,4.27,11.16,9.0,1.83,5.3,4.38,497.52,96.77,0.9,239.77,10.48,62.94,51.57,0.0
3.52,5.26,8.28,9.0,1.81,5.3,4.56,592.0,154.12,1.03,327.03,10.39,65.07,50.22,0.0
3.52,1.92,10.44,9.0,1.45,7.01,4.97,678.22,233.26,1.06,410.79,10.09,66.47,47.45,0.0
3.1,1.52,12.38,9.0,0.61,7.01,4.93,552.16,180.33,0.99,294.49,10.26,63.05,51.14,34.0
1.36,5.71,8.42,9.0,1.8,7.01,4.24,497.37,120.76,0.89,235.87,10.63,63.94,51.54,0.0
3.23,5.71,10.44,9.0,1.62,4.82,4.23,518.18,116.63,0.92,255.7,10.64,64.24,51.63,0.0
4.08,4.49,11.16,9.0,1.8,4.85,4.75,572.87,141.42,0.97,306.59,10.41,65.57,50.1,0.0
4.76,5.71,4.88,9.0,1.24,6.25,4.34,502.26,119.68,0.9,237.15,10.84,64.84,52.85,0.0
3.6,5.71,10.44,9.0,1.35,7.01,4.24,513.51,123.13,0.9,245.68,10.93,65.51,52.67,0.0
2.44,5.71,10.44,9.0,1.8,7.01,4.25,488.83,96.53,0.89,228.82,10.62,63.4,52.25,0.0
3.68,3.94,10.44,9.0,1.8,2.94,4.59,570.22,139.07,0.97,310.72,10.17,63.44,50.0,0.0
2.28,3.59,5.4,9.0,0.76,7.01,4.06,458.99,98.02,0.81,190.63,10.98,65.65,52.61,12.0
3.52,2.76,8.54,9.0,1.54,7.53,5.04,576.33,159.56,0.98,314.51,10.36,64.15,50.39,0.0
3.32,5.71,12.44,9.0,1.8,7.01,4.65,622.25,179.77,1.08,355.39,10.49,65.61,50.63,0.0
3.68,2.76,8.54,9.0,1.95,2.94,4.92,688.43,208.75,1.08,426.29,9.72,64.91,46.64,0.0
3.55,3.65,10.44,9.0,1.6,3.67,4.46,540.15,132.85,0.94,281.32,10.36,63.29,50.91,0.0
2.09,3.42,11.41,9.0,1.8,2.94,4.55,581.19,146.52,1.01,322.66,10.1,63.3,49.29,0.0
3.68,3.94,6.29,9.0,1.38,2.94,4.25,494.78,107.62,0.89,238.03,10.39,62.79,51.4,0.0
3.68,5.79,10.44,9.0,1.28,2.94,4.11,459.6,88.07,0.82,196.98,10.83,64.14,53.0,0.0
3.52,3.87,9.95,9.0,1.54,7.53,4.84,553.84,142.45,0.98,288.03,10.57,65.03,51.38,0.0
2.23,4.63,13.32,9.0,1.37,7.01,4.3,474.32,98.04,0.87,210.44,10.91,64.48,53.07,0.0
3.68,5.79,12.65,9.0,1.28,2.94,4.55,566.66,160.15,1.01,298.92,10.72,65.61,51.76,0.0
3.52,5.71,4.61,9.0,1.8,7.01,4.12,468.12,78.24,0.85,210.7,10.46,62.71,51.54,0.0
3.52,5.71,10.7,9.0,1.8,3.39,4.5,567.82,139.76,0.99,302.84,10.39,64.91,50.31,0.0
2.06,5.79,14.12,9.0,1.8,2.94,4.41,526.42,125.89,0.95,266.11,10.42,63.49,51.09,0.0
3.63,5.71,5.1,9.0,1.51,7.01,4.24,522.42,121.72,0.94,260.7,10.6,63.95,51.75,0.0
3.61,1.79,4.61,9.0,1.8,4.31,4.84,638.39,181.71,1.03,382.74,9.46,62.87,46.41,0.0
2.63,3.8,7.86,9.0,0.56,5.89,4.0,431.49,86.37,0.77,164.5,11.17,65.13,53.05,87.0
3.52,3.33,4.61,9.0,1.8,3.96,4.35,539.65,119.83,0.9,283.09,10.03,62.63,49.0,0.0
3.02,4.92,4.61,9.0,1.8,5.66,4.29,545.93,128.28,0.97,287.06,10.32,63.07,50.79,0.0
4.61,5.71,4.85,9.0,1.57,3.07,4.46,517.66,115.65,0.91,258.04,10.33,63.36,50.68,0.0
3.52,5.71,4.61,9.0,0.67,7.56,4.19,432.9,86.87,0.79,165.86,11.24,65.21,54.16,15.0
3.68,3.33,9.4,9.0,1.28,7.71,4.62,578.41,169.92,0.97,309.45,10.69,66.21,50.9,0.0
3.52,3.38,10.44,9.0,1.79,3.96,4.63,553.65,132.99,0.96,295.33,10.25,63.15,50.74,0.0
3.68,2.95,11.48,9.0,1.38,2.94,4.67,551.34,146.83,0.96,294.31,10.24,62.87,50.69,0.0
3.52,4.95,5.57,9.0,1.28,3.94,4.19,504.66,115.48,0.88,239.89,10.63,64.8,51.61,0.0
3.68,5.79,4.61,9.0,1.8,5.95,4.42,525.23,112.38,0.96,266.37,10.38,63.05,51.36,0.0
3.55,3.33,10.44,9.0,1.62,2.94,4.45,539.17,127.32,0.89,278.13,10.26,63.96,50.04,0.0
3.68,5.79,10.44,9.0,1.28,2.94,4.11,459.6,88.07,0.82,196.98,10.83,64.14,53.0,0.0
3.68,1.51,5.54,9.0,1.28,2.77,6.14,1432.77,859.24,1.59,1138.71,8.74,75.46,38.32,0.0
4.54,4.62,10.44,9.0,1.53,2.94,4.42,508.69,111.43,0.9,246.12,10.48,64.17,51.46,0.0
3.68,3.85,10.44,9.0,1.28,2.94,4.58,535.94,139.21,0.97,274.34,10.55,64.03,51.82,0.0
3.68,5.79,12.26,9.0,1.51,2.37,5.08,585.02,170.61,1.08,323.12,10.39,63.91,51.4,0.0
3.68,5.79,8.57,9.0,1.39,5.64,4.37,550.63,145.73,1.0,284.32,10.78,65.19,52.29,0.0
3.68,5.63,4.16,9.0,1.51,6.77,4.28,542.43,132.29,0.95,277.33,10.59,64.86,51.32,0.0
3.68,5.79,10.44,9.0,1.41,2.94,4.38,502.26,111.87,0.9,241.31,10.68,63.78,52.45,0.0
3.68,2.38,10.44,9.0,0.56,3.71,4.62,524.03,165.03,0.92,262.96,10.58,63.95,51.92,51.0
2.54,4.61,10.44,9.0,0.71,2.94,4.74,461.69,106.37,0.85,196.42,11.01,64.76,53.58,23.0
3.68,4.02,9.11,9.0,1.28,6.07,4.53,542.06,144.23,0.96,273.64,10.73,65.86,51.5,0.0
3.68,5.02,9.24,9.0,0.96,2.94,4.5,554.79,169.58,0.99,286.21,10.78,65.81,51.85,0.0
4.25,2.13,8.57,9.0,0.97,6.82,4.71,598.25,208.37,1.01,333.57,10.39,65.44,49.55,0.0
3.68,5.79,10.44,9.0,1.28,5.25,4.28,518.06,130.23,0.94,251.48,10.92,65.18,53.04,0.0
2.23,5.71,10.52,9.0,1.28,6.21,4.2,474.01,101.05,0.85,208.25,11.0,64.93,53.11,0.0
3.68,5.79,6.51,9.0,1.28,2.94,4.18,480.95,101.72,0.86,219.1,10.7,63.95,52.16,0.0
3.68,5.79,10.44,9.0,0.83,2.94,4.29,492.73,127.56,0.87,224.52,11.03,65.53,53.04,0.0
4.31,5.79,7.46,9.0,1.28,7.14,4.68,531.09,139.57,0.96,264.73,10.87,65.17,53.26,0.0
3.68,1.52,6.51,9.0,1.28,2.94,5.36,1135.27,600.16,1.21,837.51,9.23,76.38,39.04,0.0
3.68,3.94,10.25,9.0,1.28,2.45,4.76,600.29,193.24,1.11,338.66,10.33,64.01,50.78,0.0
3.89,5.79,6.51,9.0,0.93,2.94,4.16,457.8,92.45,0.81,189.8,10.96,65.49,52.99,0.0
3.68,5.79,6.51,9.0,1.28,5.57,4.43,474.37,101.66,0.86,211.32,10.84,64.25,53.21,0.0
2.29,5.79,10.44,9.0,1.28,2.94,5.22,607.2,193.52,1.1,337.64,10.61,66.51,50.98,0.0
2.64,5.79,6.81,9.0,1.45,2.94,4.28,531.9,128.57,0.95,269.37,10.52,64.11,51.59,0.0
