minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,iterations
2.5,2.9,7.5,9,1,4,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0,1
2.53,3.66,4.99,9.0,1.67,3.07,4.36,525.07,113.18,0.95,270.75,10.09,61.97,50.06,0.0,2
4.08,5.71,5.34,9.0,1.8,5.3,4.12,472.44,82.45,0.84,214.54,10.46,62.88,51.44,0.0,6
3.68,5.79,10.44,9.0,1.28,2.94,4.11,459.6,88.07,0.82,196.98,10.83,64.14,53.0,0.0,80
2.37,5.79,3.79,9.0,1.38,2.94,4.04,460.17,81.38,0.82,200.71,10.5,63.34,51.36,0.0,194
4.44,5.79,3.79,9.0,1.06,4.86,4.03,455.24,88.86,0.81,189.86,10.89,64.88,52.6,0.0,210
4.49,5.79,4.2,9.0,1.06,3.7,3.99,452.41,85.87,0.8,188.22,10.83,64.61,52.87,0.0,348
